martin: martin 
scorsese: scorsese 
movie: movie movies 
family: family 
age: age 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
jon: jon 
kopaloff: kopaloff 
filmmagic: filmmagic 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
november: november 
education: education 
new: new 
york: york 
university: university 
place: place 
flushing: flushing 
full: full 
charles: charles 
zodiac: zodiac 
sign: sign 
scorpio: scorpio 
early: early 
life: life lives 
music: music 
documentary: documentaries documentary 
cite: cite 
page: page 
publish: publish 
feb: feb 
comment: comment 
director: director directors 
produced: produced 
memorable: memorable 
film: film films 
cinema: cinema 
including: including 
taxi: taxi 
driver: driver 
academy: academy 
award: award awards 
winning: winning 
departed: departed 
known: known 
gritty: gritty 
meticulous: meticulous 
filmmaking: filmmaking 
style: style 
widely: widely 
considered: considered 
one: ones one 
important: important 
time: time 
passion: passion passions 
started: started 
young: young 
year: years year 
old: old 
pint: pint 
sized: sized 
filmmaker: filmmaker 
completed: completed 
first: first 
feature: feature 
length: length 
knocking: knocking 
door: door 
released: released 
nearly: nearly 
later: later 
skyrocketed: skyrocketed 
fame: fame 
raw: raw 
formula: formula 
storytelling: storytelling 
proved: proved 
fluke: fluke 
lengthy: lengthy 
string: string 
success: successes success 
included: included 
xa: xa 
raging: raging 
bull: bull 
goodfellas: goodfellas 
hugo: hugo 
irishman: irishman 
born: born 
raised: raised 
italian: italian 
american: americans american 
parent: parents 
little: little 
italy: italy 
district: district 
manhattan: manhattan 
remembered: remembered 
neighborhood: neighborhood 
like: like 
village: village 
sicily: sicily 
catherine: catherine 
worked: worked 
part: part 
actor: actor actors 
helping: helping 
set: set 
stage: stage 
son: son 
love: love 
afflicted: afflicted 
severe: severe 
asthma: asthma 
childhood: childhood 
activity: activities 
limited: limited 
rather: rather 
play: play 
sport: sports 
spent: spent 
much: much 
front: front 
television: television 
theater: theater 
fell: fell 
especially: especially 
story: stories 
experience: experience 
michael: michael 
powell: powell 
already: already 
drawing: drawing 
storyboards: storyboards 
often: often 
complete: complete 
line: line 
directed: directed 
devout: devout 
catholic: catholic 
even: even 
entertained: entertained 
idea: idea 
entering: entering 
priesthood: priesthood 
deciding: deciding 
pursue: pursue 
instead: instead 
although: although 
get: get 
mania: mania 
felt: felt 
headed: headed 
right: right 
direction: direction 
minute: minute 
comedy: comedy 
short: short 
earned: earned 
scholarship: scholarship 
completing: completing 
mfa: mfa 
directing: directing 
nyu: nyu 
briefly: briefly 
instructor: instructor 
student: students 
jonathan: jonathan 
kaplan: kaplan 
oliver: oliver 
stone: stones stone 
working: working 
project: project projects 
met: met 
harvey: harvey 
keitel: keitel 
would: would 
go: go 
cast: cast 
many: many 
future: future 
well: well 
thelma: thelma 
schoonmaker: schoonmaker 
editor: editors editor 
collaborate: collaborate 
mean: mean 
street: street streets 
acknowledged: acknowledged 
masterpiece: masterpiece 
revisiting: revisiting 
character: characters 
showcased: showcased 
element: elements 
since: since 
become: become 
trademark: trademarks 
dark: dark 
theme: themes 
unsympathetic: unsympathetic 
lead: lead 
religion: religion 
mafia: mafia 
unusual: unusual 
camera: camera 
technique: techniques 
contemporary: contemporary 
also: also 
introduced: introduced 
robert: robert 
de: de 
niro: niro 
sparking: sparking 
dynamic: dynamic 
partnership: partnership partnerships 
hollywood: hollywood 
course: course 
hard: hard 
hitting: hitting 
helped: helped 
define: define 
generation: generation 
palme: palme 
cannes: cannes 
festival: festival 
fixed: fixed 
status: status 
legend: legend 
apparently: apparently 
inspired: inspired 
unstable: unstable 
john: john 
hinckley: hinckley 
attempt: attempt 
assassinate: assassinate 
president: president 
ronald: ronald 
reagan: reagan 
five: five 
never: never 
thought: thought thoughts 
million: million 
connection: connection 
recalled: recalled 
turned: turned 
limo: limo 
fbi: fbi 
struck: struck 
gold: gold 
together: together 
picture: picture 
based: based 
troubled: troubled 
boxer: boxer 
jake: jake 
lamotta: lamotta 
expecting: expecting 
last: last 
decided: decided 
pull: pull 
stop: stops 
find: find 
career: career 
initial: initial 
reaction: reactions 
mixed: mixed 
due: due 
violent: violent 
nature: nature 
greatest: greatest 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
abandoning: abandoning 
leaving: leaving 
industry: industry 
continued: continued 
make: make 
huge: huge 
box: box 
office: office 
color: color 
money: money 
casino: casino 
saw: saw 
release: release 
two: two 
former: former 
gangster: gangsters gangster 
henry: henry 
hill: hill 
rise: rise 
fall: fall 
gambling: gambling 
underworld: underworld 
joked: joked 
another: another 
said: said 
belief: believes 
thing: thing 
pointless: pointless 
violence: violence 
screen: screen 
deep: deep 
want: want 
think: think 
really: really 
good: good 
reality: reality 
outweighs: outweighs 
waltz: waltz 
express: express 
print: print 
revealed: revealed 
wildest: wildest 
dream: dream 
write: write 
seems: seems 
unlikely: unlikely 
rock: rock 
star: star 
conduct: conduct 
orchestra: orchestra 
talent: talents 
mark: mark 
made: made 
acclaimed: acclaimed 
called: called 
showcasing: showcasing 
farewell: farewell 
performance: performances performance 
band: band 
guest: guest 
van: van 
morrison: morrison 
bob: bob 
dylan: dylan 
muddy: muddy 
water: waters 
addition: addition 
hailed: hailed 
concert: concert 
spoofed: spoofed 
rob: rob 
reiner: reiner 
landmark: landmark 
mockumentary: mockumentary 
spinal: spinal 
tap: tap 
blue: blues 
home: home 
shine: shine 
light: light 
turn: turn 
millennium: millennium 
renewed: renewed 
exploration: exploration 
musical: musical 
ambitious: ambitious 
seven: seven 
series: series 
accompanying: accompanying 
grammys: grammys 
aired: aired 
pb: pbs 
master: masters 
using: using 
archive: archive 
footage: footage 
rolling: rolling 
leonardo: leonardo 
dicaprio: dicaprio 
aviator: aviator 
past: past 
decade: decades 
brought: brought 
vigor: vigor 
offering: offerings 
became: became 
role: roles 
starring: starring 
gang: gangs 
best: best 
oscar: oscar 
shutter: shutter 
island: island 
wolf: wolf 
wall: wall 
drawn: drawn 
parallel: parallels 
pair: pair 
audience: audiences 
grateful: grateful 
saved: saved 
path: path 
kind: kind 
wanted: wanted 
gained: gained 
iconic: iconic 
nomination: nominations nomination 
shot: shot 
fantasy: fantasy 
adventure: adventure 
epic: epic 
hit: hit 
beautifully: beautifully 
rendered: rendered 
wowed: wowed 
critic: critics 
garnering: garnering 
golden: golden 
globe: globe 
followed: followed 
historical: historical 
drama: drama 
silence: silence 
rekindled: rekindled 
along: along 
collaborator: collaborators 
