u: us u 
president: president presidents 
washington: washington 
lincoln: lincoln 
obama: obama 
biography: biography 
com: com 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletters newsletter 
united: united 
state: states 
elected: elected 
head: head 
government: government 
george: george 
thomas: thomas 
jefferson: jefferson 
abraham: abraham 
barack: barack 
donald: donald 
trump: trump 
powerful: powerful 
planet: planet 
person: person 
billionaire: billionaire 
real: real 
estate: estate 
mogul: mogul 
former: former 
reality: reality 
television: television 
personality: personality 
th: th 
joe: joe 
biden: biden 
also: also 
served: served 
vice: vice 
jimmy: jimmy 
carter: carter 
later: later 
awarded: awarded 
nobel: nobel 
peace: peace 
prize: prize 
first: first 
african: african 
american: american 
serve: serve 
office: office 
presidency: presidency 
second: second 
preserved: preserved 
union: union 
civil: civil 
war: war 
brought: brought 
emancipation: emancipation 
slave: slaves 
w: w 
bush: bush 
rd: rd 
led: led 
country: country 
response: response 
attack: attacks 
initiated: initiated 
iraq: iraq 
ulysses: ulysses 
grant: grant 
general: general 
commander: commander 
army: army armies 
late: late 
year: years 
becoming: becoming 
andrew: andrew 
jackson: jackson 
seventh: seventh 
known: known 
founding: founding 
democratic: democratic 
party: party 
individual: individual 
liberty: liberty 
receive: receive 
story: stories 
shaped: shaped 
world: world 
life: lives 
sign: sign 
herbert: herbert 
hoover: hoover 
st: st 
whose: whose 
notably: notably 
marked: marked 
stock: stock 
market: market 
crash: crash 
beginning: beginnings 
great: great 
depression: depression 
h: h 
ronald: ronald 
reagan: reagan 
father: father 
richard: richard 
nixon: nixon 
chief: chief 
resign: resign 
position: position 
watergate: watergate 
john: john 
f: f 
kennedy: kennedy 
negotiated: negotiated 
nuclear: nuclear 
test: test 
ban: ban 
treaty: treaty 
alliance: alliance 
progress: progress 
assassinated: assassinated 
lyndon: lyndon 
b: b 
johnson: johnson 
became: became 
following: following 
assassination: assassination 
james: james 
madison: madison 
fourth: fourth 
believed: believed 
robust: robust 
yet: yet 
balanced: balanced 
federal: federal 
constitution: constitution 
grover: grover 
cleveland: cleveland 
nd: nd 
two: two 
nonconsecutive: nonconsecutive 
well: well 
married: married 
white: white 
house: house 
adam: adams 
son: son 
quincy: quincy 
nation: nations nation 
sixth: sixth 
woodrow: woodrow 
wilson: wilson 
america: america 
crafted: crafted 
versailles: versailles 
fourteen: fourteen 
point: points 
last: last 
creating: creating 
league: league 
ensure: ensure 
zachary: zachary 
taylor: taylor 
military: military 
hero: hero 
best: best 
warren: warren 
g: g 
harding: harding 
followed: followed 
campaign: campaign 
promising: promising 
return: return 
normalcy: normalcy 
william: william 
mckinley: mckinley 
acquired: acquired 
puerto: puerto 
rico: rico 
guam: guam 
philippine: philippines 
continental: continental 
victory: victory 
revolutionary: revolutionary 
eldest: eldest 
harry: harry 
truman: truman 
sworn: sworn 
franklin: franklin 
delano: delano 
roosevelt: roosevelt 
sudden: sudden 
death: death 
presided: presided 
end: end 
wwii: wwii 
dropped: dropped 
atomic: atomic 
bomb: bomb 
japan: japan 
helped: helped 
redefine: redefine 
purpose: purpose 
pressured: pressured 
soviet: soviet 
cold: cold 
solidified: solidified 
conservative: conservative 
agenda: agenda 
decade: decades 
loading: loading 
see: see 
logo: logo 
registered: registered 
trademark: trademarks 
e: e 
network: networks 
llc: llc 
close: close 
