quincy: quincy 
jones: jones 
wife: wife 
child: children child 
song: song songs 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
gregg: gregg 
deguire: deguire 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
march: march 
age: age 
education: education 
berklee: berklee 
college: college 
music: music 
place: place 
chicago: chicago 
illinois: illinois 
zodiac: zodiac 
sign: sign 
pisces: pisces 
qwest: qwest 
production: production productions 
philanthropy: philanthropy 
venture: ventures venture 
controversial: controversial 
interview: interviews interview 
cite: cite 
page: page 
publish: publish 
feb: feb 
comment: comment comments 
best: best 
known: known 
composer: composer 
record: record records 
producer: producer 
legendary: legendary 
musician: musicians musician 
frank: frank 
sinatra: sinatra 
michael: michael 
jackson: jackson 
celine: celine 
dion: dion 
aretha: aretha 
franklin: franklin 
film: film films 
convinced: convinced 
early: early 
explore: explore 
teenage: teenage 
friend: friend 
ray: ray 
charles: charles 
played: played 
various: various 
band: band bands 
began: began 
composing: composing 
television: television 
mid: mid 
eventually: eventually 
produced: produced 
score: scores 
worked: worked 
famous: famous 
one: one 
grammy: grammy 
nominated: nominated 
artist: artists 
nomination: nominations 
win: wins 
life: life lives 
career: career 
famed: famed 
born: born 
delight: delight 
jr: jr 
multifaceted: multifaceted 
jazz: jazz 
pop: pop 
figure: figure figures 
xa: xa 
trumpet: trumpet 
arranged: arranged 
lionel: lionel 
hampton: hampton 
freelance: freelance 
arranger: arranger 
many: many 
session: sessions 
served: served 
musical: musical 
director: director 
dizzy: dizzy 
gillespie: gillespie 
overseas: overseas 
big: big 
tour: tour 
barclay: barclay 
paris: paris 
led: led 
star: star 
european: european 
harold: harold 
arlen: arlen 
blue: blues 
opera: opera 
free: free 
easy: easy 
returning: returning 
new: new 
york: york 
composed: composed 
count: count 
basie: basie 
dinah: dinah 
washington: washington 
sarah: sarah 
vaughan: vaughan 
holding: holding 
executive: executive 
post: post 
mercury: mercury 
producing: producing 
increasingly: increasingly 
oriented: oriented 
serving: serving 
trailblazing: trailblazing 
african: african 
american: american 
hollywood: hollywood 
arena: arena 
album: albums album 
hey: hey 
side: side 
sky: sky 
founded: founded 
hugely: hugely 
successful: successful 
major: major 
soundtrack: soundtrack 
adaptation: adaptation 
wizard: wizard 
oz: oz 
wiz: wiz 
starring: starring 
diana: diana 
ross: ross 
time: time times 
selling: selling 
thriller: thriller 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
used: used 
clout: clout 
among: among 
recording: recording 
much: much 
celebrated: celebrated 
anthem: anthem 
world: world 
raise: raise 
money: money 
victim: victims 
famine: famine 
ethiopia: ethiopia 
work: work 
behalf: behalf 
social: social 
cause: causes 
spanned: spanned 
including: including 
listen: listen 
foundation: foundation 
built: built 
home: homes 
south: south 
africa: africa 
charity: charity 
aim: aims 
connect: connect 
youth: youths 
technology: technology 
sponsor: sponsors 
intercultural: intercultural 
exchange: exchange 
teen: teens 
los: los 
angeles: angeles 
color: color 
purple: purple 
directed: directed 
steven: steven 
spielberg: spielberg 
whoopi: whoopi 
goldberg: goldberg 
oprah: oprah 
winfrey: winfrey 
danny: danny 
glover: glover 
well: well 
series: series 
fresh: fresh 
prince: prince 
bel: bel 
air: air 
smith: smith 
also: also 
published: published 
magazine: magazines 
vibe: vibe 
spin: spin 
formed: formed 
entertainment: entertainment 
qje: qje 
co: co 
warner: warner 
inc: inc 
q: q 
autobiography: autobiography 
gq: gq 
icon: icon 
said: said 
liked: liked 
contemporary: contemporary 
like: likes like 
bruno: bruno 
mar: mars 
drake: drake 
kendrick: kendrick 
lamar: lamar 
admitted: admitted 
fan: fan 
taylor: taylor 
swift: swift 
saying: saying 
need: need 
man: man 
f: f 
ing: ing 
hook: hooks 
raised: raised 
eyebrow: eyebrows 
another: another 
vulture: vulture 
around: around 
alleging: alleging 
stole: stole 
lot: lot 
marlon: marlon 
brando: brando 
richard: richard 
pryor: pryor 
slept: slept 
together: together 
released: released 
statement: statement 
shortly: shortly 
afterward: afterward 
apologized: apologized 
bad: bad 
mouthing: mouthing 
others: others 
signing: signing 
encourage: encourage 
please: please 
grow: grow 
keep: keep 
keepin: keepin 
love: love 
year: year 
old: old 
bow: bow 
legged: legged 
still: still 
learning: learning 
mistake: mistakes 
september: september 
documentary: documentary 
entitled: entitled 
netflix: netflix 
daughter: daughter daughters 
actress: actress 
rashida: rashida 
spouse: spouses 
married: married 
three: three 
first: first 
marriage: marriage 
jeri: jeri 
caldwell: caldwell 
named: named 
jolie: jolie 
ulla: ulla 
andersson: andersson 
share: shares 
son: son 
martina: martina 
final: final 
peggy: peggy 
lipton: lipton 
pair: pair 
two: two 
kidada: kidada 
relationship: relationships 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
right: right rights 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
network: networks 
last: last 
updated: updated 
january: january 
original: original 
april: april 
receive: receive 
story: stories 
shaped: shaped 
person: person 
