cedric: cedric 
richmond: richmond 
career: career 
family: family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
congress: congress 
quick: quick 
name: name 
birth: birth 
date: date 
september: september 
age: age 
place: place 
new: new 
orleans: orleans 
louisiana: louisiana 
full: full 
levon: levon 
cite: cite 
page: page 
publish: publish 
dec: dec 
comment: comment 
former: former 
five: five 
congressman: congressman 
co: co 
chairing: chairing 
joe: joe 
biden: biden 
presidential: presidential 
campaign: campaign 
named: named 
president: president presidents 
elect: elect 
senior: senior 
advisor: advisor 
director: director directors 
white: white 
house: house 
office: office 
public: public 
engagement: engagement 
born: born 
raised: raised 
elected: elected 
state: state 
legislature: legislature 
moved: moved 
congressional: congressional 
seat: seat 
eventually: eventually 
joining: joining 
judiciary: judiciary 
way: ways 
mean: means 
committee: committee committees 
becoming: becoming 
chair: chair 
black: black 
caucus: caucus 
successful: successful 
appointed: appointed 
adviser: adviser 
early: early 
life: life lives 
education: education 
eastern: eastern 
enduring: enduring 
death: death 
father: father 
year: years 
old: old 
credit: credits credit 
mother: mother 
maple: maple 
recreational: recreational 
coach: coaches 
local: local 
playground: playground 
providing: providing 
firm: firm 
guidance: guidance 
became: became 
multi: multi 
sport: sport 
star: star 
benjamin: benjamin 
franklin: franklin 
high: high 
school: school 
continued: continued 
playing: playing 
baseball: baseball 
morehouse: morehouse 
college: college 
earning: earning 
b: b 
went: went 
attend: attend 
tulane: tulane 
university: university 
law: law 
complete: complete 
harvard: harvard 
executive: executive 
program: program 
john: john 
f: f 
kennedy: kennedy 
government: government 
embarked: embarked 
lengthy: lengthy 
political: political 
election: election 
district: district 
democrat: democrat democrats 
rose: rose 
become: become 
chairman: chairman 
legislative: legislative 
audit: audit 
advisory: advisory 
council: council 
accomplishment: accomplishments 
including: including 
creation: creation 
market: markets 
tax: tax 
brought: brought 
million: million 
area: areas 
devastated: devastated 
hurricane: hurricane 
katrina: katrina 
popularity: popularity 
helped: helped 
survive: survive 
bumpy: bumpy 
patch: patches 
period: period 
misrepresented: misrepresented 
primary: primary 
residence: residence 
seeking: seeking 
city: city 
leading: leading 
disqualification: disqualification 
race: race 
brief: brief 
suspension: suspension 
license: license 
practice: practice 
involved: involved 
fight: fight 
