shinzo: shinzo 
abe: abe 
resignation: resignation 
health: health 
age: age 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal scandals 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
asahi: asahi 
shimbun: shimbun 
via: via 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name names 
birth: birth 
date: date 
september: september 
education: education 
university: university 
southern: southern 
california: california 
los: los 
angeles: angeles 
place: place 
tokyo: tokyo 
japan: japan 
zodiac: zodiac 
sign: sign 
virgo: virgo 
cite: cite 
page: page 
publish: publish 
sep: sep 
comment: comment 
conservative: conservatives conservative 
politician: politician 
prime: prime 
minister: ministers minister 
began: began 
another: another 
served: served 
became: became 
promise: promise 
fix: fix 
ailing: ailing 
economy: economy 
following: following 
dubbed: dubbed 
abenomics: abenomics 
right: right 
wing: wing 
family: family 
deep: deep 
political: political 
root: roots 
belongs: belongs 
liberal: liberal 
democratic: democratic 
party: party 
book: book 
toward: toward 
beautiful: beautiful 
country: country countries 
xa: xa 
shared: shared 
detail: details 
life: life lives 
vision: vision 
one: one 
long: long 
standing: standing 
goal: goal 
amend: amend 
pacifist: pacifist 
constitution: constitution 
wearing: wearing 
super: super 
mario: mario 
costume: costume 
appeared: appeared 
olympic: olympic 
closing: closing 
ceremony: ceremonies 
rio: rio 
de: de 
janeiro: janeiro 
herald: herald 
game: game games 
hosted: hosted 
august: august 
announced: announced 
due: due 
reason: reason reasons 
early: early 
born: born 
site: sites 
incorrectly: incorrectly 
list: list 
nagato: nagato 
hometown: hometown 
yamaguchi: yamaguchi 
prefecture: prefecture 
birthplace: birthplace 
father: father 
shintaro: shintaro 
foreign: foreign 
death: death 
ran: ran 
seat: seat seats 
diet: diet 
world: world 
war: war 
ii: ii 
maternal: maternal 
grandfather: grandfather 
nobusuke: nobusuke 
kishi: kishi 
worked: worked 
industrial: industrial 
planner: planner 
japanese: japanese 
occupied: occupied 
manchuria: manchuria 
arrested: arrested 
class: class 
criminal: criminals criminal 
indicted: indicted 
anti: anti 
communist: communist 
view: view views 
helped: helped 
secure: secure 
release: release 
like: like 
wanted: wanted 
alter: alter 
article: article 
receiving: receiving 
science: science 
degree: degree 
seikei: seikei 
matriculated: matriculated 
study: studies 
parliamentary: parliamentary 
system: system 
usually: usually 
leader: leader 
lower: lower 
house: house houses 
legislative: legislative 
body: body 
held: held 
power: power 
year: years year 
since: since 
founding: founding 
youngest: youngest 
first: first 
member: member members 
legislature: legislature 
though: though 
joined: joined 
cabinet: cabinet 
resigned: resigned 
citing: citing 
poor: poor 
made: made 
comeback: comeback 
head: head 
ldp: ldp 
succeeded: succeeded 
ballot: ballot 
