abaqus: abaqus 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
article: articles article 
need: need needs 
additional: additional 
citation: citations citation 
verification: verification 
please: please 
help: help 
improve: improve 
adding: adding 
reliable: reliable 
source: source sources 
unsourced: unsourced 
material: material materials 
may: may 
challenged: challenged 
removed: removed 
find: find 
news: news 
newspaper: newspapers 
book: books 
scholar: scholar 
jstor: jstor 
july: july 
learn: learn 
remove: remove 
template: template 
message: message 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
simulia: simulia 
fea: fea 
original: original 
author: author 
dassault: dassault 
systemes: systemes 
developer: developer 
inc: inc 
stable: stable 
release: release 
hf: hf 
year: year years 
ago: ago 
operating: operating 
system: system systems 
microsoft: microsoft 
window: windows 
linux: linux 
platform: platform 
x: x 
type: types type 
computer: computer 
aided: aided 
engineering: engineering 
finite: finite 
element: element elements 
analysis: analysis 
license: license 
proprietary: proprietary 
commercial: commercial 
software: software 
website: website 
www: www 
com: com 
formerly: formerly 
suite: suite 
originally: originally 
released: released 
name: name 
logo: logo 
based: based 
abacus: abacus 
calculation: calculation calculations 
tool: tool 
product: products product 
consists: consists 
five: five 
core: core 
cae: cae 
c: cs c 
omplete: omplete 
baqus: baqus 
e: e 
nvironment: nvironment 
backronym: backronym 
root: root 
omputer: omputer 
ided: ided 
ngineering: ngineering 
application: applications application 
used: used 
modeling: modeling 
mechanical: mechanical 
component: components 
assembly: assemblies 
pre: pre 
processing: processing 
visualizing: visualizing 
result: result 
subset: subset 
including: including 
post: post 
module: module 
launched: launched 
independently: independently 
viewer: viewer 
standard: standard 
general: general 
purpose: purpose 
analyzer: analyzer 
employ: employs 
implicit: implicit 
integration: integration 
scheme: scheme 
traditional: traditional 
explicit: explicit 
special: special 
solve: solve 
highly: highly 
nonlinear: nonlinear 
many: many 
complex: complex 
contact: contacts contact 
transient: transient 
load: loads 
cfd: cfd 
omputational: omputational 
f: f 
luid: luid 
ynamics: ynamics 
provides: provides 
advanced: advanced 
computational: computational 
fluid: fluid 
dynamic: dynamics dynamic 
capability: capabilities capability 
extensive: extensive 
support: support 
preprocessing: preprocessing 
postprocessing: postprocessing 
provided: provided 
electromagnetic: electromagnetic 
electromagnetics: electromagnetics 
solves: solves 
problem: problems 
use: use 
open: open 
scripting: scripting 
language: language 
python: python 
customization: customization 
us: uses 
fox: fox 
toolkit: toolkit 
gui: gui 
development: development 
content: content contents 
history: history 
solution: solutions solution 
sequence: sequence 
solver: solver solvers 
comparison: comparison 
see: see 
also: also 
reference: references 
external: external 
link: link links 
edit: edit 
initially: initially 
written: written 
first: first 
early: early 
tightly: tightly 
connected: connected 
marc: marc 
research: research 
corporation: corporation 
dr: dr 
david: david 
hibbitt: hibbitt 
bengt: bengt 
karlsson: karlsson 
paul: paul 
sorensen: sorensen 
co: co 
founded: founded 
company: company 
later: later 
known: known 
hks: hks 
jan: jan 
develop: develop 
market: market 
met: met 
completing: completing 
ph: ph 
d: ds 
brown: brown 
university: university 
encountered: encountered 
two: two 
capacity: capacity 
analyst: analyst 
centre: centre 
stockholm: stockholm 
video: video 
founder: founder 
talk: talk 
mit: mit 
evolution: evolution 
simulation: simulation simulations 
venture: venture 
april: april 
youtube: youtube 
stylized: stylized 
calculator: calculator 
bead: beads 
set: set 
official: official 
launch: launch 
date: dates date 
february: february 
st: st 
retrieved: retrieved 
feb: feb 
th: th 
version: version 
created: created 
specific: specific 
client: client 
westinghouse: westinghouse 
hanford: hanford 
analyze: analyze 
nuclear: nuclear 
fuel: fuel 
rod: rod 
june: june 
day: days 
designed: designed 
primarily: primarily 
static: static 
structure: structures 
steady: steady 
heat: heat 
transfer: transfer 
conduction: conduction 
distributed: distributed 
via: via 
cdc: cdc 
cybernet: cybernet 
service: service 
