willow: willow 
smith: smith 
age: age 
song: song songs 
family: family 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
jerritt: jerritt 
clark: clark 
getty: getty 
image: images 
savage: savage 
x: x 
fenty: fenty 
show: show shows 
vol: vol 
presented: presented 
amazon: amazon 
prime: prime 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
october: october 
place: place 
los: los 
angeles: angeles 
california: california 
zodiac: zodiac 
sign: sign 
scorpio: scorpio 
cite: cite 
page: page 
publish: publish 
jan: jan 
comment: comment 
singer: singer 
musician: musician 
child: child 
hollywood: hollywood 
royalty: royalty 
made: made 
pop: pop 
r: r 
b: b 
rock: rock 
well: well 
joining: joining 
mother: mother 
grandmother: grandmother 
talk: talk 
red: red 
table: table 
grew: grew 
public: public 
eye: eye 
daughter: daughter 
jada: jada 
pinkett: pinkett 
acting: acting 
project: projects 
released: released 
whip: whip 
hair: hair 
became: became 
hit: hit 
single: single 
however: however 
demand: demands 
fame: fame 
eventually: eventually 
stressed: stressed 
young: young 
point: point 
took: took 
step: step 
away: away 
performing: performing 
later: later 
started: started 
making: making 
music: music 
overcame: overcame 
personal: personal 
doubt: doubts 
embraced: embraced 
lifelong: lifelong 
love: love 
release: release 
album: albums album 
lately: lately 
feel: feel 
everything: everything 
staked: staked 
claim: claim 
genre: genre 
strong: strong 
tie: ties 
black: black 
community: community 
addition: addition 
co: co 
host: hosts 
popular: popular 
early: early 
life: life lives 
camille: camille 
reign: reign 
born: born 
star: star stars 
older: older 
brother: brother 
jaden: jaden 
half: half 
trey: trey 
status: status 
meant: meant 
raised: raised 
spotlight: spotlight 
role: role 
alongside: alongside 
father: father 
movie: movie 
legend: legend 
next: next 
appeared: appeared 
kit: kit 
kittredge: kittredge 
american: american 
girl: girls girl 
joined: joined 
voice: voice 
character: character 
madagascar: madagascar 
escape: escape 
africa: africa 
also: also 
seen: seen 
television: television 
true: true 
jackson: jackson 
vp: vp 
teen: teen 
performed: performed 
vocally: vocally 
neo: neo 
yokio: yokio 
adventure: adventure 
time: time times 
first: first 
came: came 
year: years year 
old: old 
ultimately: ultimately 
going: going 
platinum: platinum 
reaching: reaching 
billboard: billboard 
hot: hot 
signed: signed 
recording: recording 
contract: contract 
jay: jay 
z: z 
roc: roc 
nation: nation 
follow: follow 
success: success 
like: like 
st: st 
century: century 
nothing: nothing 
dislike: dislike 
pressure: pressure 
filled: filled 
lifestyle: lifestyle 
shaved: shaved 
head: head 
tour: tour 
act: act 
protest: protest 
continuing: continuing 
decided: decided 
want: want 
take: take 
title: title 
filmed: filmed 
version: version 
musical: musical 
annie: annie 
producing: producing 
admitted: admitted 
cutting: cutting 
attempt: attempt 
deal: deal 
emotional: emotional 
pain: pain 
told: told 
definitely: definitely 
forgive: forgive 
daddy: daddy 
whole: whole 
thing: thing 
mostly: mostly 
harsh: harsh 
certain: certain 
reflecting: reflecting 
childhood: childhood 
career: career 
magazine: magazine 
super: super 
dream: dream 
really: really 
wanted: wanted 
sing: sing 
equate: equate 
business: business 
stress: stress 
ended: ended 
coming: coming 
though: though 
rebelled: rebelled 
stop: stop 
debut: debut 
ardipithecus: ardipithecus 
two: two 
respectively: respectively 
maternal: maternal 
adrienne: adrienne 
banfield: banfield 
norris: norris 
tradition: tradition 
sharing: sharing 
story: stories 
insight: insights 
among: among 
recorded: recorded 
one: one 
barrier: barriers 
intergenerational: intergenerational 
conversation: conversations 
five: five 
woman: women 
launched: launched 
facebook: facebook 
watch: watch 
read: read 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
kennedy: kennedy 
informal: informal 
set: set 
harkens: harkens 
back: back 
earlier: earlier 
discussion: discussions 
three: three 
generation: generations 
tackled: tackled 
topic: topics 
mental: mental 
health: health 
politics: politics 
sexuality: sexuality 
shared: shared 
polyamorous: polyamorous 
salma: salma 
hayek: hayek 
kevin: kevin 
hart: hart 
olivia: olivia 
jade: jade 
giannulli: giannulli 
jordyn: jordyn 
wood: woods 
high: high 
profile: profile 
guest: guests 
stopped: stopped 
program: program 
daytime: daytime 
emmy: emmy 
outstanding: outstanding 
informative: informative 
anxiety: anxiety 
indie: indie 
partner: partner 
tyler: tyler 
cole: cole 
along: along 
part: part 
performance: performance 
art: art 
piece: piece 
inside: inside 
glass: glass 
box: box 
museum: museum 
contemporary: contemporary 
spent: spent 
hour: hour hours 
embodying: embodying 
eight: eight 
different: different 
state: states 
linked: linked 
teenager: teenager 
developed: developed 
listening: listening 
group: groups 
chemical: chemical 
romance: romance 
blink: blink 
influence: influences 
evident: evident 
july: july 
produced: produced 
punk: punk 
clarified: clarified 
knew: knew 
completely: completely 
record: record 
needed: needed 
mixture: mixture 
moody: moody 
alternative: alternative 
melodic: melodic 
vibe: vibes 
stated: stated 
kind: kind 
make: make 
since: since 
literally: literally 
hesitant: hesitant 
diving: diving 
training: training 
world: world 
watched: watched 
perform: perform 
n: n 
xfc: xfc 
metal: metal 
band: band 
wicked: wicked 
wisdom: wisdom 
delighted: delighted 
remembers: remembers 
death: death 
threat: threats 
received: received 
lockdown: lockdown 
covid: covid 
pandemic: pandemic 
served: served 
catalyst: catalyst 
experiment: experiment 
overcome: overcome 
said: said 
even: even 
still: still 
accepted: accepted 
changed: changed 
insecurity: insecurities 
past: past 
hope: hope 
instrument: instrument 
helping: helping 
color: color 
know: know 
transparent: transparent 
soul: soul 
featured: featured 
travis: travis 
barker: barker 
onto: onto 
chart: chart 
collaborator: collaborators 
include: include 
avril: avril 
lavigne: lavigne 
invitation: invitation 
join: join 
grow: grow 
fashion: fashion 
known: known 
wearing: wearing 
