kirsten: kirsten 
gillibrand: gillibrand 
u: us u 
senator: senators senator 
representative: representatives representative 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crimes crime 
scandal: scandal 
video: video 
contact: contact 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
fact: facts fact 
name: name 
occupation: occupation 
birth: birth 
date: date 
december: december 
age: age 
education: education 
dartmouth: dartmouth 
college: colleges college 
university: universities university 
california: california 
los: los 
angeles: angeles 
place: place 
albany: albany 
new: new 
york: york 
aka: aka 
rutnik: rutnik 
maiden: maiden 
elizabeth: elizabeth 
full: full 
zodiac: zodiac 
sign: sign 
sagittarius: sagittarius 
early: early 
family: family 
life: life lives 
schooling: schooling 
house: house 
senate: senate 
progressive: progressive 
conservative: conservative 
politics: politics 
cite: cite 
page: page 
quote: quotes 
mother: mothers mother 
amazing: amazing 
woman: woman women 
extremely: extremely 
strong: strong 
independent: independent 
mind: mind 
different: different 
one: one 
friend: friends 
partner: partners 
died: died 
aid: aids 
affected: affected 
man: man 
interesting: interesting 
engaging: engaging 
always: always 
superkind: superkind 
handsome: handsome 
men: men 
ever: ever 
met: met 
loss: loss 
young: young 
girl: girl 
see: see 
someone: someone 
die: die 
congress: congress 
mean: means 
diverse: diverse 
view: views 
represent: represent 
wider: wider 
swath: swath 
electorate: electorate 
bring: bring 
experience: experiences 
perspective: perspective perspectives 
bear: bear 
decision: decision 
making: making 
truly: truly 
believe: believe 
elected: elected 
better: better 
outcome: outcomes 
everyone: everyone 
slightly: slightly 
straighter: straighter 
arrow: arrow 
ok: ok 
massive: massive 
kiss: kiss 
as: ass 
lived: lived 
positive: positive 
reinforcement: reinforcement 
look: look 
sexual: sexual 
assault: assault assaults 
military: military 
campus: campuses campus 
institution: institutions institution 
propping: propping 
favored: favored 
person: person 
star: star 
