mitch: mitch 
mcconnell: mcconnell 
senator: senators senator 
kentucky: kentucky 
wife: wife 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: setting settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
wikimedia: wikimedia 
common: commons 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
age: age 
education: education 
university: university 
college: college 
law: law 
louisville: louisville 
place: place 
sheffield: sheffield 
alabama: alabama 
zodiac: zodiac 
sign: sign 
pisces: pisces 
cite: cite 
page: page 
quote: quotes 
single: single 
important: important 
thing: thing 
want: want 
achieve: achieve 
president: president 
obama: obama 
one: ones one 
talk: talk 
press: press 
advantage: advantage 
demonstrated: demonstrated 
congress: congress 
gridlock: gridlock 
country: country 
risk: risk 
guy: guy 
step: steps 
forward: forward 
try: tries 
get: get 
ditch: ditch 
publish: publish 
dec: dec 
comment: comment 
longtime: longtime 
republican: republicans republican 
named: named 
senate: senate 
majority: majority 
leader: leaders leader 
politician: politician 
began: began 
career: career 
elected: elected 
official: official 
judge: judge 
executive: executive 
jefferson: jefferson 
county: county 
moderate: moderate 
displayed: displayed 
political: political 
acumen: acumen 
enabled: enabled 
rise: rise 
position: position 
minority: minority 
gained: gained 
national: national 
attention: attention 
opposition: opposition 
barack: barack 
legislative: legislative 
ambition: ambitions 
helping: helping 
turn: turn 
tide: tide 
democratic: democratic 
control: control 
infamously: infamously 
refused: refused 
allow: allow 
hearing: hearings 
new: new 
supreme: supreme 
court: court 
nominee: nominees nominee 
following: following 
death: death 
justice: justice 
antonin: antonin 
scalia: scalia 
early: early 
year: years year 
addison: addison 
mitchell: mitchell 
jr: jr 
born: born 
contracting: contracting 
polio: polio 
two: two 
recovered: recovered 
mother: mother 
vigorous: vigorous 
therapy: therapy 
session: sessions 
even: even 
developing: developing 
talented: talented 
baseball: baseball 
player: player 
job: job 
sr: sr 
brought: brought 
family: family 
became: became 
student: student 
body: body 
dupont: dupont 
manual: manual 
high: high 
school: school 
held: held 
role: role 
graduating: graduating 
honor: honors 
b: b 
earned: earned 
j: j 
sight: sights 
politics: politics 
interned: interned 
congressman: congressman 
gene: gene 
snyder: snyder 
john: john 
sherman: sherman 
cooper: cooper 
mid: mid 
served: served 
chief: chief 
assistant: assistant 
marlow: marlow 
cook: cook 
later: later 
deputy: deputy 
attorney: attorney 
general: general 
gerald: gerald 
ford: ford 
first: first 
seat: seat 
supported: supported 
collective: collective 
bargaining: bargaining 
right: right rights 
public: public 
employee: employees 
steered: steered 
federal: federal 
fund: funds 
toward: toward 
expansion: expansion 
memorial: memorial 
forest: forest 
edged: edged 
walter: walter 
huddleston: huddleston 
making: making 
defeat: defeat 
incumbent: incumbent 
well: well 
party: party parties 
win: win 
statewide: statewide 
race: race 
since: since 
spot: spot 
foreign: foreign 
relation: relations 
committee: committee committees 
advocated: advocated 
tax: tax 
reform: reform reforms 
gaining: gaining 
traction: traction 
election: election 
known: known 
campaign: campaign 
finance: finance 
successfully: successfully 
spearheaded: spearheaded 
effort: effort 
block: block 
legislation: legislation 
front: front 
chairman: chairman 
senatorial: senatorial 
continued: continued 
buck: buck 
opportune: opportune 
moment: moments 
sued: sued 
commission: commission 
passage: passage 
bipartisan: bipartisan 
mccain: mccain 
feingold: feingold 
act: act 
opposed: opposed 
constitutional: constitutional 
amendment: amendment 
ban: ban 
desecration: desecration 
american: american 
flag: flag 
junior: junior 
renown: renown 
cunning: cunning 
ability: ability 
forge: forge 
coalition: coalitions 
voted: voted 
whip: whip 
four: four 
took: took 
top: top 
rejected: rejected 
push: push 
establishing: establishing 
timetable: timetable 
withdraw: withdraw 
troop: troops 
iraq: iraq 
late: late 
threw: threw 
behind: behind 
troubled: troubled 
asset: asset 
relief: relief 
program: program 
signed: signed 
outgoing: outgoing 
george: george 
w: w 
bush: bush 
giving: giving 
democrat: democrats 
white: white 
house: house 
branch: branches 
focused: focused 
obstructing: obstructing 
commander: commander 
whenever: whenever 
possible: possible 
notably: notably 
xa: xa 
economic: economic 
stimulus: stimulus 
package: package 
recovery: recovery 
reinvestment: reinvestment 
health: health 
insurance: insurance 
affordable: affordable 
care: care 
also: also 
obamacare: obamacare 
additionally: additionally 
stood: stood 
closing: closing 
guantanamo: guantanamo 
bay: bay 
detention: detention 
camp: camp 
delayed: delayed 
approval: approval 
judicial: judicial 
host: host 
put: put 
forth: forth 
administration: administration 
strategy: strategy 
explicit: explicit 
