muhammad: muhammad 
ali: ali 
quote: quotes 
record: record 
spouse: spouse 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
stanley: stanley 
weston: weston 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name names 
birth: birth 
date: date 
january: january 
death: death 
june: june 
education: education 
louisville: louisville 
central: central 
high: high 
school: school 
place: place 
kentucky: kentucky 
phoenix: phoenix 
arizona: arizona 
originally: originally 
cassius: cassius 
marcellus: marcellus 
clay: clay 
jr: jr 
early: early 
life: life lives 
parkinson: parkinson 
diagnosis: diagnosis 
cite: cite 
page: page 
man: man 
view: views 
world: world 
wasted: wasted 
year: years year 
mountain: mountains 
ahead: ahead 
climb: climb 
wear: wear 
pebble: pebble 
shoe: shoe 
gonna: gonna 
float: float 
like: like 
butterfly: butterfly 
sting: sting 
bee: bee 
ordinary: ordinary 
worked: worked 
hard: hard 
develop: develop 
talent: talent 
given: given 
champion: champion champions 
greatest: greatest 
thing: thing things 
ever: ever 
lived: lived 
great: great 
mark: mark 
face: face 
shook: shook 
say: says 
mosquito: mosquito 
pull: pull 
plow: plow 
ask: ask 
hitch: hitch 
get: get 
impression: impression 
watching: watching 
fight: fight fights 
play: plays 
cat: cat 
mouse: mouse 
turn: turns 
light: light 
real: real 
enemy: enemy 
disgrace: disgrace 
religion: religion religions 
becoming: becoming 
tool: tool 
enslave: enslave 
fighting: fighting 
justice: justice 
freedom: freedom 
equality: equality 
different: different 
contain: contain 
truth: truths truth 
think: think 
tolerant: tolerant 
understand: understand 
believe: believe 
job: job 
grass: grass 
grows: grows 
bird: birds 
fly: fly 
wave: waves 
pound: pound 
sand: sand 
beat: beat 
set: set 
journey: journey 
love: love 
seeking: seeking 
peace: peace 
understanding: understanding 
l: l 
still: still 
learning: learning 
truly: truly 
never: never 
wanted: wanted 
night: night 
go: go 
bed: bed 
wake: wake 
tomorrow: tomorrow 
would: would 
proud: proud 
today: today 
story: story stories 
iron: iron 
fist: fists 
beautiful: beautiful 
tan: tan 
publish: publish 
apr: apr 
comment: comment 
heavyweight: heavyweight 
boxing: boxing 
impressive: impressive 
win: win wins 
also: also 
known: known 
brave: brave 
public: public 
stance: stance 
vietnam: vietnam 
war: war 
boxer: boxer boxers 
philanthropist: philanthropist 
social: social 
activist: activist 
universally: universally 
regarded: regarded 
one: one 
athlete: athlete athletes 
th: th 
century: century 
became: became 
olympic: olympic 
gold: gold 
medalist: medalist 
xa: xa 
following: following 
suspension: suspension 
refusing: refusing 
military: military 
service: services service 
reclaimed: reclaimed 
