beerware: beerware 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
term: terms term 
software: software 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
author: author 
poul: poul 
henning: henning 
kamp: kamp 
latest: latest 
version: version 
publisher: publisher 
yes: yes 
published: published 
spdx: spdx 
identifier: identifier 
debian: debian 
fsg: fsg 
compatible: compatible 
fsf: fsf 
approved: approved 
see: see 
informal: informal 
license: license licenses 
section: section 
osi: osi 
gpl: gpl 
copyleft: copyleft 
linking: linking 
code: code 
different: different 
licence: licence 
tongue: tongue 
cheek: cheek 
released: released 
relaxed: relaxed 
licensed: licensed 
provides: provides 
end: end 
user: user 
right: rights right 
use: use 
particular: particular 
program: program 
anything: anything 
else: else 
source: source 
description: description 
edit: edit 
product: product 
meet: meet 
consider: consider 
useful: useful 
encouraged: encouraged 
either: either 
buy: buy 
beer: beer 
return: return 
drink: drink 
one: ones one 
fedora: fedora 
project: project 
humanitarian: humanitarian 
fo: foss 
trinity: trinity 
college: college 
recognized: recognized 
variant: variant 
extremely: extremely 
permissive: permissive 
copyright: copyright 
update: update 
foundation: foundation 
mention: mention 
explicitly: explicitly 
list: list 
contains: contains 
entry: entry 
listed: listed 
non: non 
however: however 
recommends: recommends 
detailed: detailed 
many: many 
variation: variations 
model: model models 
created: created 
simple: simple 
short: short 
contrast: contrast 
described: described 
joke: joke 
ware: ware 
revision: revision 
phk: phk 
org: org 
wrote: wrote 
file: file 
long: long 
retain: retain 
notice: notice 
whatever: whatever 
want: want 
stuff: stuff 
day: day 
think: think 
worth: worth 
also: also 
portalbox: portalbox 
solid: solid 
aaa: aaa 
tleft: tleft 
em: em 
tright: tright 
ul: ul 
display: display 
table: table 
box: box 
sizing: sizing 
max: max 
f: f 
line: line 
height: height 
style: styles style 
italic: italic 
weight: weight 
bold: bold 
li: li 
row: row 
span: span 
first: first 
cell: cell 
vertical: vertical 
middle: middle 
last: last 
open: open 
portal: portal 
anti: anti 
careware: careware 
comparison: comparison 
donationware: donationware 
wtfpl: wtfpl 
reference: references 
reflist: reflist 
bottom: bottom 
type: types type 
decimal: decimal 
inherit: inherit 
column: columns column 
top: top 
ol: ol 
page: page 
break: break 
inside: inside 
avoid: avoid 
upper: upper 
alpha: alpha 
roman: roman 
lower: lower 
greek: greek 
b: b 
c: cs c 
cite: cite 
citation: citation 
word: word 
wrap: wrap 
q: q 
quote: quotes 
target: target 
rgba: rgba 
id: id 
lock: lock 
linear: linear 
gradient: gradient 
url: url 
upload: upload 
wikimedia: wikimedia 
common: commons 
green: green 
svg: svg 
repeat: repeat 
limited: limited 
registration: registration 
gray: gray 
alt: alt 
subscription: subscription 
aa: aa 
red: red 
w: ws 
icon: icon 
wikisource: wikisource 
logo: logo 
hidden: hidden 
error: error 
visible: visible 
maint: maint 
left: left 
format: format 
kern: kern 
selflink: selflink 
various: various 
comment: comments 
retrieved: retrieved 
speech: speech 
really: really 
mean: mean 
www: www 
howtogeek: howtogeek 
com: com 
november: november 
licensing: licensing 
proprietary: proprietary 
gnu: gnu 
restriction: restrictions 
whatsoever: whatsoever 
fight: fights 
capitalism: capitalism 
much: much 
tool: tools 
company: company 
ever: ever 
going: going 
risk: risk 
kind: kind 
proximity: proximity 
vague: vague 
statement: statements 
assembled: assembled 
archived: archived 
original: original 
april: april 
navbox: navbox 
inner: inner 
subgroup: subgroup 
group: group 
abovebelow: abovebelow 
white: white 
space: space 
nowrap: nowrap 
fdfdfd: fdfdfd 
tr: tr 
ccf: ccf 
ddf: ddf 
e: e 
ff: ff 
even: even 
odd: odd 
hlist: hlist 
td: td 
dl: dl 
block: block 
inline: inline 
normal: normal 
collapse: collapse 
boxtext: boxtext 
spacing: spacing 
bracket: brackets 
content: content 
abbr: abbr 
