graphcore: graphcore 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
limited: limited 
type: type 
private: private 
industry: industry 
semiconductor: semiconductor semiconductors 
founded: founded 
headquarters: headquarters 
bristol: bristol 
united: united 
kingdom: kingdom 
key: key 
people: people 
nigel: nigel 
toon: toon 
ceo: ceo 
simon: simon 
knowles: knowles 
cto: cto 
product: products 
ipu: ipu 
poplar: poplar 
website: website 
british: british 
company: companies company 
develops: develops 
accelerator: accelerators accelerator 
ai: ai 
machine: machine 
learning: learning 
aim: aims 
make: makes make 
massively: massively 
parallel: parallel 
intelligence: intelligence 
processing: processing 
unit: unit 
hold: holds 
complete: complete 
model: model 
inside: inside 
processor: processor 
content: contents 
history: history 
see: see 
also: also 
reference: references 
external: external 
link: link links 
edit: edit 
autumn: autumn 
secured: secured 
first: first 
funding: funding 
round: round 
lead: lead 
robert: robert 
bosch: bosch 
venture: venture ventures 
capital: capital 
backer: backers 
include: include 
samsung: samsung 
amadeus: amadeus 
partner: partners 
c: cs c 
draper: draper 
esprit: esprit 
foundation: foundation 
pitango: pitango 
july: july 
b: b 
atomico: atomico 
followed: followed 
month: months 
later: later 
million: million 
sequoia: sequoia 
december: december 
closed: closed 
series: series 
raised: raised 
billion: billion 
valuation: valuation 
making: making 
unicorn: unicorn 
investor: investors 
included: included 
microsoft: microsoft 
dell: dell 
technology: technologies 
november: november 
announced: announced 
ipus: ipus 
available: available 
preview: preview 
azure: azure 
world: world 
graph: graph 
tool: tool 
chain: chain 
designed: designed 
called: called 
software: software 
stack: stack 
chip: chip chips 
colossus: colossus 
gc: gc 
nm: nm 
mixed: mixed 
precision: precision 
floating: floating 
point: point 
packaged: packaged 
two: two 
single: single 
pci: pci 
express: express 
card: card 
stated: stated 
perform: perform 
role: role 
gpu: gpu 
conjunction: conjunction 
standard: standard 
framework: frameworks 
tensorflow: tensorflow 
device: device 
relies: relies 
scratchpad: scratchpad 
memory: memory memories 
performance: performance 
rather: rather 
traditional: traditional 
cache: cache 
hierarchy: hierarchies 
presented: presented 
hardware: hardware 
using: using 
second: second seconds 
generation: generation 
built: built 
tsmc: tsmc 
finfet: finfet 
manufacturing: manufacturing 
process: process 
transistor: transistor 
square: square 
millimeter: millimeter 
integrated: integrated 
circuit: circuit 
computational: computational 
core: cores 
mbyte: mbyte 
local: local 
older: older 
newer: newer 
use: use 
thread: threads 
per: per 
tile: tiles tile 
total: total 
mimd: mimd 
multiple: multiple 
instruction: instruction 
parallelism: parallelism 
distributed: distributed 
form: form 
except: except 
register: registers 
kib: kib 
v: vs 
arranged: arranged 
island: islands island 
column: columns column 
latency: latency 
best: best 
within: within 
us: uses 
ieee: ieee 
fp: fp 
stochastic: stochastic 
rounding: rounding 
lower: lower 
code: code 
executed: executed 
locally: locally 
must: must 
fit: fit 
message: message 
passing: passing 
used: used 
transparently: transparently 
possible: possible 
e: e 
g: g 
pytorch: pytorch 
support: support 
portalbox: portalbox 
right: right 
solid: solid 
aaa: aaa 
tleft: tleft 
em: em 
tright: tright 
ul: ul 
display: display 
table: table 
box: box 
sizing: sizing 
max: max 
f: f 
line: line 
height: height 
style: style 
italic: italic 
weight: weight 
bold: bold 
li: li 
row: row 
span: span 
cell: cell 
vertical: vertical 
middle: middle 
last: last 
portal: portal 
array: array 
reflist: reflist 
bottom: bottom 
list: list 
decimal: decimal 
inherit: inherit 
top: top 
ol: ol 
page: page 
break: break 
avoid: avoid 
upper: upper 
alpha: alpha 
roman: roman 
greek: greek 
cite: cite 
citation: citation 
word: word 
wrap: wrap 
q: q 
quote: quotes 
target: target 
rgba: rgba 
id: id 
lock: lock 
linear: linear 
gradient: gradient 
url: url 
upload: upload 
