minitab: minitab 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
statistic: statistics 
software: software 
article: articles article 
includes: includes 
list: list 
general: general 
reference: references 
remains: remains 
largely: largely 
unverified: unverified 
lack: lacks 
sufficient: sufficient 
corresponding: corresponding 
inline: inline 
citation: citations citation 
please: please 
help: help helps 
improve: improve 
introducing: introducing 
precise: precise 
march: march 
learn: learn 
remove: remove 
template: template 
message: message 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
running: running 
window: windows 
original: original 
author: author 
barbara: barbara 
f: f 
ryan: ryan 
thomas: thomas 
jr: jr 
brian: brian 
l: l 
joiner: joiner 
developer: developer 
llc: llc 
initial: initial 
release: release 
stable: stable 
april: april 
month: months 
ago: ago 
operating: operating 
system: system 
web: web 
app: app 
formerly: formerly 
mac: mac 
type: type 
statistical: statistical 
analysis: analysis 
license: license 
trialware: trialware 
website: website 
com: com 
package: package packages 
developed: developed 
pennsylvania: pennsylvania 
state: state 
university: university 
researcher: researchers 
conjunction: conjunction 
triola: triola 
company: company 
began: began 
light: light 
version: version 
omnitab: omnitab 
program: program 
national: national 
institute: institute 
standard: standards 
technology: technology 
content: content contents 
history: history 
interoperability: interoperability 
see: see 
also: also 
reading: reading 
external: external 
link: link links 
edit: edit 
section: section 
need: needs 
expansion: expansion 
adding: adding 
january: january 
project: project 
received: received 
funding: funding 
nist: nist 
conceived: conceived 
joseph: joseph 
hilsenrath: hilsenrath 
year: years 
ibm: ibm 
documentation: documentation 
last: last 
published: published 
significant: significant 
development: development 
since: since 
distributed: distributed 
privately: privately 
owned: owned 
headquartered: headquartered 
college: college 
covid: covid 
pandemic: pandemic 
requested: requested 
million: million 
paycheck: paycheck 
protection: protection 
avoid: avoid 
let: let 
go: go 
employee: employees 
subsidiary: subsidiaries 
uk: uk 
france: france 
germany: germany 
hong: hong 
kong: kong 
australia: australia 
produce: produces 
used: used 
connect: connect 
business: businesses business 
centralize: centralize 
organize: organize 
quality: quality 
trainer: trainer 
elearning: elearning 
teach: teaches 
concept: concepts 
workspace: workspace 
provides: provides 
planning: planning 
visualization: visualization 
tool: tool tools 
engage: engage 
idea: idea 
innovation: innovation 
management: management 
well: well 
managing: managing 
six: six 
sigma: sigma 
lean: lean 
manufacturing: manufacturing 
deployment: deployments 
october: october 
launched: launched 
first: first 
cloud: cloud 
based: based 
june: june 
desktop: desktop 
available: available 
former: former 
macos: macos 
x: x 
longer: longer 
supported: supported 
comparison: comparison 
reflist: reflist 
bottom: bottom 
em: em 
style: styles style 
decimal: decimal 
inherit: inherit 
column: columns column 
top: top 
ol: ol 
li: li 
page: page 
break: break 
inside: inside 
upper: upper 
alpha: alpha 
roman: roman 
lower: lower 
greek: greek 
b: b 
cite: cite 
word: word 
wrap: wrap 
q: q 
quote: quotes 
target: target 
rgba: rgba 
id: id 
lock: lock 
c: cs c 
linear: linear 
gradient: gradient 
url: url 
upload: upload 
wikimedia: wikimedia 
org: org 
common: commons 
green: green 
svg: svg 
right: right 
repeat: repeat 
limited: limited 
registration: registration 
gray: gray 
alt: alt 
subscription: subscription 
aa: aa 
red: red 
w: w ws 
icon: icon 
wikisource: wikisource 
logo: logo 
code: code 
hidden: hidden 
error: error 
display: display 
visible: visible 
maint: maint 
left: left 
format: format 
kern: kern 
selflink: selflink 
weight: weight 
support: support 
policy: policy 
www: www 
retrieved: retrieved 
peavy: peavy 
sally: sally 
nb: nbs 
special: special 
publication: publication 
digital: digital 
computer: computer 
newsletter: newsletter 
gov: gov 
u: us 
havener: havener 
crispin: crispin 
wide: wide 
variety: variety 
local: local 
sought: sought 
federal: federal 
ppp: ppp 
loan: loans 
wjac: wjac 
status: status 
product: products 
launch: launches 
tm: tm 
accelerate: accelerate 
generation: generation 
