body: body 
margin: margin 
top: top 
important: important 
padding: padding 
min: min 
width: width 
px: px 
wm: wm 
rw: rw 
iframe: iframe 
id: id 
donato: donato 
src: src 
platform: platform 
wb: wb 
referer: referer 
web: web 
archive: archive 
org: org 
towardsdatascience: towardsdatascience 
com: com 
pythonic: pythonic 
care: care 
e: e 
fgi: fgi 
ddd: ddd 
bc: bc 
b: b 
scrolling: scrolling 
frameborder: frameborder 
style: style 
height: height 
capture: capture 
aug: aug 
jul: jul 
sep: sep 
success: success 
fail: fail 
save: save 
snapshot: snapshot 
open: open 
href: href 
title: title 
share: share 
via: via 
screenshot: screenshot 
collected: collected 
collection: collection 
page: page 
timestamps: timestamps 
wayback: wayback 
machine: machine 
bt: bt 
false: false 
document: document 
domain: domain 
get: get 
started: started 
app: app 
sign: sign 
follow: follow 
k: k 
follower: followers 
