b: b 
c: c 
n: n 
dung: dung 
input: input 
type: type 
checkbox: checkbox 
id: id 
mw: mw 
sidebar: sidebar 
class: class 
hack: hack 
checked: checked 
label: label 
button: button 
ui: ui 
icon: icon 
quiet: quiet 
element: element 
role: role 
aria: aria 
control: controls 
panel: panel 
data: data 
event: event 
name: name 
tabindex: tabindex 
title: title 
tr: tr 
nh: nh 
ch: ch 
thanh: thanh 
img: img 
logo: logo 
src: src 
static: static 
image: images 
mobile: mobile 
copyright: copyright 
wikipedia: wikipedia 
png: png 
alt: alt 
hidden: hidden 
true: true 
height: height 
width: width 
wordmark: wordmark 
en: en 
svg: svg 
style: style 
em: em 
tagline: tagline 
khoa: khoa 
th: th 
vi: vi 
form: form 
action: action 
w: w 
index: index 
php: php 
searchform: searchform 
vector: vector 
search: search 
box: box 
div: div 
simplesearch: simplesearch 
inner: inner 
loc: loc 
header: header 
moved: moved 
placeholder: placeholder 
ki: ki 
autocapitalize: autocapitalize 
sentence: sentences 
f: f 
accesskey: accesskey 
searchinput: searchinput 
searchbutton: searchbutton 
fallbacksearchbutton: fallbacksearchbutton 
submit: submit 
fulltext: fulltext 
trang: trang 
value: value 
go: go 
xem: xem 
kh: kh 
p: p 
v: v 
u: u 
href: href 
wiki: wiki 
e: e 
ba: ba 
bi: bi 
bb: bb 
acm: acm 
bfm: bfm 
wikimedia: wikimedia 
toggle: toggle 
