ilhan: ilhan 
omar: omar 
politics: politics 
husband: husband 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
kristie: kristie 
boyd: boyd 
house: house 
office: office 
photoraphy: photoraphy 
quick: quick 
name: name 
birth: birth 
date: date 
october: october 
age: age 
place: place 
mogadishu: mogadishu 
somalia: somalia 
cite: cite 
page: page 
quote: quotes 
land: land 
immigrant: immigrants 
come: come 
opportunity: opportunities opportunity 
second: second 
chance: chance 
time: time times 
fight: fight 
america: america 
know: know 
principle: principle 
anti: anti 
war: war 
survived: survived 
work: work 
every: every 
day: day 
make: make 
sure: sure 
living: living 
tolerant: tolerant 
world: world 
worry: worry 
life: life lives 
ending: ending 
anxiety: anxiety 
cause: causes 
family: families family 
member: member members 
end: end 
supposed: supposed 
invisibility: invisibility 
aspect: aspect 
muslim: muslim 
woman: woman women 
caricature: caricatures 
seen: seen 
oppressed: oppressed 
need: need 
saving: saving 
patriarchal: patriarchal 
idea: ideas 
inferiority: inferiority 
really: really 
farther: farther 
raised: raised 
publish: publish 
apr: apr 
comment: comment 
democratic: democratic 
politician: politician 
arrived: arrived 
united: united 
state: state states 
refugee: refugee 
became: became 
one: one 
first: first 
two: two 
elected: elected 
congress: congress 
fled: fled 
civil: civil 
child: children child 
spent: spent 
four: four 
year: years year 
camp: camp 
received: received 
asylum: asylum 
citizen: citizen 
seat: seat 
minnesota: minnesota 
represent: represent 
th: th 
district: district 
somali: somali 
american: american 
also: also 
legislate: legislate 
floor: floor 
wearing: wearing 
hijab: hijab 
progressive: progressive 
farmer: farmer 
labor: labor 
party: party 
memoir: memoir 
look: look looks 
like: like 
journey: journey 
