tom: tom 
steyer: steyer 
wife: wife 
policy: policies policy 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
ad: ad 
choice: choices choice 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
david: david 
paul: paul 
morris: morris 
bloomberg: bloomberg 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
june: june 
age: age 
place: place 
new: new 
york: york 
zodiac: zodiac 
sign: sign 
cancer: cancer 
cite: cite 
page: page 
publish: publish 
nov: nov 
comment: comment 
american: americans american 
billionaire: billionaire 
philanthropist: philanthropist 
known: known 
environmental: environmental 
liberal: liberal 
political: political 
activism: activism 
sought: sought 
democratic: democratic 
nomination: nomination 
president: president 
built: built 
wealth: wealth 
former: former 
hedge: hedge 
fund: fund 
investor: investor 
california: california 
left: left 
financial: financial 
world: world 
focus: focus 
politics: politics 
fighting: fighting 
climate: climate 
change: change 
following: following 
year: years year 
founded: founded 
nextgen: nextgen 
america: america 
nonprofit: nonprofit 
push: push pushes 
progressive: progressive 
solution: solutions 
area: areas area 
healthcare: healthcare 
education: education 
immigration: immigration 
began: began 
attracting: attracting 
national: national 
attention: attention 
need: need 
impeach: impeach 
campaign: campaign 
donald: donald 
trump: trump 
announced: announced 
candidacy: candidacy 
presidential: presidential 
election: election 
july: july 
bowing: bowing 
race: race 
early: early 
life: life lives 
born: born 
city: city 
mother: mother 
teacher: teacher 
father: father 
partner: partner 
law: law 
firm: firm 
sullivan: sullivan 
cromwell: cromwell 
two: two 
brother: brothers 
one: one 
jim: jim 
lawyer: lawyer 
professor: professor 
stanford: stanford 
university: university 
common: common 
sense: sense 
medium: media 
grew: grew 
privilege: privilege 
attending: attending 
prestigious: prestigious 
boarding: boarding 
school: school 
phillips: phillips 
exeter: exeter 
academy: academy 
yale: yale 
majored: majored 
economics: economics 
science: science 
would: would 
going: going 
business: business businesses 
later: later 
serve: serve 
board: board 
trustee: trustees 
career: career 
embarked: embarked 
morgan: morgan 
stanley: stanley 
moving: moving 
onto: onto 
goldman: goldman 
sachs: sachs 
associate: associate 
merger: mergers 
acquisition: acquisitions 
risk: risk 
arbitrage: arbitrage 
division: division 
becoming: becoming 
san: san 
francisco: francisco 
based: based 
private: private 
equity: equity 
hellman: hellman 
friedman: friedman 
farallon: farallon 
capital: capital 
managed: managed 
next: next 
player: player 
strong: strong 
base: base 
connection: connections 
thanks: thanks 
family: family 
banking: banking 
tie: ties 
reputation: reputation 
making: making 
strategic: strategic 
solid: solid 
bet: bets 
institution: institutions 
foundation: foundations 
affluent: affluent 
individual: individuals 
running: running 
well: well 
decade: decades 
company: company 
turned: turned 
issue: issues issue 
platform: platform 
justice: justice 
along: along 
utilizing: utilizing 
organization: organization 
finance: finance 
promote: promote 
candidate: candidates 
bold: bold 
agenda: agendas 
also: also 
pushed: pushed 
stronger: stronger 
global: global 
alliance: alliances 
trillion: trillion 
dollar: dollar 
plan: plan 
included: included 
declaring: declaring 
emergency: emergency 
first: first 
day: day 
entry: entry 
paris: paris 
accord: accords 
creating: creating 
million: millions 
green: green 
job: jobs 
protecting: protecting 
low: low 
income: income 
community: community communities 
affected: affected 
foremost: foremost 
x: x 
c: c 
afford: afford 
countenance: countenance 
continued: continued 
lying: lying 
republican: republican 
party: party 
told: told 
vogue: vogue 
come: comes 
health: health 
care: care 
tax: tax taxes 
cut: cuts 
government: government 
allowing: allowing 
corporation: corporations 
make: make 
sure: sure 
hazardous: hazardous 
waste: waste 
end: ends 
poorest: poorest 
least: least 
power: power 
prevent: prevent 
theoretical: theoretical 
fancy: fancy 
pant: pants 
elitist: elitist 
straight: straight 
read: read 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
despite: despite 
belief: belief 
fundamental: fundamental 
right: right 
medicare: medicare 
instead: instead 
suggested: suggested 
expanding: expanding 
coverage: coverage 
way: way 
public: public 
option: option 
think: think 
everything: everything 
society: society 
order: order 
drive: drive 
cost: cost 
everybody: everybody 
every: every 
affordable: affordable 
fox: fox 
news: news 
cavuto: cavuto 
live: live 
without: without 
turning: turning 
upside: upside 
said: said 
propose: propose 
restructuring: restructuring 
federal: federal 
committee: committee 
fight: fight 
overturn: overturn 
supreme: supreme 
court: court 
controversial: controversial 
citizen: citizens 
united: united 
decision: decision 
back: back 
corporate: corporate 
influence: influence 
expressed: expressed 
raising: raising 
wealthy: wealthy 
although: although 
offer: offer 
specific: specifics 
much: much 
advocated: advocated 
repealing: repealing 
unbalanced: unbalanced 
unfair: unfair 
richest: richest 
taking: taking 
advantage: advantage 
else: else 
philanthropy: philanthropy 
married: married 
kathryn: kathryn 
taylor: taylor 
harvard: harvard 
graduate: graduate 
couple: couple 
four: four 
child: children 
sam: sam 
charles: charles 
evelyn: evelyn 
henry: henry 
launched: launched 
oneroof: oneroof 
inc: inc 
help: helps help 
provide: provide 
internet: internet 
access: access 
employment: employment 
skill: skills 
small: small 
mexico: mexico 
india: india 
development: development 
bank: bank 
beneficial: beneficial 
state: state 
underserved: underserved 
donated: donated 
alma: alma 
mater: maters 
advanced: advanced 
energy: energy 
owns: owns 
environmentally: environmentally 
minded: minded 
cattle: cattle 
grazing: grazing 
operation: operation 
near: near 
experiment: experiment 
curbing: curbing 
greenhouse: greenhouse 
emission: emissions 
farming: farming 
industry: industry 
civic: civic 
duty: duty 
compelled: compelled 
bill: bill 
gate: gates 
warren: warren 
buffet: buffet 
giving: giving 
pledge: pledge 
promise: promises 
vast: vast 
philanthropic: philanthropic 
cause: causes 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
march: march 
original: original 
published: published 
november: november 
receive: receive 
story: story stories 
shaped: shaped 
person: person 
cruise: cruise 
actor: actor 
star: star 
several: several 
box: box 
office: office 
hit: hits hit 
including: including 
risky: risky 
good: good 
men: men 
jerry: jerry 
maguire: maguire 
mission: mission 
impossible: impossible 
franchise: franchise 
hank: hanks 
beloved: beloved 
hollywood: hollywood 
splash: splash 
big: big 
forrest: forrest 
gump: gump 
apollo: apollo 
toy: toy 
colonel: colonel 
parker: parker 
elvis: elvis 
presley: presley 
singer: singer 
rock: rock 
superstar: superstars 
brokaw: brokaw 
served: served 
anchor: anchor 
nbc: nbc 
nightly: nightly 
covered: covered 
watergate: watergate 
fall: fall 
berlin: berlin 
wall: wall 
terrorist: terrorist 
attack: attacks 
ford: ford 
fashion: fashion 
designer: designer 
film: film films 
director: director 
creative: creative 
gucci: gucci 
label: label 
petty: petty 
best: best 
legendary: legendary 
frontman: frontman 
band: band 
heartbreaker: heartbreakers 
enjoyed: enjoyed 
success: success 
solo: solo 
artist: artist 
song: songs 
free: free 
fallin: fallin 
runnin: runnin 
dream: dream 
brady: brady 
tampa: tampa 
bay: bay 
buccaneer: buccaneers 
quarterback: quarterback 
became: became 
nfl: nfl 
win: win 
seven: seven 
super: super 
bowl: bowl 
championship: championships 
jones: jones 
welsh: welsh 
unusual: unusual 
grass: grass 
home: home 
delilah: delilah 
till: till 
boy: boy 
nowhere: nowhere 
selleck: selleck 
portraying: portraying 
thomas: thomas 
magnum: magnum 
series: series 
p: p 
include: include 
three: three 
baby: baby 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
