sasha: sasha 
obama: obama 
college: college 
age: age 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video videos 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
chip: chip 
somodevilla: somodevilla 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
june: june 
place: place 
chicago: chicago 
illinois: illinois 
full: full 
natasha: natasha 
marian: marian 
cite: cite 
page: page 
publish: publish 
jun: jun 
comment: comment 
younger: younger 
daughter: daughter daughters 
former: former 
president: president 
barack: barack 
first: first 
lady: lady 
michelle: michelle 
born: born 
state: state states 
senator: senator 
became: became 
youngest: youngest 
white: white 
house: house 
resident: resident 
since: since 
child: children child 
john: john 
f: f 
kennedy: kennedy 
following: following 
father: father 
election: election 
carefully: carefully 
guarded: guarded 
two: two 
administration: administration 
played: played 
basketball: basketball 
prestigious: prestigious 
sidwell: sidwell 
friend: friends 
school: school schools 
joined: joined 
parent: parents 
older: older 
sister: sister 
malia: malia 
official: official 
trip: trips 
overseas: overseas 
enrolling: enrolling 
university: university 
michigan: michigan 
early: early 
year: years year 
mother: mother 
soon: soon 
begin: begin 
job: job 
executive: executive 
director: director 
community: community 
affair: affairs 
medical: medical 
center: center 
meningitis: meningitis 
scare: scare 
grew: grew 
become: become 
healthy: healthy 
active: active 
remaining: remaining 
big: big 
hyde: hyde 
park: park 
neighborhood: neighborhood 
elected: elected 
senate: senate 
attended: attended 
laboratory: laboratory 
kept: kept 
busy: busy 
piano: piano 
tennis: tennis 
gymnastics: gymnastics 
tap: tap 
dance: dance 
lesson: lessons 
way: way 
becoming: becoming 
national: national 
figure: figure 
ambitious: ambitious 
campaigned: campaigned 
presidency: presidency 
made: made 
television: television 
appearance: appearance 
july: july 
part: part 
access: access 
hollywood: hollywood 
segment: segment 
candidate: candidate 
family: family 
though: though 
later: later 
regretted: regretted 
including: including 
interview: interview 
life: life lives 
th: th 
november: november 
old: old 
month: month 
jr: jr 
caroline: caroline 
receiving: receiving 
personal: personal 
tour: tour 
new: new 
home: home 
outgoing: outgoing 
presidential: presidential 
jenna: jenna 
barbara: barbara 
bush: bush 
settled: settled 
mansion: mansion 
watch: watch 
maternal: maternal 
grandmother: grandmother 
robinson: robinson 
fulfilled: fulfilled 
campaign: campaign 
promise: promise 
gifting: gifting 
portuguese: portuguese 
water: water 
dog: dog 
named: named 
bo: bo 
second: second 
one: one 
sunny: sunny 
set: set 
series: series 
ground: ground 
rule: rules 
included: included 
limited: limited 
tv: tv 
time: time 
facebook: facebook 
largely: largely 
sheltered: sheltered 
medium: media 
secret: secret 
service: service 
agent: agents 
assigned: assigned 
code: code 
rosebud: rosebud 
enjoyed: enjoyed 
normal: normal 
childhood: childhood 
activity: activities 
like: like 
sleepover: sleepovers 
class: classes class 
forged: forged 
close: close 
friendship: friendship 
maisy: maisy 
biden: biden 
granddaughter: granddaughter 
vice: vice 
joe: joe 
still: still 
occasionally: occasionally 
business: business 
august: august 
op: op 
sought: sought 
portray: portray 
gulf: gulf 
mexico: mexico 
safe: safe 
bp: bp 
oil: oil 
spill: spill 
international: international 
brought: brought 
kremlin: kremlin 
moscow: moscow 
russia: russia 
vatican: vatican 
rome: rome 
italy: italy 
according: according 
memoir: memoir 
began: began 
asserting: asserting 
independent: independent 
personality: personality 
start: start 
longer: longer 
eager: eager 
join: join 
traditional: traditional 
event: events 
annual: annual 
pardoning: pardoning 
thanksgiving: thanksgiving 
turkey: turkey 
devotee: devotee 
cooking: cooking 
show: shows 
commandeered: commandeered 
residence: residence 
kitchen: kitchen 
sport: sports 
fan: fan 
fifa: fifa 
woman: woman women 
world: world 
cup: cup 
final: final 
vancouver: vancouver 
canada: canada 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
took: took 
dinner: dinner 
march: march 
photographed: photographed 
getting: getting 
thumb: thumbs 
chatted: chatted 
heartthrob: heartthrob 
actor: actor 
ryan: ryan 
reynolds: reynolds 
landed: landed 
popular: popular 
martha: martha 
vineyard: vineyard 
seafood: seafood 
restaurant: restaurant 
summer: summer 
unlike: unlike 
enjoying: enjoying 
break: break 
study: studies 
entering: entering 
harvard: harvard 
young: young 
head: head 
moved: moved 
another: another 
washington: washington 
c: c 
reportedly: reportedly 
scored: scored 
favorable: favorable 
living: living 
arrangement: arrangement 
finished: finished 
high: high 
january: january 
jaunt: jaunt 
miami: miami 
beach: beach 
indonesian: indonesian 
vacation: vacation 
rest: rest 
spring: spring 
broccoli: broccoli 
city: city 
festival: festival 
rapper: rappers 
cardi: cardi 
b: b 
offset: offset 
beyonc: beyonc 
xe: xe 
jay: jay 
z: z 
concert: concert 
paris: paris 
education: education 
entered: entered 
private: private 
quaker: quaker 
institution: institution 
previously: previously 
served: served 
theodore: theodore 
roosevelt: roosevelt 
richard: richard 
nixon: nixon 
bill: bill 
clinton: clinton 
al: al 
gore: gore 
competitive: competitive 
swimmer: swimmer 
especially: especially 
famously: famously 
helped: helped 
coach: coach 
hoop: hoops 
team: team 
league: league 
title: title 
negative: negative 
attention: attention 
forced: forced 
step: step 
aside: aside 
also: also 
involved: involved 
performing: performing 
art: arts 
among: among 
area: area 
tapped: tapped 
ballet: ballet 
production: production 
nutcracker: nutcracker 
late: late 
graduating: graduating 
caused: caused 
stir: stir 
bypassing: bypassing 
allure: allure 
ivy: ivy 
many: many 
student: students 
affected: affected 
covid: covid 
pandemic: pandemic 
spent: spent 
sophomore: sophomore 
tuning: tuning 
remotely: remotely 
tempting: tempting 
midnight: midnight 
baking: baking 
session: sessions 
xa: xa 
known: known 
sassy: sassy 
described: described 
cutup: cutup 
joked: joked 
afraid: afraid 
refers: refers 
music: music 
guru: guru 
provided: provided 
glimpse: glimpse 
musical: musical 
taste: tastes 
singing: singing 
dancing: dancing 
couple: couple 
deleted: deleted 
tiktok: tiktok 
revealed: revealed 
serious: serious 
side: side 
participating: participating 
demonstration: demonstrations 
protest: protest 
police: police 
brutality: brutality 
death: deaths 
george: george 
floyd: floyd 
breonna: breonna 
taylor: taylor 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
right: right 
citation: citation 
information: information 
article: article 
author: author 
com: com 
editor: editors 
website: website 
url: url 
publisher: publisher 
e: e 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
receive: receive 
story: stories 
shaped: shaped 
sign: sign 
person: person 
lawyer: lawyer 
writer: writer 
wife: wife 
prior: prior 
role: role 
administrator: administrator 
outreach: outreach 
worker: worker 
united: united 
african: african 
american: american 
serve: serve 
office: office 
rahm: rahm 
emanuel: emanuel 
politician: politician 
chief: chief 
staff: staff 
mayor: mayor 
ethel: ethel 
best: best 
widow: widow 
robert: robert 
attorney: attorney 
general: general 
york: york 
assassinated: assassinated 
hillary: hillary 
win: win 
public: public 
seat: seat 
nominee: nominee 
major: major 
political: political 
party: party 
betty: betty 
ford: ford 
resigned: resigned 
husband: husband 
gerald: gerald 
acting: acting 
chelsea: chelsea 
rodham: rodham 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
