var: vars var 
home: home 
metadata: metadata 
searchcount: searchcount 
logorelpath: logorelpath 
customer: customer 
logo: logos 
thirdparthauth: thirdparthauth 
false: false 
currentpage: currentpage 
document: documents document 
xplorevirtual: xplorevirtual 
iswebaccount: iswebaccount 
isprovisioned: isprovisioned 
globalnotification: globalnotification 
cart: cart 
count: count 
skip: skip 
main: main 
content: content contents 
write: write 
body: body 
rightslink: rightslink 
publisher: publisher 
recordid: recordid 
author: author authors 
profile: profile 
touppercase: touppercase 
enabled: enabled 
else: else 
true: true 
xplglobal: xplglobal 
disqus: disqus 
remote: remote 
auth: auth 
public: public 
api: api 
key: key 
lxkgmbpnibqvfk: lxkgmbpnibqvfk 
tqlcwesvloe: tqlcwesvloe 
rgiy: rgiy 
cv: cv 
tcu: tcu 
vp: vp 
ol: ol 
eeitybbkvijjgnyy: eeitybbkvijjgnyy 
short: short 
name: names name 
ieeexplore: ieeexplore 
client: client 
url: url 
sso: sso 
sessionprofile: sessionprofile 
provisioned: provisioned 
fulltextaccess: fulltextaccess 
isaccessfrominstitution: isaccessfrominstitution 
userinfo: userinfo 
institute: institute 
member: member 
individual: individual 
guest: guest 
subscribedcontent: subscribedcontent 
filecabinetcontent: filecabinetcontent 
filecabinetuser: filecabinetuser 
institutionalfilecabinetuser: institutionalfilecabinetuser 
showpatentcitations: showpatentcitations 
showget: showget 
link: link 
showopenurllink: showopenurllink 
tracked: tracked 
delegatedadmin: delegatedadmin 
desktop: desktop 
isinstitutiondashboardenabled: isinstitutiondashboardenabled 
isinstitutionprofileenabled: isinstitutionprofileenabled 
isroamingenabled: isroamingenabled 
isdelegatedadmin: isdelegatedadmin 
ismdl: ismdl 
iscwg: iscwg 
travis: travis 
e: e 
oliphant: oliphant 
affiliation: affiliation affiliations 
brigham: brigham 
young: young 
university: university 
usa: usa 
bio: bio 
p: p 
assistant: assistant 
professor: professor 
electrical: electrical 
computer: computer 
engineering: engineering 
principal: principal 
scipy: scipy 
numpy: numpy 
research: research 
interest: interests interest 
include: include 
microscale: microscale 
impedance: impedance 
imaging: imaging 
mri: mri 
reconstruction: reconstruction 
inhomogeneous: inhomogeneous 
field: field fields 
biomedical: biomedical 
inverse: inverse 
problem: problem 
phd: phd 
mayo: mayo 
graduate: graduate 
school: school 
contact: contact 
byu: byu 
edu: edu 
firstname: firstname 
lastname: lastname 
id: ids id 
issn: issn 
format: format 
print: print 
value: values value 
electronic: electronic 
x: x 
articlenumber: articlenumber 
dbtime: dbtime 
m: ms 
metric: metrics 
citationcountpaper: citationcountpaper 
citationcountpatent: citationcountpatent 
totaldownloads: totaldownloads 
sponsor: sponsors 
packagenumber: packagenumber 
ieee: ieee 
society: society 
keywords: keywords 
kwd: kwd 
scientific: scientific 
computing: computing 
high: high 
level: level 
language: language languages 
library: libraries 
writing: writing 
application: application 
software: software 
embedded: embedded 
standard: standards standard 
development: development 
internet: internet 
prototype: prototypes 
type: types type 
inspec: inspec 
controlled: controlled 
indexing: indexing 
non: non 
python: python 
steering: steering 
code: codes code 
programming: programming 
abstract: abstract 
excellent: excellent 
written: written 
however: however 
additional: additional 
basic: basic 
tool: tools 
transforms: transforms 
suited: suited 
often: often 
fast: fast 
enough: enough 
immediately: immediately 
useful: useful 
also: also 
flexible: flexible 
sped: sped 
extension: extensions 
doi: doi 
mcse: mcse 
science: science 
displaypublicationtitle: displaypublicationtitle 
pdfpath: pdfpath 
iel: iel 
pdf: pdf 
issuelink: issuelink 
xpl: xpl 
tocresult: tocresult 
jsp: jsp 
isnumber: isnumber 
doilink: doilink 
allowcomments: allowcomments 
isreadingroomarticle: isreadingroomarticle 
isgetarticle: isgetarticle 
isgetaddressinfocaptured: isgetaddressinfocaptured 
ismarketingoptin: ismarketingoptin 
pubtopics: pubtopics 
processing: processing 
