berry: berry 
gordy: gordy 
jr: jr 
son: son 
age: age ages 
song: song songs 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
steve: steve 
granitz: granitz 
wireimage: wireimage 
quick: quick 
fact: facts fact 
name: name names 
birth: birth 
date: date 
november: november 
place: place 
detroit: detroit 
michigan: michigan 
zodiac: zodiac 
sign: sign 
sagittarius: sagittarius 
cite: cite 
page: page 
quote: quotes 
motown: motown 
educated: educated 
control: control 
emotion: emotions 
hear: hear 
make: makes 
dance: dance 
sing: sing 
happy: happy 
sad: sad 
publish: publish 
apr: apr 
comment: comment 
founded: founded 
record: record records 
propelled: propelled 
group: groups group 
like: like 
supremes: supremes 
success: success 
became: became 
largest: largest 
black: black 
owned: owned 
company: company 
united: united 
state: states 
saw: saw 
popular: popular 
artist: artists 
developed: developed 
including: including 
jackson: jackson 
stevie: stevie 
wonder: wonder 
marvin: marvin 
gaye: gaye 
xa: xa 
dominate: dominate 
music: music 
scene: scene 
changing: changing 
taste: tastes 
loss: loss 
focus: focus 
led: led 
decline: decline 
sold: sold 
inducted: inducted 
rock: rock 
roll: roll 
hall: hall 
fame: fame 
year: years year 
early: early 
life: life lives 
work: work 
born: born 
seventh: seventh 
eight: eight 
child: children 
close: close 
knit: knit 
hardworking: hardworking 
family: family 
unlike: unlike 
sibling: siblings 
struggled: struggled 
school: school 
loved: loved 
interested: interested 
songwriting: songwriting 
kicked: kicked 
high: high 
class: class 
dropped: dropped 
order: order 
pursue: pursue 
boxing: boxing 
career: career careers 
time: time 
triumphed: triumphed 
professional: professional 
fight: fights 
however: however 
realization: realization 
would: would 
much: much 
faster: faster 
prompted: prompted 
return: return 
plan: plans 
interrupted: interrupted 
drafted: drafted 
army: army 
two: two 
earned: earned 
ged: ged 
opened: opened 
store: store 
friend: friend friends 
unfortunately: unfortunately 
focused: focused 
jazz: jazz 
customer: customers 
wanted: wanted 
r: r 
b: b 
realized: realized 
late: late 
keep: keep 
business: business 
folding: folding 
money: money 
gotten: gotten 
married: married 
took: took 
job: job 
lincoln: lincoln 
mercury: mercury 
plant: plant 
assembly: assembly 
line: line 
monotony: monotony 
putting: putting 
upholstery: upholstery 
car: cars 
day: day 
one: one 
benefit: benefit 
could: could 
compose: compose 
head: head 
working: working 
decided: decided 
hand: hand 
dedicate: dedicate 
wife: wife 
approve: approve 
ended: ended 
separating: separating 
connection: connections 
encountered: encountered 
singer: singer 
jackie: jackie 
wilson: wilson 
manager: manager 
co: co 
writing: writing 
hit: hits hit 
reet: reet 
petite: petite 
came: came 
also: also 
wrote: wrote 
lonely: lonely 
teardrop: teardrops 
x: x 
soon: soon 
started: started 
publishing: publishing 
called: called 
jobete: jobete 
combination: combination 
letter: letters 
three: three 
lucrative: lucrative 
hoped: hoped 
therefore: therefore 
open: open 
beginning: beginnings 
using: using 
loaned: loaned 
formed: formed 
tamla: tamla 
january: january 
set: set 
shop: shop 
house: house 
west: west 
grand: grand 
boulevard: boulevard 
chose: chose 
aspirational: aspirational 
hitsville: hitsville 
headquarters: headquarters 
label: label labels 
embody: embody 
corporation: corporation 
incorporated: incorporated 
want: want 
performed: performed 
written: written 
barrett: barrett 
strong: strong 
serving: serving 
writer: writer 
well: well wells 
discovering: discovering 
distributor: distributors 
large: large 
bite: bite 
income: income 
encouraged: encouraged 
smokey: smokey 
robinson: robinson 
start: start 
handling: handling 
national: national 
distribution: distribution 
miracle: miracles 
million: million 
copy: copies 
around: around 
climbed: climbed 
chart: charts 
pop: pop 
next: next 
marvelettes: marvelettes 
first: first 
