fred: fred 
shuttlesworth: shuttlesworth 
quote: quotes 
death: death 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video videos 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
name: name 
birth: birth 
date: date 
march: march marches 
october: october 
education: education 
selma: selma 
university: university 
alabama: alabama 
state: state 
college: college 
place: place 
mount: mount 
meigs: meigs 
birmingham: birmingham 
originally: originally 
freddie: freddie 
lee: lee 
robinson: robinson 
nickname: nickname 
wild: wild 
man: man 
aka: aka 
l: l 
full: full 
background: background 
call: call 
pulpit: pulpit 
civil: civil 
right: right rights 
leader: leaders leader 
youth: youth 
protest: protests 
voting: voting 
later: later 
year: years 
related: related 
cite: cite 
page: page 
wanted: wanted 
confrontation: confrontation 
nonviolent: nonviolent 
see: see 
would: would 
work: work 
nation: nation 
trying: trying 
launch: launch 
systematic: systematic 
wholehearted: wholehearted 
battle: battle 
segregation: segregation 
set: set 
pace: pace 
think: think 
principle: principle 
politics: politics 
ought: ought 
take: take 
choose: choose 
got: got 
keep: keep 
marching: marching 
tomorrow: tomorrow 
today: today 
next: next 
day: day 
said: said 
martin: martin 
luther: luther 
king: king 
jr: jr 
assure: assure 
come: come 
movement: movement 
gain: gain 
prestige: prestige 
really: really 
shake: shake 
country: country 
matter: matter 
many: many 
time: times 
beat: beat 
still: still 
go: go 
well: well 
doctor: doctor 
lord: lord 
knew: knew 
lived: lived 
hard: hard 
town: town 
gave: gave 
head: head 
fight: fight 
must: must 
remember: remember 
drill: drill 
amazing: amazing 
much: much 
discipline: discipline 
exercise: exercise 
realize: realize 
way: way 
order: order 
appointed: appointed 
end: end 
may: may 
god: god 
strengthen: strengthen 
spirit: spirit 
uplift: uplift 
heart: heart 
even: even 
accuser: accusers 
forced: forced 
admit: admit 
truly: truly 
courage: courage 
conviction: conviction 
integrity: integrity 
telegram: telegram 
publish: publish 
jan: jan 
comment: comment 
baptist: baptist 
minister: minister 
one: one 
top: top 
working: workings working 
sclc: sclc 
south: south 
prominent: prominent 
worked: worked 
closely: closely 
dr: dr 
co: co 
founding: founding 
organizing: organizing 
direct: direct 
action: action 
refusing: refusing 
waver: waver 
multiple: multiple 
attack: attacks 
also: also 
community: community 
activist: activist activists 
cincinnati: cincinnati 
died: died 
born: born 
