jen: jen 
malley: malley 
dillon: dillon 
career: career 
politics: politics 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
andre: andre 
chung: chung 
washington: washington 
post: post 
via: via 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
september: september 
age: age 
place: place 
boston: boston 
massachusetts: massachusetts 
originally: originally 
jennifer: jennifer 
brigid: brigid 
full: full 
cite: cite 
page: page 
publish: publish 
dec: dec 
comment: comment 
became: became 
first: first 
woman: woman 
manage: manage 
winning: winning 
democratic: democratic 
presidential: presidential 
campaign: campaign campaigns 
appointment: appointment 
president: president presidents 
joe: joe 
biden: biden 
deputy: deputy 
chief: chief 
staff: staff 
embarked: embarked 
political: political 
fieldwork: fieldwork 
graduating: graduating 
tuft: tufts 
university: university 
proficiency: proficiency 
leading: leading 
chance: chance 
florida: florida 
democrat: democrat 
jim: jim 
davis: davis 
gubernatorial: gubernatorial 
bid: bid 
along: along 
fulfilling: fulfilling 
key: key 
role: roles role 
barack: barack 
obama: obama 
two: two 
served: served 
executive: executive 
national: national 
committee: committee 
co: co 
founded: founded 
prominent: prominent 
consulting: consulting 
firm: firm 
taking: taking 
charge: charge 
operation: operation operations 
march: march 
went: went 
accept: accept 
early: early 
life: life lives 
education: education 
born: born 
second: second 
kevin: kevin 
kathleen: kathleen 
four: four 
child: children 
grasping: grasping 
importance: importance 
sound: sound 
school: school 
superintendent: superintendent 
principal: principal 
teacher: teacher 
bitten: bitten 
family: family 
passion: passion 
dad: dad 
neighborhood: neighborhood 
association: association 
jamaica: jamaica 
plain: plain 
prompting: prompting 
visit: visits 
longtime: longtime 
mayor: mayor 
white: white 
cousin: cousin 
matt: matt 
become: become 
city: city 
councilman: councilman 
beyond: beyond 
discussion: discussions 
found: found 
outlet: outlet 
competitive: competitive 
juice: juices 
playing: playing 
three: three 
sport: sports 
franklin: franklin 
high: high 
moving: moving 
science: science 
major: major 
captain: captain 
softball: softball 
team: team 
work: work 
briefly: briefly 
volunteering: volunteering 
bill: bill 
clinton: clinton 
reelection: reelection 
threw: threw 
answering: answering 
phone: phones 
attorney: attorney 
general: general 
scott: scott 
harshbarger: harshbarger 
run: run 
volunteer: volunteer 
coordinator: coordinator 
al: al 
gore: gore 
organizational: organizational 
skill: skills 
additional: additional 
responsibility: responsibilities 
contested: contested 
recount: recount 
field: field 
director: director 
south: south 
dakota: dakota 
tim: tim 
johnson: johnson 
eked: eked 
narrow: narrow 
senate: senate 
win: win 
louisiana: louisiana 
mary: mary 
landrieu: landrieu 
runoff: runoff 
race: race 
heading: heading 
iowa: iowa 
john: john 
edward: edwards 
manager: manager 
senator: senator 
tom: tom 
daschle: daschle 
later: later 
year: year 
november: november 
named: named 
hope: hopes 
aide: aide aides 
beginning: beginning 
cycle: cycle 
battleground: battleground 
state: states 
elect: elect 
associate: associate 
personnel: personnel 
oversaw: oversaw 
outreach: outreach 
voter: voter 
credited: credited 
implementing: implementing 
modernized: modernized 
system: system 
data: data 
analytics: analytics 
across: across 
organization: organization 
heavily: heavily 
recruited: recruited 
strategist: strategist 
entered: entered 
beto: beto 
rourke: rourke 
though: though 
pairing: pairing 
enough: enough 
stave: stave 
poor: poor 
polling: polling 
number: numbers 
former: former 
texas: texas 
congressman: congressman 
departure: departure 
autumn: autumn 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
subsequently: subsequently 
announced: announced 
right: right 
coronavirus: coronavirus 
pandemic: pandemic 
forced: forced 
closure: closure 
philadelphia: philadelphia 
headquarters: headquarters 
working: working 
attic: attic 
maryland: maryland 
home: home 
zeroed: zeroed 
virtual: virtual 
fundraising: fundraising 
shore: shore 
candidate: candidates candidate 
lagging: lagging 
finance: finances 
crop: crop 
younger: younger 
surrogate: surrogates 
alongside: alongside 
preached: preached 
focus: focus 
reclaiming: reclaiming 
blue: blue 
wall: wall 
michigan: michigan 
pennsylvania: pennsylvania 
wisconsin: wisconsin 
swung: swung 
donald: donald 
trump: trump 
way: way 
kamala: kamala 
harris: harris 
declared: declared 
winner: winners 
vice: vice 
mike: mike 
penny: pence 
making: making 
overall: overall 
kellyanne: kellyanne 
conway: conway 
seven: seven 
election: elections 
took: took 
west: west 
wing: wing 
position: position 
dnc: dnc 
helm: helm 
party: party 
endured: endured 
disastrous: disastrous 
showing: showing 
midterm: midterm 
reformulate: reformulate 
strategy: strategy strategies 
grassroots: grassroots 
social: social 
networking: networking 
leaving: leaving 
spring: spring 
returned: returned 
chair: chair 
unity: unity 
reform: reform reforms 
commission: commission 
set: set 
lead: lead 
nonprofit: nonprofit 
entity: entity 
tasked: tasked 
fostering: fostering 
widescale: widescale 
exchange: exchange 
joining: joining 
precision: precision 
teamed: teamed 
fellow: fellow 
staffer: staffers 
stephanie: stephanie 
cutter: cutter 
teddy: teddy 
goff: goff 
marketing: marketing 
agency: agency 
effort: efforts 
company: company 
included: included 
liberal: liberal 
canada: canada 
saw: saw 
leader: leaders leader 
justin: justin 
trudeau: trudeau 
elected: elected 
prime: prime 
minister: minister 
also: also 
profile: profile 
corporate: corporate 
client: clients 
electric: electric 
bank: bank 
america: america 
football: football 
league: league 
personal: personal 
met: met 
husband: husband 
patrick: patrick 
time: time times 
get: get 
engaged: engaged 
running: running 
chet: chet 
culver: culver 
concurrent: concurrent 
married: married 
june: june 
gave: gave 
twin: twin 
daughter: daughters 
katie: katie 
one: one 
week: week 
victory: victory 
son: son 
arrived: arrived 
retaining: retaining 
love: love 
athletics: athletics 
told: told 
series: series 
would: would 
likely: likely 
coach: coach 
pursued: pursued 
said: said 
devotee: devotee 
jane: jane 
austen: austen 
novel: novels 
owner: owner 
expansive: expansive 
shoe: shoe 
collection: collection 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
january: january 
original: original 
published: published 
december: december 
receive: receive 
story: stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
ron: ron 
klain: klain 
lawyer: lawyer 
operative: operative 
donilon: donilon 
pollster: pollster 
consultant: consultant 
senior: senior 
adviser: adviser 
cedric: cedric 
richmond: richmond 
five: five 
chairing: chairing 
advisor: advisor 
house: house 
office: office 
public: public 
engagement: engagement 
ted: ted 
known: known 
lion: lion 
staunch: staunch 
congress: congress 
nine: nine 
spearheading: spearheading 
