chapel: chapel 
programming: programming 
language: language languages 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
parallel: parallel 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
paradigm: paradigm 
object: object 
oriented: oriented 
partitioned: partitioned 
global: global 
address: address 
space: space 
designed: designed 
david: david 
callahan: callahan 
han: hans 
zima: zima 
brad: brad 
chamberlain: chamberlain 
john: john 
plevyak: plevyak 
developer: developer 
cray: cray 
inc: inc 
first: first 
appeared: appeared 
stable: stable 
release: release 
april: april 
month: months 
ago: ago 
typing: typing 
discipline: discipline 
static: static 
inferred: inferred 
platform: platform 
multiplatform: multiplatform 
o: os 
mac: mac 
linux: linux 
posix: posix 
window: windows window 
cygwin: cygwin 
license: license 
apache: apache 
filename: filename 
extension: extensions 
chpl: chpl 
website: website 
lang: lang 
org: org 
influenced: influenced 
ada: ada 
c: cs c 
fortran: fortran 
java: java 
hpf: hpf 
zpl: zpl 
mta: mta 
xmt: xmt 
cascade: cascade 
high: high 
productivity: productivity 
developed: developed 
part: part 
project: project projects 
participant: participant 
darpa: darpa 
computing: computing 
system: system systems 
hpcs: hpcs 
program: program 
goal: goals goal 
increasing: increasing 
supercomputer: supercomputer 
year: year 
open: open 
source: source 
version: version 
content: content contents 
feature: features 
see: see 
also: also 
note: notes 
reference: references 
reading: reading 
external: external 
link: links 
edit: edit 
aim: aims 
improve: improve 
programmability: programmability 
computer: computers computer 
general: general 
particular: particular 
providing: providing 
higher: higher 
level: levels level 
expression: expression 
current: current 
improving: improving 
separation: separation 
algorithmic: algorithmic 
structure: structure 
implementation: implementation 
detail: details 
designer: designers 
aspire: aspire 
bridge: bridge 
gap: gap 
hpc: hpc 
practitioner: practitioners 
describe: describe 
user: users 
writing: writing 
procedural: procedural 
code: code 
using: using 
technology: technology technologies 
like: like 
openmp: openmp 
mpi: mpi 
one: one 
side: side 
newly: newly 
graduating: graduating 
programmer: programmers 
tend: tend 
prefer: prefer 
python: python 
matlab: matlab 
experience: experience 
offer: offer 
advance: advances 
offered: offered 
latter: latter 
suite: suite 
alienating: alienating 
support: supports 
multithreaded: multithreaded 
model: model models 
supporting: supporting 
abstraction: abstractions 
parallelism: parallelism 
task: task 
nested: nested 
enables: enables 
optimization: optimizations 
locality: locality 
computation: computation 
via: via 
distribution: distribution 
driven: driven 
placement: placement 
