famous: famous 
people: people 
biography: biography 
skip: skip 
main: main 
content: content 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video videos 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
person: person 
bella: bella 
hadid: hadid 
american: american 
supermodel: supermodel 
along: along 
sister: sister 
gigi: gigi 
reached: reached 
summit: summit 
fashion: fashion 
world: world 
sadie: sadie 
alexander: alexander 
economist: economist 
lawyer: lawyer 
civil: civil 
right: rights 
advocate: advocate 
achieved: achieved 
multiple: multiple 
first: first firsts 
black: black 
woman: woman women 
th: th 
century: century 
adrienne: adrienne 
kennedy: kennedy 
playwright: playwright 
influenced: influenced 
theater: theater 
complex: complex 
time: times 
surrealist: surrealist 
work: work 
center: centers 
amanda: amanda 
gorman: gorman 
poet: poet 
activist: activist 
worldwide: worldwide 
audience: audience 
read: read 
poem: poem 
hill: hill 
climb: climb 
inauguration: inauguration 
president: president 
joe: joe 
biden: biden 
sza: sza 
singer: singer 
songwriter: songwriter 
music: music 
blend: blends 
r: r 
b: b 
rock: rock 
soul: soul 
album: album 
ctrl: ctrl 
certified: certified 
platinum: platinum 
willow: willow 
smith: smith 
musician: musician 
child: child 
hollywood: hollywood 
royalty: royalty 
made: made 
name: name 
pop: pop 
well: well 
joining: joining 
mother: mother 
grandmother: grandmother 
talk: talks talk 
show: show 
red: red 
table: table 
lil: lil 
na: nas 
x: x 
rapper: rapper 
song: song songs 
old: old 
town: town 
road: road 
became: became 
viral: viral 
hit: hit 
montero: montero 
also: also 
success: success 
robert: robert 
durst: durst 
real: real 
estate: estate 
scion: scion 
earned: earned 
notoriety: notoriety 
disappearance: disappearance 
wife: wife 
acquittal: acquittal 
murder: murder 
texas: texas 
man: man 
charged: charged 
murdering: murdering 
longtime: longtime 
friend: friend 
bob: bob 
saget: saget 
comedic: comedic 
tv: tv 
personality: personality 
actor: actor 
found: found 
sitcom: sitcom 
full: full 
house: house 
later: later 
america: america 
funniest: funniest 
home: home 
lizzo: lizzo 
classically: classically 
trained: trained 
flutist: flutist 
whose: whose 
race: race 
sexuality: sexuality 
body: body 
confidence: confidence 
dua: dua 
lipa: lipa 
british: british 
kosovar: kosovar 
albanian: albanian 
grammy: grammy 
award: award 
winner: winner 
captivated: captivated 
listener: listeners 
single: single 
new: new 
rule: rules 
future: future 
olivia: olivia 
rodrigo: rodrigo 
actress: actress 
fame: fame 
high: high 
school: school 
musical: musical 
series: series 
releasing: releasing 
driver: drivers 
license: license 
megan: megan 
thee: thee 
stallion: stallion 
winning: winning 
best: best 
known: known 
savage: savage 
wap: wap 
hot: hot 
girl: girl 
summer: summer 
bowen: bowen 
yang: yang 
comedian: comedian 
podcaster: podcaster 
chinese: chinese 
cast: cast 
member: member 
saturday: saturday 
night: night 
live: live 
arturo: arturo 
alfonso: alfonso 
schomburg: schomburg 
afro: afro 
puerto: puerto 
rican: rican 
historian: historian 
moved: moved 
united: united 
state: states 
spent: spent 
life: life 
collecting: collecting 
material: materials 
demonstrating: demonstrating 
accomplishment: accomplishments 
african: african 
diaspora: diaspora 
scope: scope 
carolina: carolina 
herrera: herrera 
venezuelan: venezuelan 
designer: designer 
collection: collection 
debuted: debuted 
since: since 
led: led 
company: company 
become: become 
global: global 
brand: brand 
bad: bad 
bunny: bunny 
spanish: spanish 
record: record records 
reach: reach 
billboard: billboard 
zaya: zaya 
wade: wade 
stepped: stepped 
public: public 
arena: arena 
trans: trans 
young: young 
transgender: transgender 
community: community 
coco: coco 
gauff: gauff 
professional: professional 
tennis: tennis 
player: player 
rose: rose 
prominence: prominence 
win: win 
venus: venus 
williams: williams 
wimbledon: wimbledon 
zo: zo 
kravitz: kravitz 
writer: writer 
director: director 
project: projects 
include: include 
fidelity: fidelity 
big: big 
little: little 
lie: lies 
mad: mad 
max: max 
fury: fury 
batman: batman 
rapinoe: rapinoe 
soccer: soccer 
champion: champion 
two: two 
cup: cup 
title: titles 
olympic: olympic 
gold: gold 
medal: medals medal 
florence: florence 
pugh: pugh 
starred: starred 
midsommar: midsommar 
widow: widow 
academy: academy 
nomination: nomination 
role: role 
katie: katie 
ledecky: ledecky 
swimmer: swimmer 
olympics: olympics 
shattering: shattering 
numerous: numerous 
continued: continued 
streak: streak 
earning: earning 
four: four 
one: one 
silver: silver 
sasha: sasha 
obama: obama 
younger: younger 
daughter: daughter 
former: former 
barack: barack 
lady: lady 
michelle: michelle 
loading: loading 
see: see 
logo: logo 
registered: registered 
trademark: trademarks 
e: e 
television: television 
network: networks 
llc: llc 
close: close 
