elena: elena 
kagan: kagan 
education: education 
fact: facts fact 
age: age 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
chip: chip 
somodevilla: somodevilla 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
april: april 
hunter: hunter 
college: college 
high: high 
school: school 
princeton: princeton 
university: university 
worcester: worcester 
harvard: harvard 
law: law 
place: place 
new: new 
york: york 
city: city 
zodiac: zodiac 
sign: sign 
taurus: taurus 
early: early 
life: life lives 
politics: politics 
first: first 
female: female 
solicitor: solicitor solicitors 
general: general 
supreme: supreme 
court: court 
justice: justices justice 
cite: cite 
page: page 
quote: quotes 
cool: cool 
thing: thing 
smart: smart 
girl: girls girl 
opposed: opposed 
different: different 
kind: kind 
think: think 
made: made 
great: great 
deal: deal 
difference: difference 
growing: growing 
afterward: afterward 
publish: publish 
jun: jun 
comment: comment comments 
woman: woman 
serve: serve 
united: united 
state: state states 
america: america 
fourth: fourth 
hold: hold 
position: position 
inspired: inspired 
father: father 
work: work 
manhattan: manhattan 
firm: firm 
lubic: lubic 
took: took 
interest: interest 
became: became 
following: following 
year: years year 
confirmed: confirmed 
born: born 
parent: parents 
gloria: gloria 
robert: robert roberts 
grew: grew 
second: second 
three: three 
child: children 
middle: middle 
class: class 
jewish: jewish 
family: family 
living: living 
upper: upper 
west: west 
side: side 
mother: mother 
educator: educator 
teaching: teaching 
student: students 
elementary: elementary 
longtime: longtime 
partner: partner 
working: working 
primarily: primarily 
tenant: tenant 
association: associations 
attended: attended 
later: later 
cited: cited 
formative: formative 
experience: experience 
say: says 
graduated: graduated 
institution: institution 
headed: headed 
studied: studied 
ultimate: ultimate 
goal: goal 
summa: summa 
cum: cum 
laude: laude 
bachelor: bachelor 
degree: degree 
also: also 
earned: earned 
daniel: daniel 
sachs: sachs 
graduating: graduating 
fellow: fellow 
scholarship: scholarship 
alma: alma 
mater: mater 
allowed: allowed 
attend: attend 
oxford: oxford 
england: england 
master: master 
philosophy: philosophy 
moving: moving 
immediately: immediately 
served: served 
supervising: supervising 
editor: editors editor 
review: review 
magna: magna 
landed: landed 
job: job 
clerking: clerking 
judge: judge 
abner: abner 
mikva: mikva 
appeal: appeals 
district: district 
columbia: columbia 
circuit: circuit 
next: next 
began: began 
another: another 
time: time times 
thurgood: thurgood 
marshall: marshall 
worked: worked 
michael: michael 
dukakis: dukakis 
presidential: presidential 
campaign: campaign 
lost: lost 
bid: bid 
private: private 
sector: sector 
associate: associate 
washington: washington 
c: c 
williams: williams 
connolly: connolly 
returned: returned 
academia: academia 
professor: professor 
chicago: chicago 
tenured: tenured 
left: left 
however: however 
counsel: counsel 
president: president 
bill: bill 
clinton: clinton 
four: four 
white: white 
house: house 
promoted: promoted 
several: several 
deputy: deputy 
assistant: assistant 
domestic: domestic 
role: role 
director: director 
council: council 
read: read 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
office: office 
nominated: nominated 
nomination: nomination 
languished: languished 
senate: senate 
judiciary: judiciary 
committee: committee 
higher: higher 
starting: starting 
visiting: visiting 
quickly: quickly 
climbed: climbed 
ladder: ladder 
dean: dean 
five: five 
big: big 
change: changes 
including: including 
faculty: faculty 
expansion: expansion 
curriculum: curriculum 
development: development 
campus: campus 
facility: facilities 
alumnus: alumnus 
barack: barack 
obama: obama 
election: election 
selected: selected 
january: january 
received: received 
endorsement: endorsement 
previous: previous 
march: march 
confirmation: confirmation 
one: one 
replace: replace 
john: john 
paul: paul 
stevens: stevens 
bench: bench 
retirement: retirement 
august: august 
vote: vote 
making: making 
sit: sit 
old: old 
youngest: youngest 
member: member 
current: current 
judicial: judicial 
addition: addition 
approval: approval 
put: put 
ruth: ruth 
bader: bader 
ginsburg: ginsburg 
sonia: sonia 
sotomayor: sotomayor 
country: country 
highest: highest 
day: day days 
hearing: hearings hearing 
joshua: joshua 
bloomberg: bloomberg 
via: via 
continued: continued 
make: makes make 
sided: sided 
majority: majority 
two: two 
landmark: landmark 
ruling: ruling rulings 
june: june 
six: six 
uphold: uphold 
critical: critical 
component: component 
affordable: affordable 
care: care 
act: act 
often: often 
referred: referred 
obamacare: obamacare 
king: king 
v: v 
burwell: burwell 
decision: decision 
allows: allows 
federal: federal 
government: government 
continue: continue 
providing: providing 
subsidy: subsidies 
american: americans american 
purchase: purchase 
health: health 
exchange: exchanges 
regardless: regardless 
whether: whether 
federally: federally 
operated: operated 
considered: considered 
instrumental: instrumental 
introduced: introduced 
logic: logic 
favor: favor 
