mike: mike 
donilon: donilon 
career: career 
family: family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
paul: paul 
morigi: morigi 
wireimage: wireimage 
niche: niche 
medium: media 
llc: llc 
quick: quick 
name: name 
birth: birth 
date: date 
december: december 
age: age 
place: place 
providence: providence 
rhode: rhode 
island: island 
full: full 
michael: michael 
c: c 
cite: cite 
page: page 
publish: publish 
dec: dec 
comment: comment 
longtime: longtime 
democratic: democratic 
political: political 
pollster: pollster 
strategist: strategist 
consultant: consultant 
named: named 
senior: senior 
adviser: adviser 
president: president presidents 
joe: joe 
biden: biden 
began: began 
working: working 
delaware: delaware 
senator: senators senator 
rose: rose 
prominence: prominence 
contributing: contributing 
historic: historic 
election: elections election 
virginia: virginia 
governor: governor governors 
douglas: douglas 
wilder: wilder 
helping: helping 
bill: bill 
clinton: clinton 
reach: reach 
white: white 
house: house 
consulted: consulted 
winning: winning 
senate: senate 
campaign: campaign campaigns 
john: john 
edward: edwards 
bernie: bernie 
sander: sanders 
aided: aided 
presidential: presidential 
candidate: candidates candidate 
colombia: colombia 
peru: peru 
bolivia: bolivia 
rejoined: rejoined 
chief: chief 
democrat: democrat 
successful: successful 
becoming: becoming 
elect: elect 
early: early 
life: life lives 
education: education 
born: born 
grew: grew 
elmwood: elmwood 
section: section 
parent: parents 
ed: ed 
theresa: theresa 
involved: involved 
local: local 
politics: politics 
former: former 
serving: serving 
head: head 
school: school 
board: board 
raised: raised 
tight: tight 
knit: knit 
irish: irish 
catholic: catholic 
household: household 
became: became 
altar: altar 
boy: boy 
st: st 
parish: parish 
three: three 
sibling: siblings 
also: also 
encouraged: encouraged 
develop: develop 
musical: musical 
interest: interests 
learning: learning 
play: play 
guitar: guitar 
matriculating: matriculating 
la: la 
salle: salle 
academy: academy 
attended: attended 
georgetown: georgetown 
university: university 
roomed: roomed 
fellow: fellow 
future: future 
insider: insider 
mark: mark 
salter: salter 
later: later 
earned: earned 
j: j 
law: law 
center: center 
worked: worked 
since: since 
politician: politician 
third: third 
traveling: traveling 
assisting: assisting 
debate: debate 
preparation: preparation 
appointed: appointed 
counselor: counselor 
vice: vice 
year: years year 
much: much 
establishment: establishment 
rallying: rallying 
behind: behind 
candidacy: candidacy 
hillary: hillary 
created: created 
plus: plus 
memo: memo 
outlined: outlined 
bos: boss 
superior: superior 
decided: decided 
run: run 
time: time 
formally: formally 
launched: launched 
april: april 
side: side 
oversight: oversight 
television: television 
advertising: advertising 
speechwriting: speechwriting 
polling: polling 
research: research 
tasked: tasked 
shaping: shaping 
messaging: messaging 
pushed: pushed 
strategy: strategy 
contrasted: contrasted 
persona: persona 
empathetic: empathetic 
everyman: everyman 
combative: combative 
donald: donald 
trump: trump 
framed: framed 
fight: fight 
soul: soul 
nation: nation 
running: running 
mate: mate 
kamala: kamala 
harris: harris 
declared: declared 
winner: winners 
major: major 
outlet: outlets 
november: november 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
every: every 
nominee: nominee 
contributed: contributed 
first: first 
field: field 
elected: elected 
african: african 
american: american 
assisted: assisted 
wofford: wofford 
come: come 
victory: victory 
pennsylvania: pennsylvania 
joining: joining 
war: war 
room: room 
teaming: teaming 
veteran: veteran 
bob: bob 
shrum: shrum 
tad: tad 
devine: devine 
decade: decade 
focus: focus 
north: north 
carolina: carolina 
new: new 
jersey: jersey 
jon: jon 
corzine: corzine 
wisconsin: wisconsin 
herb: herb 
kohl: kohl 
trio: trio 
losing: losing 
al: al 
gore: gore 
kerry: kerry 
drawing: drawing 
criticism: criticism 
exorbitant: exorbitant 
fee: fees 
charged: charged 
work: work 
displayed: displayed 
international: international 
clout: clout 
contribution: contributions 
andr: andr 
xe: xe 
pastrana: pastrana 
arango: arango 
alejandro: alejandro 
toledo: toledo 
gonzalo: gonzalo 
nchez: nchez 
de: de 
lozada: lozada 
branched: branched 
arena: arena 
deliver: deliver 
spot: spots 
pizza: pizza 
hut: hut 
telecommunication: telecommunications 
company: company 
mci: mci 
founding: founding 
helped: helped 
claim: claim 
mansion: mansion 
delivered: delivered 
effort: efforts 
vermont: vermont 
sheldon: sheldon 
whitehouse: whitehouse 
florida: florida 
nelson: nelson 
duo: duo 
independent: independent 
expenditure: expenditure 
hopeful: hopefuls 
claire: claire 
mccaskill: mccaskill 
missouri: missouri 
jeanne: jeanne 
shaheen: shaheen 
hampshire: hampshire 
continued: continued 
abroad: abroad 
manuel: manuel 
zelaya: zelaya 
honduras: honduras 
prime: prime 
minister: minister 
viktor: viktor 
yanukovich: yanukovich 
ukraine: ukraine 
stint: stints 
returned: returned 
campaigning: campaigning 
member: member 
obama: obama 
reelection: reelection 
team: team 
following: following 
joined: joined 
akpd: akpd 
message: message 
partner: partner 
consulting: consulting 
firm: firm 
office: office 
washington: washington 
director: director 
professor: professor 
prior: prior 
managing: managing 
institute: institute 
assistant: assistant 
ud: ud 
personal: personal 
father: father 
two: two 
child: children 
retains: retains 
close: close 
tie: ties 
england: england 
root: roots 
summer: summer 
home: home 
narragansett: narragansett 
regular: regular 
presence: presence 
basketball: basketball 
game: games 
alongside: alongside 
old: old 
college: college 
roommate: roommate 
older: older 
brother: brother 
tom: tom 
operative: operative 
served: served 
national: national 
security: security 
wife: wife 
cathy: cathy 
russell: russell 
second: second 
lady: lady 
jill: jill 
staff: staff 
administration: administration 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
right: right 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
network: networks 
last: last 
updated: updated 
january: january 
original: original 
published: published 
receive: receive 
story: stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
penny: pence 
congressman: congressman 
indiana: indiana 
united: united 
state: state states 
pompeo: pompeo 
kansa: kansas 
central: central 
intelligence: intelligence 
agency: agency 
secretary: secretary 
ron: ron 
klain: klain 
lawyer: lawyer 
aide: aide 
barack: barack 
tyson: tyson 
heavyweight: heavyweight 
boxing: boxing 
champion: champion 
jail: jail 
known: known 
biting: biting 
evander: evander 
holyfield: holyfield 
ear: ear 
jen: jen 
malley: malley 
dillon: dillon 
woman: woman 
manage: manage 
appointment: appointment 
deputy: deputy 
cedric: cedric 
richmond: richmond 
five: five 
louisiana: louisiana 
co: co 
chairing: chairing 
advisor: advisor 
public: public 
engagement: engagement 
beau: beau 
attorney: attorney 
general: general 
son: son 
guard: guard 
myers: myers 
actor: actor 
comedian: comedian 
saturday: saturday 
night: night 
live: live 
well: well 
starring: starring 
role: roles 
austin: austin 
power: powers 
trilogy: trilogy 
shrek: shrek 
franchise: franchise 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
