doctype: doctype 
html: html 
public: public 
w: w 
c: c 
dtd: dtd 
en: en 
chris: chris 
lattner: lattner 
homepage: homepage 
high: high 
level: level 
summary: summary 
well: well 
known: known 
leader: leader 
distinguished: distinguished 
hand: hands 
approach: approach approaches 
building: building 
system: system systems 
co: co 
founder: founder 
ceo: ceo 
modular: modular 
ai: ai 
built: built 
scaled: scaled 
many: many 
open: open 
source: source 
compiler: compiler compilers 
infrastructure: infrastructures infrastructure 
including: including 
llvm: llvm 
clang: clang 
mlir: mlir 
circt: circt 
span: span 
gamut: gamut 
fundamental: fundamentals fundamental 
hw: hw 
sw: sw 
boundary: boundary 
powering: powering 
io: ios 
android: android 
cuda: cuda 
tensorflow: tensorflow 
countless: countless 
product: products product 
technology: technology technologies 
includes: includes 
thousand: thousands 
engineer: engineers 
collaborating: collaborating 
globally: globally 
shared: shared 
code: code 
redefing: redefing 
generation: generation 
managed: managed 
launched: launched 
swift: swift 
programming: programming 
language: language languages 
used: used 
million: millions 
programmer: programmers 
worldwide: worldwide 
popularized: popularized 
wide: wide 
range: range 
academic: academic 
idea: ideas 
mainstream: mainstream 
nice: nice 
concurrency: concurrency 
model: model 
helped: helped 
scale: scale 
ml: ml 
bringing: bringing 
google: google 
cloud: cloud 
tpus: tpus 
market: market 
unifying: unifying 
stack: stack 
beyond: beyond 
scaling: scaling 
server: server 
edge: edge 
impact: impact 
billion: billions 
user: users 
brought: brought 
engineering: engineering 
focus: focus 
sifive: sifive 
defining: defining 
launching: launching 
intelligence: intelligence 
line: line 
global: global 
team: team teams 
contributed: contributed 
commercial: commercial 
project: project projects 
apple: apple 
tesla: tesla 
information: information 
please: please 
see: see 
twitter: twitter 
github: github 
linkedin: linkedin 
resum: resum 
page: page 
contains: contains 
work: work 
history: history 
article: articles 
blog: blogs 
proposal: proposals 
written: written 
slide: slides 
recording: recordings 
talk: talks 
podcasts: podcasts 
presentation: presentations 
woodworker: woodworker 
picture: pictures 
online: online 
web: web 
designer: designer 
experience: experiences experience 
january: january 
tim: tim 
davis: davis 
rebuild: rebuild 
bottom: bottom 
lead: lead 
led: led 
incl: incl 
hardware: hardware 
software: software 
platform: platform 
build: builds build 
world: world 
best: best 
risc: risc 
v: v 
cpu: cpu 
ip: ips 
chip: chip 
design: design 
methodology: methodology 
accelerates: accelerates 
august: august 
number: number 
incredibly: incredibly 
cool: cool 
thing: things 
effort: efforts effort 
support: support 
gpu: gpu 
tpu: tpu 
low: low 
runtime: runtime 
detail: details 
early: early 
briefly: briefly 
ran: ran 
autopilot: autopilot 
worked: worked 
july: july 
holding: holding 
different: different 
position: positions 
year: years 
partial: partial 
available: available 
href: href 
resume: resume 
included: included 
managing: managing 
developer: developer 
tool: tools 
department: department 
responsible: responsible 
playground: playgrounds 
ipad: ipad 
debugger: debuggers 
related: related 
remained: remained 
member: member 
core: core 
created: created 
small: small 
amazing: amazing 
starting: starting 
whitepaper: whitepaper 
april: april 
machine: machine 
learning: learning 
general: general 
need: needs 
kind: kinds 
graph: graph 
problem: problems 
accelerator: accelerators 
lot: lot 
glue: glue 
tie: tie 
everything: everything 
together: together 
existing: existing 
solution: solutions 
existed: existed 
took: took 
time: time 
class: class 
getting: getting 
abstraction: abstractions 
right: right 
investing: investing 
great: great 
culture: culture 
valued: valued 
excellence: excellence 
started: started 
scrappy: scrappy 
ambitious: ambitious 
reimagine: reimagine 
entire: entire 
produced: produced 
really: really 
interesting: interesting 
novel: novel 
constructing: constructing 
stand: stands 
multi: multi 
intermediate: intermediate 
representation: representation 
profound: profound 
enabling: enabling 
new: new 
algorithm: algorithms 
application: applications 
tooling: tooling 
believe: believe 
take: take 
multiple: multiple 
community: community 
digest: digest 
implication: implications 
adapt: adapt 
exploit: exploit 
capability: capabilities 
young: young 
seen: seen 
rapid: rapid 
widespread: widespread 
adoption: adoption 
deployment: deployments deployment 
within: within 
rumored: rumored 
widely: widely 
across: across 
industry: industry 
intel: intel 
microsoft: microsoft 
nvidia: nvidia 
arm: arm 
production: production 
saving: saving 
large: large 
amount: amount 
compute: compute 
opex: opex 
dollar: dollars 
part: part 
umbrella: umbrella 
mono: mono 
repo: repo 
accepted: accepted 
reputation: reputation 
like: like 
flang: flang 
fortran: fortran 
others: others 
learn: learn 
recommend: recommend 
reading: reading 
canonical: canonical 
paper: papers paper 
published: published 
consider: consider 
citing: citing 
using: using 
site: site 
publication: publications 
wikipedia: wikipedia 
implemented: implemented 
much: much 
basic: basic 
structure: structure 
secrecy: secrecy 
folk: folks 
contributing: contributing 
earnest: earnest 
late: late 
became: became 
major: major 
group: group 
tireless: tireless 
expert: experts 
documentation: documentation 
guru: gurus 
optimization: optimization 
ninja: ninjas 
important: important 
internal: internal 
dogfooding: dogfooding 
provided: provided 
feedback: feedback 
help: help 
refine: refine 
battle: battle 
test: test 
course: course 
also: also 
greatly: greatly 
benefited: benefited 
hard: hard 
field: field 
drawing: drawing 
objective: objective 
rust: rust 
haskell: haskell 
ruby: ruby 
python: python 
clu: clu 
far: far 
list: list 
dec: dec 
participate: participate 
xcode: xcode 
feature: feature 
repl: repl 
personal: personal 
passion: passion 
mine: mine 
make: make 
interactive: interactive 
approachable: approachable 
lldb: lldb 
done: done 
phenomenal: phenomenal 
job: job 
turning: turning 
crazy: crazy 
something: something 
truly: truly 
heavily: heavily 
influenced: influenced 
victor: victor 
light: light 
table: table 
hope: hope 
making: making 
fun: fun 
appeal: appeal 
next: next 
redefine: redefine 
computer: computer 
science: science 
taught: taught 
crucial: crucial 
piece: piece 
us: uses 
real: real 
teach: teach 
providing: providing 
full: full 
featured: featured 
native: native 
development: development 
allows: allows 
access: access 
