shirley: shirley 
chisholm: chisholm 
quote: quotes 
family: family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
bob: bob 
peterson: peterson 
life: life lives 
image: images 
collection: collection 
via: via 
getty: getty 
quick: quick 
name: name 
birth: birth 
date: date 
november: november 
death: death 
january: january 
know: know 
became: became 
united: united 
state: state states 
first: first 
african: african 
american: american 
congresswoman: congresswoman 
one: one 
founding: founding 
member: members 
congressional: congressional 
black: black 
caucus: caucus 
major: major 
party: party 
candidate: candidate 
make: make 
bid: bid 
presidency: presidency 
ran: ran 
democratic: democratic 
nomination: nomination 
survived: survived 
three: three 
assassination: assassination 
attempt: attempts 
campaign: campaign 
education: education 
brooklyn: brooklyn 
college: college 
columbia: columbia 
university: university 
place: place 
new: new 
york: york 
ormond: ormond 
beach: beach 
florida: florida 
originally: originally 
anita: anita 
st: st 
hill: hill 
legacy: legacy 
cite: cite 
page: page 
greatest: greatest 
political: political 
asset: asset 
professional: professional 
politician: politicians 
fear: fear 
mouth: mouth 
come: come 
kind: kinds 
thing: things 
always: always 
discus: discuss 
reason: reasons 
expediency: expediency 
help: help 
bring: bring 
change: change 
move: move 
direction: direction 
made: made 
contribution: contribution 
service: service 
rent: rent 
pay: pay 
room: room 
earth: earth 
publish: publish 
feb: feb 
comment: comment 
four: four 
year: years 
later: later 
best: best 
known: known 
becoming: becoming 
representing: representing 
house: house 
representative: representatives representative 
seven: seven 
went: went 
run: run 
throughout: throughout 
career: career 
fought: fought 
opportunity: opportunities 
social: social 
justice: justice 
left: left 
congress: congress 
teach: teach 
died: died 
early: early 
born: born 
predominantly: predominantly 
neighborhood: neighborhood 
spent: spent 
part: part 
childhood: childhood 
barbados: barbados 
grandmother: grandmother 
graduating: graduating 
began: began 
teacher: teacher 
earn: earn 
master: master 
degree: degree 
elementary: elementary 
served: served 
director: director 
hamilton: hamilton 
madison: madison 
child: child 
care: care 
center: center 
educational: educational 
consultant: consultant 
city: city 
bureau: bureau 
welfare: welfare 
beginning: beginning 
xa: xa 
initially: initially 
assigned: assigned 
forestry: forestry 
committee: committee 
shocked: shocked 
many: many 
demanding: demanding 
reassignment: reassignment 
placed: placed 
veteran: veterans 
affair: affairs 
eventually: eventually 
labor: labor 
championed: championed 
minority: minority 
employment: employment 
tenure: tenure 
read: read 
woman: woman women 
presidential: presidential 
yet: yet 
second: second 
announcing: announcing 
said: said 
america: america 
although: although 
proud: proud 
movement: movement 
country: country 
equally: equally 
presence: presence 
symbolizes: symbolizes 
era: era 
spirited: spirited 
unable: unable 
consolidate: consolidate 
influential: influential 
leader: leaders 
giving: giving 
way: way 
south: south 
dakota: dakota 
senator: senator 
george: george 
mcgovern: mcgovern 
claim: claim 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
hogan: hogan 
charles: charles 
time: times time 
co: co 
book: books book 
authored: authored 
two: two 
lifetime: lifetime 
unbought: unbought 
unbossed: unbossed 
slogan: slogan 
good: good 
fight: fight 
leaving: leaving 
taught: taught 
mount: mount 
holyoke: holyoke 
popular: popular 
lecture: lecture 
circuit: circuit 
organization: organization organizations 
personal: personal 
founder: founder 
unity: unity 
club: club 
national: national 
active: active 
association: association 
advancement: advancement 
colored: colored 
naacp: naacp 
inducted: inducted 
hall: hall 
fame: fame 
married: married 
conrad: conrad 
arthur: arthur 
hardwick: hardwick 
jr: jr 
age: age 
nearly: nearly 
posthumously: posthumously 
awarded: awarded 
distinguished: distinguished 
medal: medal 
freedom: freedom 
moses: moses 
opened: opened 
red: red 
sea: sea 
robert: robert 
e: e 
williams: williams 
president: president 
flagler: flagler 
county: county 
interview: interview 
associated: associated 
press: press 
william: william 
howard: howard 
longtime: longtime 
treasurer: treasurer 
expressed: expressed 
similar: similar 
sentiment: sentiments 
anyone: anyone 
came: came 
feeling: feeling 
careness: careness 
felt: felt 
much: much 
individual: individual 
represented: represented 
district: district 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
right: right 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
television: television 
network: networks 
last: last 
updated: updated 
may: may 
original: original 
published: published 
april: april 
receive: receive 
story: story stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
temple: temple 
leading: leading 
actor: actor 
receiving: receiving 
special: special 
oscar: oscar 
starring: starring 
film: film films 
like: like 
bright: bright 
eye: eyes 
heidi: heidi 
jackson: jackson 
acclaimed: acclaimed 
writer: writer 
short: short 
lottery: lottery 
well: well 
longer: longer 
work: works 
lived: lived 
castle: castle 
bassey: bassey 
famous: famous 
singer: singer 
big: big 
voice: voice 
glamorous: glamorous 
reputation: reputation 
recorded: recorded 
numerous: numerous 
hit: hits 
including: including 
james: james 
bond: bond 
theme: theme 
song: songs 
barbara: barbara 
jordan: jordan 
texas: texas 
deep: deep 
th: th 
century: century 
jamaican: jamaican 
pianist: pianist 
composer: composer 
often: often 
performed: performed 
trio: trio 
chapter: chapter 
subject: subject 
green: green 
maclaine: maclaine 
hollywood: hollywood 
legendary: legendary 
lady: ladies 
range: range 
include: include 
apartment: apartment 
sweet: sweet 
charity: charity 
endearment: endearment 
barack: barack 
obama: obama 
serve: serve 
office: office 
elected: elected 
jane: jane 
bolin: bolin 
trailblazing: trailblazing 
attorney: attorney 
female: female 
judge: judge 
serving: serving 
court: court 
decade: decades 
grace: grace 
hopper: hopper 
computer: computer 
programmer: programmer 
helped: helped 
develop: develop 
compiler: compiler 
precursor: precursor 
widely: widely 
used: used 
cobol: cobol 
language: language 
rear: rear 
admiral: admiral 
navy: navy 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
