open: open 
source: source sources 
definition: definitions definition 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
certification: certification 
document: document 
published: published 
initiative: initiative 
determine: determine 
whether: whether 
software: software 
license: license licenses 
labeled: labeled 
mark: mark 
taken: taken 
exact: exact 
text: text 
debian: debian 
guideline: guidelines 
written: written 
adapted: adapted 
primarily: primarily 
bruce: bruce 
perens: perens 
input: input 
developer: developers 
private: private 
mailing: mailing 
list: list 
created: created 
month: months 
formation: formation 
content: content contents 
reception: reception 
fsf: fsf 
position: position 
knowledge: knowledge 
see: see 
also: also 
reference: references 
external: external 
link: links 
edit: edit 
mean: mean means 
access: access 
code: code 
distribution: distribution 
term: terms term 
must: must 
comply: comply 
following: following 
criterion: criteria 
redistribution: redistribution 
shall: shall 
restrict: restrict 
party: party parties 
selling: selling 
giving: giving 
away: away 
component: component 
aggregate: aggregate 
containing: containing 
program: program programs 
several: several 
different: different 
require: require 
royalty: royalty 
fee: fee 
sale: sale 
include: include 
allow: allow 
well: well 
compiled: compiled 
form: forms form 
product: product 
distributed: distributed 
publicized: publicized 
obtaining: obtaining 
reasonable: reasonable 
reproduction: reproduction 
cost: cost 
preferably: preferably 
downloading: downloading 
via: via 
internet: internet 
without: without 
charge: charge 
preferred: preferred 
programmer: programmer 
would: would 
modify: modify 
deliberately: deliberately 
obfuscated: obfuscated 
allowed: allowed 
intermediate: intermediate 
output: output 
preprocessor: preprocessor 
translator: translator 
derived: derived 
work: works 
modification: modifications 
original: original 
integrity: integrity 
author: author 
may: may 
modified: modified 
allows: allows 
patch: patch 
file: files 
purpose: purpose 
modifying: modifying 
build: build 
time: time 
explicitly: explicitly 
permit: permit 
built: built 
carry: carry 
name: names name 
version: version 
number: number 
discrimination: discrimination 
person: person persons 
group: groups group 
discriminate: discriminate 
field: field fields 
endeavor: endeavor 
anyone: anyone 
making: making 
use: use 
specific: specific 
example: example 
used: used 
business: business 
genetic: genetic 
research: research 
right: rights right 
attached: attached 
apply: apply 
redistributed: redistributed 
need: need 
execution: execution 
additional: additional 
depend: depend 
part: part 
particular: particular 
extracted: extracted 
within: within 
granted: granted 
conjunction: conjunction 
place: place 
restriction: restrictions 
along: along 
licensed: licensed 
insist: insist 
medium: medium 
technology: technology 
neutral: neutral 
provision: provision 
predicated: predicated 
individual: individual 
style: styles style 
interface: interface 
movement: movement 
official: official 
foundation: foundation 
basically: basically 
refer: refer 
minor: minor 
exception: exceptions 
comparison: comparison 
stand: stand 
therefore: therefore 
quality: qualities 
value: values 
despite: despite 
founder: founder 
richard: richard 
stallman: stallman 
stress: stresses 
underlying: underlying 
philosophical: philosophical 
difference: differences 
comment: comments 
mw: mw 
parser: parser 
templatequote: templatequote 
overflow: overflow 
hidden: hidden 
margin: margin 
em: em 
padding: padding 
px: px 
templatequotecite: templatequotecite 
line: line 
height: height 
align: align 
left: left 
top: top 
people: people 
le: less 
category: categories category 
exactly: exactly 
class: class 
accept: accept 
licence: licences 
consider: consider 
restrictive: restrictive 
accepted: accepted 
however: however 
extension: extension 
small: small 
nearly: nearly 
international: international 
oki: oki 
described: described 
data: data 
synonymous: synonymous 
cultural: cultural 
essential: essential 
meaning: meaning 
match: matches 
respect: respect 
libre: libre 
portalbox: portalbox 
float: float 
border: border 
solid: solid 
aaa: aaa 
tleft: tleft 
tright: tright 
ul: ul 
display: display 
table: table 
box: box 
sizing: sizing 
max: max 
width: width 
background: background 
f: f 
font: font 
size: size 
italic: italic 
weight: weight 
bold: bold 
li: li 
row: row 
span: span 
first: first 
child: child 
cell: cell 
vertical: vertical 
middle: middle 
center: center 
last: last 
portal: portal 
reflist: reflist 
bottom: bottom 
type: types type 
decimal: decimal 
inherit: inherit 
column: columns column 
ol: ol 
page: page 
break: break 
inside: inside 
avoid: avoid 
upper: upper 
alpha: alpha 
roman: roman 
lower: lower 
greek: greek 
cite: cite 
citation: citation 
word: word 
wrap: wrap 
q: q 
quote: quotes 
target: target 
color: color 
rgba: rgba 
id: id 
lock: lock 
c: cs c 
linear: linear 
gradient: gradient 
transparent: transparent 
url: url 
upload: upload 
wikimedia: wikimedia 
org: org 
common: commons 
green: green 
svg: svg 
repeat: repeat 
limited: limited 
registration: registration 
gray: gray 
alt: alt 
subscription: subscription 
aa: aa 
red: red 
w: ws 
icon: icon 
wikisource: wikisource 
logo: logo 
none: none 
error: error 
visible: visible 
maint: maint 
format: format 
kern: kern 
selflink: selflink 
raymond: raymond 
eric: eric 
june: june 
archived: archived 
december: december 
retrieved: retrieved 
november: november 
b: b 
kelty: kelty 
christpher: christpher 
significance: significance 
two: two 
bit: bits 
pdf: pdf 
duke: duke 
university: university 
press: press 
p: p 
prior: prior 
referred: referred 
either: either 
watchful: watchful 
micromanaging: micromanaging 
eye: eye 
one: one 
thousand: thousands 
commercial: commercial 
avocational: avocational 
project: project projects 
process: processes 
ideology: ideologies 
variety: variety 
sourceware: sourceware 
freeware: freeware 
shareware: shareware 
public: public 
domain: domain 
contrast: contrast 
sought: sought 
encompass: encompass 
nonfree: nonfree 
davy: davies 
tim: tim 
april: april 
information: information 
power: power 
exploring: exploring 
new: new 
core: core 
blog: blog 
january: january 
related: related 
article: articles article 
voice: voices 
revolution: revolution 
isbn: isbn 
navbox: navbox 
clear: clear 
auto: auto 
inner: inner 
subgroup: subgroup 
title: title 
abovebelow: abovebelow 
white: white 
space: space 
nowrap: nowrap 
fdfdfd: fdfdfd 
tr: tr 
image: image 
ccf: ccf 
ddf: ddf 
e: e 
ff: ff 
even: even 
odd: odd 
hlist: hlist 
td: td 
dl: dl 
navbar: navbar 
block: block 
inline: inline 
normal: normal 
collapse: collapse 
boxtext: boxtext 
spacing: spacing 
bracket: brackets 
abbr: abbr 
decoration: decoration 
mini: mini 
variant: variant 
cap: caps 
cursor: cursor 
ct: ct 
full: full 
v: v 
general: general 
alternative: alternative 
closed: closed 
hosting: hosting 
facility: facilities 
directory: directories 
gratis: gratis 
versus: versus 
long: long 
support: support 
development: development 
outline: outline 
timeline: timeline 
package: packages 
audio: audio 
bioinformatics: bioinformatics 
codecs: codecs 
configuration: configuration 
management: management 
driver: drivers 
graphic: graphics 
wireless: wireless 
geophysics: geophysics 
health: health 
mathematics: mathematics 
office: office 
suite: suites 
operating: operating 
system: systems 
programming: programming 
language: languages 
routing: routing 
television: television 
video: video 
game: games 
web: web 
application: applications 
commerce: commerce 
android: android 
apps: apps 
io: ios 
trademarked: trademarked 
formerly: formerly 
proprietary: proprietary 
community: community 
history: history 
event: events 
organisation: organisations 
india: india 
afl: afl 
apache: apache 
apsl: apsl 
artistic: artistic 
beerware: beerware 
bsd: bsd 
creative: creative 
cddl: cddl 
epl: epl 
gnu: gnu 
gpl: gpl 
lgpl: lgpl 
isc: isc 
mit: mit 
mpl: mpl 
python: python 
shared: shared 
sleepycat: sleepycat 
unlicense: unlicense 
wtfpl: wtfpl 
zlib: zlib 
standard: standards 
contributor: contributor 
agreement: agreement 
copyleft: copyleft 
permissive: permissive 
viral: viral 
challenge: challenges 
digital: digital 
hardware: hardware 
proliferation: proliferation 
mozilla: mozilla 
rebranding: rebranding 
device: device 
firmware: firmware 
sco: sco 
linux: linux 
controversy: controversies 
patent: patents 
security: security 
trusted: trusted 
computing: computing 
topic: topics 
forking: forking 
manifesto: manifesto 
microsoft: microsoft 
specification: specification 
promise: promise 
model: model 
available: available 
cathedral: cathedral 
bazaar: bazaar 
o: os 
newpp: newpp 
limit: limit 
report: report 
parsed: parsed 
cached: cached 
cache: cache 
expiry: expiry 
reduced: reduced 
false: false 
complication: complications 
vary: vary 
revision: revision 
sha: sha 
cpu: cpu 
usage: usage 
second: seconds 
real: real 
visited: visited 
node: node 
count: count 
post: post 
expand: expand 
byte: bytes 
template: template 
argument: argument 
highest: highest 
expansion: expansion 
depth: depth 
expensive: expensive 
function: function 
unstrip: unstrip 
recursion: recursion 
lua: lua 
memory: memory 
wikibase: wikibase 
entity: entities 
loaded: loaded 
transclusion: transclusion 
m: ms 
call: calls 
total: total 
fo: foss 
short: short 
description: description 
quotation: quotation 
pagetype: pagetype 
saved: saved 
key: key 
enwiki: enwiki 
pcache: pcache 
idhash: idhash 
canonical: canonical 
timestamp: timestamp 
serialized: serialized 
json: json 
oldid: oldid 
wikidata: wikidata 
menu: menu 
