ron: ron 
klain: klain 
career: career 
family: family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
im: im 
lo: lo 
scalzo: scalzo 
white: white 
house: house 
pool: pool 
isp: isp 
image: images 
corbis: corbis 
vcg: vcg 
via: via 
getty: getty 
quick: quick 
name: name 
birth: birth 
date: date 
august: august 
age: age 
know: know 
portrayed: portrayed 
actor: actor 
kevin: kevin 
spacey: spacey 
hbo: hbo 
movie: movie 
recount: recount 
place: place 
indianapolis: indianapolis 
indiana: indiana 
full: full 
ronald: ronald 
klein: klein 
cite: cite 
page: page 
publish: publish 
dec: dec 
comment: comment 
lawyer: lawyer 
political: political 
operative: operative 
former: former 
aide: aide 
president: president presidents 
bill: bill 
clinton: clinton 
barack: barack 
obama: obama 
named: named 
joe: joe 
biden: biden 
chief: chief 
staff: staff 
november: november 
raised: raised 
well: well 
versed: versed 
campaigning: campaigning 
time: time 
entered: entered 
harvard: harvard 
law: law 
school: school 
associate: associate 
general: general 
counsel: counsel 
vice: vice 
al: al 
gore: gore 
administration: administration 
later: later 
became: became 
top: top 
ebola: ebola 
czar: czar 
also: also 
served: served 
adviser: adviser 
board: board boards 
member: member 
numerous: numerous 
organization: organizations 
rejoined: rejoined 
presidential: presidential 
campaign: campaign 
tapped: tapped 
early: early 
year: years 
education: education 
work: work 
born: born 
dad: dad 
stanley: stanley 
building: building 
contractor: contractor 
mom: mom 
sarann: sarann 
travel: travel 
agent: agent 
interest: interest 
politics: politics 
sparked: sparked 
meeting: meeting 
robert: robert 
kennedy: kennedy 
interned: interned 
colorado: colorado 
senator: senators senator 
floyd: floyd 
haskell: haskell 
voted: voted 
north: north 
central: central 
high: high 
graduating: graduating 
class: class 
went: went 
edward: edward 
massachusetts: massachusetts 
birch: birch 
bayh: bayh 
majoring: majoring 
government: government 
georgetown: georgetown 
university: university 
becoming: becoming 
first: first 
finish: finish 
college: college 
graduated: graduated 
summa: summa 
cum: cum 
laude: laude 
managing: managing 
congressman: congressman 
ed: ed 
markey: markey 
senate: senate 
sears: sears 
prize: prize 
grade: grade 
point: point 
average: average 
editor: editors editor 
review: review 
earning: earning 
j: j 
fast: fast 
rising: rising 
star: star 
beltway: beltway 
clerked: clerked 
supreme: supreme 
court: court 
justice: justice 
byron: byron 
assisted: assisted 
delaware: delaware 
run: run 
advised: advised 
judiciary: judiciary 
committee: committee 
period: period 
marked: marked 
controversial: controversial 
