juli: juli 
n: n 
castro: castro 
presidential: presidential 
run: run 
twin: twin twins 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
sergio: sergio 
flores: flores 
bloomberg: bloomberg 
via: via 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
september: september 
age: age 
place: place 
san: san 
antonio: antonio 
texas: texas 
zodiac: zodiac 
sign: sign 
virgo: virgo 
cite: cite 
page: page 
publish: publish 
nov: nov 
comment: comment 
former: former 
mayor: mayor 
hud: hud 
secretary: secretary 
obama: obama 
administration: administration 
among: among 
candidate: candidates candidate 
democratic: democratic 
nomination: nomination 
race: race 
xe: xe 
politician: politician 
served: served 
president: president 
barack: barack 
housing: housing 
urban: urban 
development: development 
january: january 
announced: announced 
bid: bid 
election: election 
exiting: exiting 
early: early 
following: following 
year: years year 
hailing: hailing 
politically: politically 
active: active 
mexican: mexican 
family: family 
identical: identical 
brother: brother 
joaquin: joaquin 
serf: serves 
house: house 
representative: representatives 
state: state states 
life: life lives 
education: education 
born: born 
xa: xa 
one: one 
minute: minute 
mother: mother 
rosie: rosie 
chicana: chicana 
activist: activist 
raised: raised 
two: two 
son: son sons 
took: took 
political: political 
meeting: meetings 
never: never 
married: married 
father: father 
jesse: jesse 
guzman: guzman 
attended: attended 
stanford: stanford 
university: university 
majoring: majoring 
science: science 
communication: communications 
matriculated: matriculated 
harvard: harvard 
received: received 
law: law 
degree: degree 
three: three 
later: later 
graduating: graduating 
worked: worked 
firm: firm 
together: together 
establishing: establishing 
career: career 
politics: politics 
began: began 
became: became 
member: member 
city: city 
council: council 
making: making 
youngest: youngest 
set: set 
eye: eyes 
mayorship: mayorship 
defeated: defeated 
tried: tried 
successful: successful 
elected: elected 
twice: twice 
star: star 
rising: rising 
nationally: nationally 
first: first 
latino: latino 
national: national 
convention: convention 
serve: serve 
keynote: keynote 
speaker: speaker 
tenure: tenure 
helped: helped 
minority: minorities 
gain: gain 
access: access 
fair: fair 
right: right rights 
aided: aided 
community: communities 
struck: struck 
natural: natural 
disaster: disasters 
launched: launched 
program: programs program 
increased: increased 
broadband: broadband 
connectivity: connectivity 
young: young 
across: across 
nation: nation 
julian: julian 
platform: platform 
presidency: presidency 
running: running 
time: time 
new: new 
leadership: leadership 
energy: energy 
commitment: commitment 
make: make 
sure: sure 
opportunity: opportunities 
available: available 
every: every 
american: american 
said: said 
hometown: hometown 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
