stacey: stacey 
abrams: abrams 
voting: voting 
right: right rights 
novel: novels 
fair: fair 
fight: fight 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
benjamin: benjamin 
lowy: lowy 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name names 
birth: birth 
date: date 
december: december 
age: age 
place: place places 
madison: madison 
wisconsin: wisconsin 
full: full 
yvonne: yvonne 
cite: cite 
page: page 
publish: publish 
jan: jan 
comment: comment 
politician: politician 
served: served 
georgia: georgia 
house: house 
representative: representatives representative 
ran: ran 
governor: governor 
state: state states 
also: also 
founder: founder 
lawyer: lawyer 
author: author 
activist: activist 
became: became 
first: first 
woman: woman women 
lead: lead 
either: either 
party: party 
general: general 
assembly: assembly 
occupying: occupying 
role: role 
last: last 
seven: seven 
year: years 
office: office 
following: following 
unsuccessful: unsuccessful 
run: run 
founded: founded 
organization: organization 
helped: helped 
register: register 
least: least 
new: new 
voter: voters voter 
ahead: ahead 
election: elections election 
addition: addition 
political: political 
career: career 
published: published 
eight: eight 
romantic: romantic 
suspense: suspense 
pen: pen 
selena: selena 
montgomery: montgomery 
early: early 
life: life lives 
education: education 
born: born 
xa: xa 
second: second 
oldest: oldest 
carolyn: carolyn 
robert: robert 
six: six 
child: children 
andrea: andrea 
leslie: leslie 
richard: richard 
walter: walter 
jeanine: jeanine 
parent: parents 
met: met 
working: working 
together: together 
teen: teen 
lifeguard: lifeguards 
racially: racially 
segregated: segregated 
hattiesburg: hattiesburg 
mississippi: mississippi 
swimming: swimming 
pool: pool 
height: height 
civil: civil 
movement: movement 
lived: lived 
temporarily: temporarily 
could: could 
earn: earn 
master: master 
degree: degree 
library: library 
science: science 
university: university 
however: however 
couple: couple 
raised: raised 
gulfport: gulfport 
middle: middle 
school: school 
family: family 
moved: moved 
atlanta: atlanta 
attended: attended 
emory: emory 
pursue: pursue 
graduate: graduate 
study: study studies 
divinity: divinity 
become: become 
united: united 
methodist: methodist 
minister: ministers 
graduated: graduated 
black: black 
valedictorian: valedictorian 
avondale: avondale 
high: high 
dekalb: dekalb 
county: county 
earning: earning 
magna: magna 
cum: cum 
laude: laude 
undergraduate: undergraduate 
interdisciplinary: interdisciplinary 
economics: economics 
sociology: sociology 
minor: minor 
theater: theater 
historically: historically 
college: college 
spelman: spelman 
later: later 
lbj: lbj 
public: public 
affair: affairs 
texas: texas 
austin: austin 
received: received 
j: j 
yale: yale 
law: law 
old: old 
began: began 
speechwriter: speechwriter 
congressional: congressional 
campaign: campaign 
committee: committee committees 
impressed: impressed 
edits: edits 
made: made 
typing: typing 
maynard: maynard 
jackson: jackson 
mayor: mayor 
challenged: challenged 
issue: issues issue 
relating: relating 
social: social 
justice: justice 
televised: televised 
town: town 
hall: hall 
created: created 
youth: youth 
service: services 
hired: hired 
undergrad: undergrad 
student: student students 
staff: staff 
upon: upon 
graduating: graduating 
tax: tax 
attorney: attorney 
sutherland: sutherland 
asbill: asbill 
brennan: brennan 
firm: firm 
focused: focused 
exemption: exemptions 
healthcare: healthcare 
finance: finance 
time: time 
turned: turned 
shirley: shirley 
franklin: franklin 
appointed: appointed 
deputy: deputy 
city: city 
elected: elected 
within: within 
four: four 
minority: minority 
leader: leaders leader 
ascending: ascending 
highest: highest 
legislative: legislative 
earned: earned 
distinction: distinction 
becoming: becoming 
well: well 
african: african 
american: american 
democratic: democratic 
appropriation: appropriations 
ethic: ethics 
judiciary: judiciary 
non: non 
rule: rules 
way: way ways 
mean: means 
top: top 
ranking: ranking 
democrat: democrat democrats 
traveled: traveled 
south: south 
korea: korea 
israel: israel 
taiwan: taiwan 
international: international 
travel: travel 
included: included 
australia: australia 
austria: austria 
belgium: belgium 
bulgaria: bulgaria 
canada: canada 
france: france 
italy: italy 
netherlands: netherlands 
switzerland: switzerland 
kingdom: kingdom 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
gubernatorial: gubernatorial 
leaving: leaving 
position: position 
launched: launched 
major: major 
nomination: nomination 
despite: despite 
winning: winning 
vote: vote votes 
candidate: candidate 
including: including 
former: former 
president: president 
barack: barack 
obama: obama 
lost: lost 
secretary: secretary 
brian: brian 
kemp: kemp 
fewer: fewer 
two: two 
percentage: percentage 
point: points 
million: million 
cast: cast 
eventually: eventually 
alleged: alleged 
suppression: suppression 
effort: efforts 
aside: aside 
running: running 
race: race 
oversaw: oversaw 
cutting: cutting 
nearly: nearly 
roll: rolls 
leading: leading 
polling: polling 
closed: closed 
primarily: primarily 
poor: poor 
neighborhood: neighborhoods 
according: according 
washington: washington 
post: post 
claimed: claimed 
thousand: thousands 
ballot: ballots 
left: left 
uncounted: uncounted 
ten: ten 
day: days 
ended: ended 
bid: bids bid 
chose: chose 
concede: concede 
citing: citing 
belief: belief 
disenfranchised: disenfranchised 
x: x 
c: c 
let: let 
clear: clear 
speech: speech 
concession: concession 
said: said 
headquarters: headquarters 
associated: associated 
press: press 
acknowledge: acknowledge 
action: action 
true: true 
proper: proper 
conscience: conscience 
faith: faith 
cannot: cannot 
address: address 
announced: announced 
intended: intended 
file: file 
federal: federal 
lawsuit: lawsuit 
challenge: challenge 
registration: registrations registration 
loss: loss 
protection: protection 
aim: aims 
promote: promote 
around: around 
country: country 
encourage: encourage 
participation: participation 
educate: educate 
per: per 
npr: npr 
result: result 
joe: joe 
biden: biden 
electoral: electoral 
reverend: reverend 
raphael: raphael 
warnock: warnock 
jon: jon 
osoff: osoff 
flipped: flipped 
republican: republican 
held: held 
senate: senate 
seat: seats 
january: january 
special: special 
runoff: runoff 
previously: previously 
project: project projects 
submitted: submitted 
color: color 
