james: james 
farmer: farmer 
quote: quotes 
civil: civil 
right: right rights 
freedom: freedom 
ride: rides ride 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
hulton: hulton 
archive: archive 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
january: january 
death: death 
july: july 
know: know knows 
life: life lives 
star: star 
college: college 
debater: debater debaters 
adolescence: adolescence 
depicted: depicted 
denzel: denzel 
washington: washington 
film: film 
great: great 
father: father 
first: first 
african: african 
american: american 
citizen: citizen 
earn: earn 
doctorate: doctorate 
texas: texas 
education: education 
wiley: wiley 
howard: howard 
university: university 
place: place 
marshall: marshall 
fredericksburg: fredericksburg 
virginia: virginia 
aka: aka 
leonard: leonard 
l: l 
jr: jr 
jim: jim 
full: full 
background: background 
study: studies 
gandhi: gandhi 
path: path 
found: founds 
core: core 
medal: medal 
cite: cite 
page: page 
would: would 
like: likes like 
known: known 
founded: founded 
congress: congress 
racial: racial 
equality: equality 
organized: organized 
attempted: attempted 
bring: bring 
gandhian: gandhian 
technique: techniques 
nonviolence: nonviolence 
struggle: struggle 
country: country 
tenuous: tenuous 
movement: movement 
day: days 
grasping: grasping 
liberty: liberty 
reaching: reaching 
toward: toward 
happiness: happiness 
ennobled: ennobled 
nation: nation 
negro: negro 
child: children child 
go: go goes 
door: doors 
segregated: segregated 
school: school 
implicitly: implicitly 
telling: telling 
fit: fit 
others: others 
every: every 
time: time 
hears: hears 
white: white 
parent: parent 
becomes: becomes 
hysterical: hysterical 
thought: thought 
endure: endure 
feel: feels 
pressure: pressure 
inferiority: inferiority 
little: little 
firmly: firmly 
plan: plans plan 
beyond: beyond 
act: act 
voting: voting 
think: think 
weakness: weakness 
leadership: leadership 
long: long 
range: range 
planning: planning 
publish: publish 
apr: apr 
comment: comment 
leader: leaders leader 
headed: headed 
historic: historic 
going: going 
lead: lead 
become: become 
one: one 
prominent: prominent 
organization: organization organizations 
era: era 
devotee: devotee 
nonviolent: nonviolent 
strategy: strategies 
also: also 
interstate: interstate 
travel: travel 
desegregation: desegregation 
born: born 
mother: mother 
teacher: teacher 
minister: minister 
state: state states 
surrounded: surrounded 
literature: literature 
learning: learning 
young: young 
excellent: excellent 
student: student 
skipping: skipping 
grade: grades 
becoming: becoming 
freshman: freshman 
age: age 
continued: continued 
excel: excel 
part: part 
debate: debate 
team: team 
eloquence: eloquence 
storytelling: storytelling 
ability: abilities 
later: later 
heard: heard 
nationally: nationally 
adult: adult 
orator: orator 
portrayed: portrayed 
directed: directed 
played: played 
whitaker: whitaker 
forest: forest 
real: real 
relation: relation 
two: two 
actor: actors 
previously: previously 
contemplating: contemplating 
career: career 
medicine: medicine 
follow: follow 
dad: dad 
footstep: footsteps 
take: take 
ministerial: ministerial 
work: work 
earning: earning 
divinity: divinity 
degree: degree 
learned: learned 
teaching: teachings teaching 
mahatma: mahatma 
studied: studied 
much: much 
philosophy: philosophies 
apply: apply 
idea: ideas 
resistance: resistance 
opting: opting 
forge: forge 
religion: religion 
either: either 
conscientious: conscientious 
objector: objector 
world: world 
war: war 
ii: ii 
worked: worked 
fellowship: fellowship 
reconciliation: reconciliation 
early: early 
living: living 
chicago: chicago 
illinois: illinois 
tv: tv 
screenwriter: screenwriter 
magazine: magazine 
scribe: scribe 
marriage: marriage 
winnie: winnie 
christie: christie 
married: married 
lula: lula 
petersen: petersen 
committed: committed 
harmony: harmony 
friend: friend 
george: george 
houser: houser 
multi: multi 
group: group 
colleague: colleagues 
decided: decided 
desegregate: desegregate 
eatery: eatery 
via: via 
sit: sit 
thus: thus 
formed: formed 
committee: committee 
elected: elected 
national: national 
chairman: chairman 
developed: developed 
mostly: mostly 
north: north 
based: based 
membership: membership 
various: various 
chapter: chapters 
yet: yet 
eventually: eventually 
find: find 
deeply: deeply 
involved: involved 
south: south 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
period: periods 
away: away 
making: making 
headline: headlines 
historical: historical 
ruling: rulings 
action: actions action 
director: director 
became: became 
joining: joining 
rank: ranks 
figure: figures 
dr: dr 
martin: martin 
luther: luther 
king: king 
roy: roy 
wilkins: wilkins 
launching: launching 
intention: intention 
challenging: challenging 
segregation: segregation 
intestate: intestate 
bus: bus 
technically: technically 
declared: declared 
illegal: illegal 
taken: taken 
upon: upon 
rider: rider riders 
consisted: consisted 
woman: women 
men: men 
black: black 
traveled: traveled 
route: routes 
southern: southern 
launched: launched 
may: may 
firebombed: firebombed 
alabama: alabama 
several: several 
mobilized: mobilized 
brutality: brutality 
horrifying: horrifying 
beaten: beaten 
badly: badly 
left: left 
paralyzed: paralyzed 
protester: protesters 
jailed: jailed 
en: en 
masse: masse 
jackson: jackson 
mississippi: mississippi 
audience: audiences 
around: around 
able: able 
see: see 
television: television 
violent: violent 
racism: racism 
september: september 
commerce: commerce 
commission: commission 
behest: behest 
attorney: attorney 
general: general 
robert: robert 
impermissible: impermissible 
public: public 
facility: facilities 
mode: modes 
transport: transport 
helm: helm 
hiring: hiring 
protest: protests 
targeted: targeted 
three: three 
affiliated: affiliated 
worker: workers 
murdered: murdered 
resigned: resigned 
leading: leading 
mid: mid 
book: book 
published: published 
stint: stint 
lincoln: lincoln 
ran: ran 
unsuccessfully: unsuccessfully 
republican: republican 
ticket: ticket 
democrat: democrat 
shirley: shirley 
chisholm: chisholm 
administration: administration 
president: president 
richard: richard 
nixon: nixon 
though: though 
frustration: frustration 
receiving: receiving 
honor: honors 
tell: tell 
story: story stories 
new: new 
generation: generations 
releasing: releasing 
acclaimed: acclaimed 
autobiography: autobiography 
lay: lay 
bare: bare 
heart: heart 
decade: decade 
received: received 
presidential: presidential 
bill: bill 
clinton: clinton 
pb: pbs 
experience: experience 
released: released 
documentary: documentary 
focused: focused 
entitled: entitled 
suffering: suffering 
greatly: greatly 
diabetes: diabetes 
year: years 
died: died 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
network: networks 
last: last 
updated: updated 
october: october 
original: original 
april: april 
receive: receive 
shaped: shaped 
sign: sign 
person: person 
gerald: gerald 
ford: ford 
th: th 
united: united 
following: following 
resignation: resignation 
aftermath: aftermath 
watergate: watergate 
amiri: amiri 
baraka: baraka 
poet: poet 
activist: activist 
scholar: scholar 
influential: influential 
nationalist: nationalist 
marxist: marxist 
whitney: whitney 
head: head 
urban: urban 
league: league 
forefront: forefront 
integration: integration 
economic: economic 
empowerment: empowerment 
r: r 
stine: stine 
famous: famous 
writing: writing 
goosebump: goosebumps 
bestselling: bestselling 
horror: horror 
series: series 
kid: kids 
created: created 
successful: successful 
fear: fear 
street: street 
john: john 
rockefeller: rockefeller 
philanthropist: philanthropist 
son: son 
heir: heir 
fortune: fortune 
building: building 
center: center 
york: york 
city: city 
ike: ike 
turner: turner 
made: made 
string: string 
b: b 
hit: hits 
singer: singer 
wife: wife 
tina: tina 
struggled: struggled 
drug: drug 
addiction: addiction 
accidental: accidental 
cocaine: cocaine 
overdose: overdose 
junior: junior 
gotti: gotti 
mobster: mobster 
allegedly: allegedly 
served: served 
capo: capo 
gambino: gambino 
family: family 
acting: acting 
bos: boss 
prison: prison 
f: f 
vocal: vocal 
environmental: environmental 
radio: radio 
host: host 
co: co 
founder: founder 
river: river 
alliance: alliance 
frank: frank 
baum: baum 
writer: writer 
popular: popular 
wizard: wizard 
oz: oz 
ruth: ruth 
plumly: plumly 
thompson: thompson 
write: write 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
