jimmie: jimmie 
lee: lee 
jackson: jackson 
movie: movie 
death: death 
killer: killer 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
december: december 
place: place 
marion: marion 
alabama: alabama 
selma: selma 
aka: aka 
full: full 
early: early 
life: life lives 
shooting: shooting 
civil: civil 
right: right rights 
martyr: martyr martyrs 
james: james 
fowler: fowler 
conviction: conviction 
cite: cite 
page: page 
quote: quotes 
joined: joined 
rank: ranks 
many: many 
fallen: fallen 
along: along 
way: way 
building: building 
great: great 
nation: nation 
bringing: bringing 
hour: hour 
murdered: murdered 
timidity: timidity 
federal: federal 
government: government 
spend: spend 
million: millions 
dollar: dollars 
day: day days 
keep: keep 
troop: troops 
south: south 
vietnam: vietnam 
cannot: cannot 
protect: protect 
citizen: citizens 
seeking: seeking 
vote: vote 
brutality: brutality 
every: every 
sheriff: sheriff 
practice: practices 
lawlessness: lawlessness 
law: law 
publish: publish 
oct: oct 
comment: comment 
shot: shot 
killed: killed 
state: state states 
trooper: troopers trooper 
inspired: inspired 
demonstration: demonstrations demonstration 
led: led 
voting: voting 
act: act 
became: became 
part: part 
movement: movement 
young: young 
man: man 
participating: participating 
peaceful: peaceful 
protest: protest 
died: died 
later: later 
march: march 
violence: violence 
known: known 
bloody: bloody 
sunday: sunday 
made: made 
american: americans american 
favor: favor 
possible: possible 
pas: pass 
born: born 
small: small 
town: town 
located: located 
near: near 
fighting: fighting 
war: war 
spending: spending 
time: time times 
indiana: indiana 
returned: returned 
hometown: hometown 
laborer: laborer 
woodcutter: woodcutter 
church: church 
deacon: deacon 
youngest: youngest 
one: one 
baptist: baptist 
fathered: fathered 
daughter: daughter 
also: also 
tried: tried 
first: first 
several: several 
attempt: attempts 
register: register 
voter: voter 
never: never 
got: got 
past: past 
hurdle: hurdles 
set: set 
african: african 
casting: casting 
ballot: ballots 
took: took 
night: night 
held: held 
arrest: arrest 
orange: orange 
field: field 
secretary: secretary 
southern: southern 
christian: christian 
leadership: leadership 
conference: conference 
however: however 
even: even 
nonviolent: nonviolent 
opposed: opposed 
segregationist: segregationists 
power: power 
streetlight: streetlights 
turned: turned 
cover: cover 
darkness: darkness 
police: police 
attacked: attacked 
protester: protesters 
club: clubs 
sending: sending 
fleeing: fleeing 
different: different 
direction: directions 
still: still 
pursued: pursued 
officer: officers 
demonstrator: demonstrators 
went: went 
restaurant: restaurant 
called: called 
mack: mack 
caf: caf 
xe: xe 
stomach: stomach 
bonard: bonard 
witness: witnesses 
recounted: recounted 
protecting: protecting 
mother: mother 
year: years year 
old: old 
grandfather: grandfather 
admit: admit 
killing: killing 
interview: interview 
anniston: anniston 
star: star 
claimed: claimed 
acting: acting 
self: self 
defense: defense 
trying: trying 
grabbing: grabbing 
gun: gun 
x: x 
c: c 
remember: remember 
pulled: pulled 
trigger: trigger 
think: think 
might: might 
three: three 
told: told 
know: know 
dead: dead 
die: die 
heard: heard 
month: months month 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
injured: injured 
taken: taken 
local: local 
hospital: hospital 
sent: sent 
lingered: lingered 
week: week weeks 
dying: dying 
infected: infected 
wound: wound 
though: though 
al: al 
lingo: lingo 
head: head 
warrant: warrant 
faced: faced 
punishment: punishment 
disciplinary: disciplinary 
action: action 
allowed: allowed 
continue: continue 
job: job 
xa: xa 
condemned: condemned 
leader: leaders leader 
martin: martin 
luther: luther 
king: king 
jr: jr 
visited: visited 
john: john 
lewis: lewis 
bevel: bevel 
spoke: spoke 
funeral: funeral 
said: said 
hold: hold 
montgomery: montgomery 
violent: violent 
response: response 
awaiting: awaiting 
well: well 
arrived: arrived 
edmund: edmund 
pettus: pettus 
bridge: bridge 
used: used 
tear: tear 
gas: gas 
baton: batons 
image: images 
came: came 
shared: shared 
across: across 
country: country 
making: making 
public: public 
supportive: supportive 
struggle: struggle 
two: two 
another: another 
marcher: marchers 
crowd: crowd 
august: august 
legislation: legislation 
fought: fought 
discriminatory: discriminatory 
measure: measures 
kept: kept 
like: like 
confessed: confessed 
face: face 
immediate: immediate 
repercussion: repercussions 
following: following 
fatal: fatal 
arrested: arrested 
charged: charged 
second: second 
degree: degree 
murder: murder 
initially: initially 
maintained: maintained 
acted: acted 
defend: defend 
eventually: eventually 
accepted: accepted 
plea: plea 
bargain: bargain 
misdemeanor: misdemeanor 
manslaughter: manslaughter 
received: received 
six: six 
jail: jail 
sentence: sentence 
served: served 
five: five 
released: released 
july: july 
health: health 
problem: problems 
fbi: fbi 
began: began 
investigating: investigating 
role: role 
nathan: nathan 
johnson: johnson 
black: black 
fatally: fatally 
stopped: stopped 
suspicion: suspicion 
drunk: drunk 
driving: driving 
pancreatic: pancreatic 
cancer: cancer 
age: age 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
april: april 
receive: receive 
story: stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
jesse: jesse 
minister: minister 
politician: politician 
twice: twice 
ran: ran 
president: president 
harper: harper 
best: best 
writing: writing 
pulitzer: pulitzer 
prize: prize 
winning: winning 
bestseller: bestseller 
kill: kill 
mockingbird: mockingbird 
go: go 
watchman: watchman 
portrays: portrays 
finch: finch 
family: family 
andrew: andrew 
seventh: seventh 
united: united 
founding: founding 
democratic: democratic 
party: party 
individual: individual 
liberty: liberty 
mahalia: mahalia 
th: th 
