antonin: antonin 
scalia: scalia 
dissent: dissents dissent 
child: children child 
supreme: supreme 
court: court courts 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
march: march 
death: death 
education: education 
harvard: harvard 
law: law 
school: school 
georgetown: georgetown 
university: university 
place: place 
trenton: trenton 
new: new 
jersey: jersey 
shafter: shafter 
texas: texas 
nickname: nickname 
nino: nino 
full: full 
gregory: gregory 
cite: cite 
page: page 
publish: publish 
sep: sep 
comment: comment 
best: best 
known: known 
associate: associate 
justice: justices justice 
appointed: appointed 
president: president 
ronald: ronald 
reagan: reagan 
lawyer: lawyer 
practicing: practicing 
worked: worked 
public: public 
service: service 
role: roles role 
xa: xa 
richard: richard 
nixon: nixon 
general: general 
counsel: counsel 
assistant: assistant 
attorney: attorney 
became: became 
part: part 
appeal: appeals 
nominated: nominated 
serving: serving 
capacity: capacity 
background: background 
family: family 
life: life lives 
born: born 
salvadore: salvadore 
eugene: eugene 
catherine: catherine 
panaro: panaro 
father: father 
emigrated: emigrated 
sicily: sicily 
teenager: teenager 
came: came 
elli: ellis 
island: island 
got: got 
college: college 
professor: professor 
romance: romance 
language: languages 
brooklyn: brooklyn 
mother: mother 
first: first 
generation: generation 
italian: italian 
american: americans american 
elementary: elementary 
teacher: teacher 
early: early 
acquired: acquired 
partly: partly 
remembrance: remembrance 
grandfather: grandfather 
named: named 
young: young 
boy: boy 
enjoyed: enjoyed 
immediate: immediate 
well: well 
extended: extended 
rare: rare 
occurrence: occurrence 
catholic: catholic 
clan: clans 
time: time 
admitted: admitted 
center: center 
much: much 
attention: attention 
gave: gave 
secure: secure 
feeling: feeling 
growing: growing 
also: also 
meant: meant 
everyone: everyone 
expectation: expectations 
put: put 
squarely: squarely 
major: major 
influence: influence 
providing: providing 
core: core 
value: values 
conservatism: conservatism 
hard: hard 
work: work 
discipline: discipline 
exhibited: exhibited 
adult: adult 
grew: grew 
multi: multi 
ethnic: ethnic 
neighborhood: neighborhood 
queen: queens 
york: york 
city: city 
attended: attended 
straight: straight 
student: student 
went: went 
xavier: xavier 
high: high 
manhattan: manhattan 
military: military 
run: run 
jesuit: jesuit 
order: order 
church: church 
deep: deep 
religious: religious 
conviction: conviction 
developed: developed 
self: self 
described: described 
cool: cool 
kid: kid 
spent: spent 
absorbed: absorbed 
continued: continued 
receive: receive 
academic: academic 
mark: marks 
finished: finished 
class: class 
enrolled: enrolled 
washington: washington 
c: c 
graduated: graduated 
valedictorian: valedictorian 
summa: summa 
cum: cum 
laude: laude 
bachelor: bachelors 
degree: degree 
graduation: graduation 
study: study 
final: final 
year: year 
met: met 
maureen: maureen 
mccarthy: mccarthy 
undergraduate: undergraduate 
radcliffe: radcliffe 
couple: couple 
married: married 
september: september 
nine: nine 
together: together 
legal: legal 
career: career 
began: began 
office: offices office 
jones: jones 
day: day 
cockley: cockley 
reavis: reavis 
cleveland: cleveland 
ohio: ohio 
highly: highly 
regarded: regarded 
would: would 
likely: likely 
made: made 
partner: partner 
like: like 
longed: longed 
teach: teach 
took: took 
professorial: professorial 
position: position 
virginia: virginia 
moved: moved 
charlottesville: charlottesville 
entered: entered 
telecommunication: telecommunications 
helped: helped 
formulate: formulate 
regulation: regulations 
cable: cable 
television: television 
industry: industry 
aftermath: aftermath 
watergate: watergate 
council: council 
testified: testified 
congressional: congressional 
committee: committees 
behalf: behalf 
gerald: gerald 
ford: ford 
administration: administration 
executive: executive 
privilege: privilege 
later: later 
argued: argued 
case: cases case 
alfred: alfred 
dunhill: dunhill 
london: london 
inc: inc 
v: v 
republic: republic 
cuba: cuba 
government: government 
brief: brief 
stint: stint 
conservative: conservatives conservative 
enterprise: enterprise 
institute: institute 
teaching: teaching 
post: post 
chicago: chicago 
accepted: accepted 
appointment: appointment 
district: district 
columbia: columbia 
built: built 
record: record 
praise: praise 
circle: circles 
powerful: powerful 
witty: witty 
writing: writing 
often: often 
critical: critical 
bound: bound 
follow: follow 
lower: lower 
judge: judges judge 
drew: drew 
official: officials 
short: short 
