amy: amy 
klobuchar: klobuchar 
age: age 
husband: husband 
education: education 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices choice 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
ethan: ethan 
miller: miller 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
may: may 
place: place places 
plymouth: plymouth 
minnesota: minnesota 
zodiac: zodiac 
sign: sign 
gemini: gemini 
cite: cite 
page: page 
publish: publish 
nov: nov 
comment: comment 
lawyer: lawyer 
senator: senator 
among: among 
candidate: candidates candidate 
democratic: democratic 
presidential: presidential 
nomination: nomination 
known: known 
pragmatism: pragmatism 
successfully: successfully 
reaching: reaching 
across: across 
aisle: aisle 
started: started 
corporate: corporate 
elected: elected 
senate: senate 
seat: seat 
multiple: multiple 
time: times time 
since: since 
first: first 
election: election 
announced: announced 
candidacy: candidacy 
race: race 
exiting: exiting 
field: field 
march: march 
early: early 
life: life lives 
jean: jean 
born: born 
mother: mothers mother 
elementary: elementary 
school: school 
teacher: teacher teachers 
father: father 
sportswriter: sportswriter 
star: star 
tribune: tribune 
younger: younger 
sister: sister 
parent: parents 
divorced: divorced 
publicly: publicly 
shared: shared 
past: past 
contentious: contentious 
relationship: relationship 
due: due 
alcoholism: alcoholism 
later: later 
made: made 
amends: amends 
stopped: stopped 
drinking: drinking 
excelling: excelling 
academic: academics 
valedictorian: valedictorian 
high: high 
went: went 
study: study 
political: political 
science: science 
yale: yale 
graduating: graduating 
receiving: receiving 
b: b 
accepted: accepted 
university: university 
chicago: chicago 
law: law 
graduated: graduated 
career: career 
work: work works 
county: county 
prosecutor: prosecutor 
became: became 
partner: partner 
two: two 
different: different 
firm: firms 
minneapolis: minneapolis 
area: areas area 
interest: interest 
politics: politics 
came: came 
gave: gave 
daughter: daughter 
discovered: discovered 
swallowing: swallowing 
issue: issues 
despite: despite 
condition: condition 
hospital: hospital 
demanded: demanded 
leave: leave 
hour: hour hours 
window: window 
admission: admission 
expired: expired 
ired: ired 
experience: experience 
lobbied: lobbied 
state: state states 
legislature: legislature 
demanding: demanding 
stay: stay 
extended: extended 
new: new 
newborn: newborns 
successful: successful 
turning: turning 
advocacy: advocacy 
president: president 
bill: bill 
clinton: clinton 
signed: signed 
federal: federal 
judge: judge 
kavanaugh: kavanaugh 
hearing: hearings 
controversial: controversial 
scotus: scotus 
brett: brett 
pushed: pushed 
national: national 
spotlight: spotlight 
member: member 
judiciary: judiciary 
committee: committee 
seen: seen 
