nokia: nokia 
n: n 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
redirected: redirected 
jump: jump 
navigation: navigation 
search: search 
mw: mw 
parser: parser 
output: output 
hatnote: hatnote 
font: font 
style: styles style 
italic: italic 
div: div 
padding: padding 
left: left 
em: em 
margin: margin 
bottom: bottom 
normal: normal 
link: link links 
top: top 
confused: confused 
lumia: lumia 
infobox: infobox 
subbox: subbox 
border: border 
none: none 
px: px 
width: width 
auto: auto 
min: min 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: col cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
manufacturer: manufacturer 
type: type 
mobile: mobiles mobile 
internet: internet 
device: device devices 
handheld: handheld 
computer: computers computer 
smartphone: smartphone 
release: release 
date: dates date 
november: november 
medium: media 
microsd: microsd 
microsdhc: microsdhc 
card: card cards 
operating: operating 
system: system 
maemo: maemo 
cpu: cpu 
ti: ti 
omap: omap 
soc: soc 
mhz: mhz 
arm: arm 
cortex: cortex 
c: cs c 
x: x 
dsp: dsp 
memory: memory 
mb: mb 
ddr: ddr 
swap: swap 
space: space 
total: total 
gb: gb 
virtual: virtual 
storage: storage 
nand: nand 
flash: flash 
emmc: emmc 
display: display 
tft: tft 
resolution: resolution 
mm: mms mm 
diagonally: diagonally 
pixel: pixels 
cm: cm 
ppi: ppi 
graphic: graphics 
powervr: powervr 
sgx: sgx 
gpu: gpu 
supporting: supporting 
opengl: opengl 
e: e es 
sound: sound 
stereo: stereo 
loudspeaker: loudspeaker 
trrs: trrs 
audio: audio 
headphone: headphones 
video: videos video 
input: input 
resistive: resistive 
touchscreen: touchscreen 
localized: localized 
backlit: backlit 
keyboard: keyboard keyboards 
variation: variations 
english: english 
italian: italian 
french: french 
german: german 
russian: russian 
scandinavian: scandinavian 
spanish: spanish 
microphone: microphone 
axis: axis 
accelerometer: accelerometer 
proximity: proximity 
sensor: sensors sensor 
ambient: ambient 
light: light 
camera: camera 
mp: mp 
f: f 
focal: focal 
length: length 
terminology: terminology 
carl: carl 
zeiss: zeiss 
tessar: tessar 
lens: lens 
rear: rear 
front: front 
connectivity: connectivity 
gsm: gsm 
gprs: gprs 
kbit: kbit 
dl: dl 
ul: ul 
edge: edge 
umts: umts 
wcdma: wcdma 
hspa: hspa 
mbit: mbit 
wlan: wlan 
ieee: ieee 
b: b 
g: g 
bluetooth: bluetooth 
integrated: integrated 
gps: gps 
fm: fm 
receiver: receiver 
transmitter: transmitter 
infrared: infrared 
power: power 
bl: bl 
j: j 
mah: mah 
battery: battery batteries 
microusb: microusb 
charger: charger 
online: online 
service: services 
skype: skype 
im: im 
chat: chat chats 
facebook: facebook 
dimension: dimensions 
h: h 
w: w ws 
thickest: thickest 
part: part 
mass: mass 
approx: approx 
lb: lb 
predecessor: predecessor predecessors 
successor: successor 
limited: limited 
non: non 
retail: retail 
made: made 
supersedes: supersedes 
default: default 
linux: linux 
based: based 
o: os 
originally: originally 
developed: developed 
tablet: tablet tablets 
first: first 
upon: upon 
texas: texas 
instrument: instruments 
microprocessor: microprocessor microprocessors 
core: core 
unlike: unlike 
three: three 
preceding: preceding 
include: include 
phone: phones phone 
functionality: functionalities functionality 
quad: quad 
band: band 
hsdpa: hsdpa 
function: function functions 
includes: includes 
email: email 
web: web 
browsing: browsing 
access: access 
megapixel: megapixel 
digital: digital 
still: still 
photography: photography 
portable: portable 
player: player 
music: music 
calculator: calculator 
game: games 
console: console consoles 
word: word words 
processor: processor processors 
sm: sms 
well: well 
telephony: telephony 
using: using 
either: either 
network: networks network 
voip: voip 
via: via 
wi: wi 
fi: fi 
provides: provides 
terminal: terminal 
interface: interface 
interacting: interacting 
launched: launched 
world: world 
september: september 
released: released 
united: united 
state: states 
european: european 
country: countries 
alongside: alongside 
giving: giving 
overall: overall 
touch: touch 
friendly: friendly 
customizable: customizable 
home: home 
screen: screen 
mix: mixes 
application: applications application 
icon: icon icons 
shortcut: shortcut shortcuts 
widget: widgets 
support: support supports 
adobe: adobe 
many: many 
designed: designed 
specifically: specifically 
platform: platform 
new: new 
content: content contents 
history: history 
availability: availability 
hardware: hardware 
button: buttons button 
sim: sim 
software: software 
toolkit: toolkit 
known: known 
issue: issue issues 
legacy: legacy 
see: see 
also: also 
note: note notes 
reference: references 
external: external 
edit: edit 
announced: announced 
keynote: keynotes keynote 
presentation: presentation 
dr: dr 
ari: ari 
jaaksi: jaaksi 
supported: supported 
feature: features feature 
cellular: cellular 
high: high 
definition: definition 
news: news 
backward: backward 
compatibility: compatibility 
older: older 
time: time times 
frame: frame 
established: established 
pre: pre 
alpha: alpha 
development: developments development 
kit: kits kit 
december: december 
targeted: targeted 
exclusively: exclusively 
architecture: architecture 
revamped: revamped 
user: users user 
included: included 
acceleration: acceleration 
found: found 
photo: photo photos 
specification: specifications specification 
codenamed: codenamed 
rover: rover 
came: came 
may: may 
fcc: fcc 
approval: approval 
document: documents 
august: august 
confirmed: confirmed 
provided: provided 
second: second seconds 
codename: codename 
rx: rx 
officially: officially 
germany: germany 
say: say says 
step: step 
line: line 
started: started 
initially: initially 
available: available 
selected: selected 
market: markets 
starting: starting 
uk: uk 
price: prices price 
finland: finland 
italy: italy 
netherlands: netherlands 
spain: spain 
france: france 
z: z 
poland: poland 
kr: kr 
sweden: sweden 
kingdom: kingdom 
including: including 
vat: vat 
excluding: excluding 
subsidy: subsidies 
launch: launches launch 
u: us u 
sale: sale sales 
tax: taxes 
canada: canada 
independent: independent 
retailer: retailers 
around: around 
march: march 
site: site 
australia: australia 
list: list lists 
homepage: homepage 
hinting: hinting 
near: near 
future: future 
black: black 
extremely: extremely 
leading: leading 
delay: delays 
statement: statement statements 
higher: higher 
order: order 
demand: demand 
expected: expected 
hong: hong 
kong: kong 
added: added 
facilitate: facilitate 
character: character 
handwriting: handwriting 
hkd: hkd 
already: already 
optus: optus 
showing: showing 
info: info 
powered: powered 
chip: chip chips 
nanometer: nanometer 
cmos: cmos 
process: process 
composed: composed 
running: running 
ghz: ghz 
correct: correct 
overclocking: overclocking 
used: used 
run: run 
imagination: imagination 
technology: technologies 
capable: capable 
mpolys: mpolys 
tm: tms 
signal: signal signals 
processing: processing 
transmission: transmission 
main: main 
purpose: purpose 
offload: offload 
moreover: moreover 
successfully: successfully 
clocked: clocked 
modified: modified 
kernel: kernel kernels 
editing: editing 
configuration: configuration 
file: file 
dedicated: dedicated 
performance: performance 
ram: ram 
paired: paired 
managed: managed 
inch: inch 
wvga: wvga 
according: according 
xorg: xorg 
log: log 
displaying: displaying 
k: k 
colour: colours 
rgb: rgb 
capability: capability 
optic: optics 
autofocus: autofocus 
dual: dual 
led: led 
geo: geo 
tagging: tagging 
lcd: lcd 
transflective: transflective 
permit: permits permit 
usability: usability 
wide: wide 
range: range 
luminosity: luminosity 
daylight: daylight 
dark: dark 
haptic: haptic 
feedback: feedback 
applying: applying 
small: small 
vibration: vibration 
choose: choose 
whether: whether 
enabled: enabled 
stylus: stylus 
allow: allow 
precise: precise 
smaller: smaller 
element: elements 
allows: allows 
orientation: orientation 
change: change 
portrait: portrait 
landscape: landscape 
mode: mode 
certain: certain 
dashboard: dashboard 
desktop: desktops desktop 
active: active 
rotating: rotating 
activates: activates 
disabled: disabled 
discretion: discretion 
update: updates update 
pr: pr 
became: became 
possible: possible 
view: views view 
page: pages page 
developer: developers developer 
add: add 
desired: desired 
deactivates: deactivates 
brought: brought 
face: face 
call: calls call 
slide: slide 
row: row 
pad: pad 
replaced: replaced 
arrow: arrow 
key: key keys 
previous: previous 
addition: addition 
qwerty: qwerty 
layout: layouts layout 
variant: variants variant 
czech: czech 
nordic: nordic 
finnish: finnish 
swedish: swedish 
adjusts: adjusts 
brightness: brightness 
come: comes 
prediction: prediction 
configured: configured 
preference: preferences 
capitalization: capitalization 
completion: completion 
spacing: spacing 
autonomous: autonomous 
optional: optional 
loaded: loaded 
ovi: ovi 
map: maps map 
typical: typical 
mapping: mapping 
alternate: alternate 
landmark: landmarks 
satellite: satellite 
hybrid: hybrid 
address: address 
place: places 
interest: interest 
searching: searching 
route: routes route 
planning: planning 
although: although 
turn: turn turns 
yet: yet 
back: back 
hatch: hatch 
open: open 
tilt: tilt 
stand: stand 
seen: seen 
surrounding: surrounding 
aspect: aspect 
ratio: ratio 
option: option options 
zoom: zoom 
aperture: aperture 
focus: focus 
infinity: infinity 
recording: recording 
fps: fps 
use: use 
protected: protected 
sliding: sliding 
opening: opening 
production: production 
unit: units 
could: could 
ip: ip 
google: google 
talk: talk 
version: versions version 
delivered: delivered 
without: without 
enabling: enabling 
calling: calling 
chatting: chatting 
ota: ota 
air: air 
fascia: fascia 
becomes: becomes 
play: play 
record: record 
stream: stream 
p: p 
holding: holding 
facing: facing 
right: rights right 
rocking: rocking 
volume: volume 
depending: depending 
context: context 
pressing: pressing 
brings: brings 
menu: menu 
profile: profiles profile 
activate: activate 
offline: offline 
airplane: airplane 
flight: flight 
emitted: emitted 
lock: locks lock 
secure: secure 
code: code 
simple: simple 
end: end 
current: current 
task: task 
fewer: fewer 
make: makes make 
example: example 
accept: accept 
reject: reject 
speaker: speakers 
located: located 
side: side 
four: four 
contact: contacts contact 
connector: connector connectors 
simultaneously: simultaneously 
pal: pal 
ntsc: ntsc 
tv: tv 
cable: cable 
purchase: purchase 
standard: standard 
rca: rca 
speed: speed 
usb: usb 
micro: micro 
synchronization: synchronization 
client: client clients 
charging: charging 
prone: prone 
failure: failure 
go: go goes 
ability: ability 
act: act 
host: host 
meet: meet 
deadline: deadlines 
certification: certification 
ongoing: ongoing 
community: communities community 
effort: effort 
subsequently: subsequently 
currently: currently 
beta: beta 
stage: stage 
requiring: requiring 
adapter: adapter 
repository: repository 
built: built 
v: vs v 
wireless: wireless 
earpiece: earpieces 
hsp: hsp 
dp: dp 
car: car 
hand: hands 
hfp: hfp 
transfer: transfer 
ftp: ftp 
along: along 
opp: opp 
sending: sending 
receiving: receiving 
object: objects 
remote: remote 
control: control 
avrcp: avrcp 
dun: dun 
laptop: laptop 
dialing: dialing 
wirelessly: wirelessly 
tethering: tethering 
hid: hid 
pan: pan 
networking: networking 
unsupported: unsupported 
set: set 
allowing: allowing 
one: one 
listen: listen 
radio: radio 
separate: separate 
frequency: frequency 
extended: extended 
modification: modifications 
furthermore: furthermore 
wep: wep 
wpa: wpa 
aes: aes 
tkip: tkip 
security: security 
protocol: protocol protocols 
synchronize: synchronize 
microsoft: microsoft 
outlook: outlook 
activesync: activesync 
various: various 
mail: mail 
calendar: calendar 
syncml: syncml 
information: information 
exchanged: exchanged 
vcard: vcard 
format: format 
commonly: commonly 
program: program programs 
evolution: evolution 
port: port ports 
compatible: compatible 
irda: irda 
controller: controller 
third: third 
party: party 
life: life 
shipped: shipped 
seems: seems 
deficient: deficient 
able: able 
working: working 
day: days day 
connection: connection 
usage: usage 
press: press 
stated: stated 
aiming: aiming 
always: always 
tcp: tcp 
connected: connected 
early: early 
report: report reports 
hour: hours 
continuously: continuously 
value: value 
appears: appears 
highly: highly 
dependent: dependent 
choice: choice 
polling: polling 
quality: quality 
especially: especially 
case: cases 
bug: bug bugs 
reported: reported 
significantly: significantly 
switching: switching 
replacing: replacing 
larger: larger 
compared: compared 
le: les less 
efficient: efficient 
continuous: continuous 
principle: principle 
figure: figures 
much: much 
capacity: capacity 
performed: performed 
rd: rd 
usually: usually 
involving: involving 
putting: putting 
two: two 
said: said 
parallel: parallel 
increase: increase 
effective: effective 
accessed: accessed 
removing: removing 
panel: panel 
hc: hc 
socket: socket 
cover: cover 
tool: tool tools 
necessary: necessary 
remove: remove 
removable: removable 
additional: additional 
hot: hot 
swappable: swappable 
claimed: claimed 
citation: citation 
needed: needed 
however: however 
sdhc: sdhc 
difficulty: difficulty 
sdxc: sdxc 
sandisk: sandisk 
claim: claims 
swapping: swapping 
achieved: achieved 
magnetic: magnetic 
detects: detects 
removal: removal 
partition: partitions partition 
residing: residing 
unmounted: unmounted 
removed: removed 
formatted: formatted 
ext: ext 
fat: fat 
split: split 
mounted: mounted 
remainder: remainder 
vfat: vfat 
mydocs: mydocs 
ubifs: ubifs 
contains: contains 
bootloader: bootloader 
root: root 
directory: directory 
kb: kb 
dependency: dependencies 
stored: stored 
opt: opt 
symlinked: symlinked 
therefore: therefore 
need: need needs 
carefully: carefully 
exported: exported 
article: articles article 
fremantle: fremantle 
adaptation: adaptation 
environment: environment 
pocket: pocket 
sized: sized 
ui: ui 
fully: fully 
move: move 
preloaded: preloaded 
variety: variety 
mozilla: mozilla 
browser: browser 
called: called 
microb: microb 
r: rss r 
reader: reader 
session: session 
initiation: initiation 
conversation: conversations 
productivity: productivity 
pdf: pdf 
find: find 
position: position 
location: location 
plan: plan 
utility: utilities utility 
clock: clock 
sketch: sketch 
manager: manager 
downloads: downloads 
bounce: bounce 
chess: chess 
mahjong: mahjong 
block: block blocks 
tetri: tetris 
marble: marbles 
overwhelming: overwhelming 
majority: majority 
