nelson: nelson 
mandela: mandela 
quote: quotes 
spouse: spouse 
death: death 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices choice 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photos photo 
per: per 
anders: anders 
pettersson: pettersson 
getty: getty 
image: images 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
july: july 
december: december 
know: know 
african: africans african 
rolihlahla: rolihlahla 
mean: means 
troublemaker: troublemaker 
became: became 
first: first 
black: black 
president: president 
south: south 
africa: africa 
serving: serving 
beginning: beginning 
spent: spent 
year: years year 
prison: prison 
political: political 
offense: offenses 
education: education 
wesleyan: wesleyan 
college: college 
university: university 
london: london 
clarkebury: clarkebury 
boarding: boarding 
institute: institute 
fort: fort 
hare: hare 
witwatersrand: witwatersrand 
johannesburg: johannesburg 
place: place 
mvezo: mvezo 
transkei: transkei 
cite: cite 
page: page 
hate: hate 
race: race 
discrimination: discrimination 
intensely: intensely 
manifestation: manifestations 
fought: fought 
life: life lives 
fight: fight 
end: end 
day: days day 
difficulty: difficulties 
break: break 
men: men 
make: make 
others: others 
axe: axe 
sharp: sharp 
enough: enough 
cut: cut 
soul: soul 
sinner: sinner 
keep: keeps keep 
trying: trying 
one: one 
armed: armed 
hope: hope 
rise: rise 
even: even 
something: something 
inevitable: inevitable 
man: man 
done: done 
considers: considers 
duty: duty 
country: country 
rest: rest 
peace: peace 
believe: believe 
made: made 
effort: effort efforts 
therefore: therefore 
sleep: sleep 
eternity: eternity 
conduct: conduct 
morality: morality 
integrity: integrity 
consistency: consistency 
need: needs need 
fear: fear 
force: forces 
inhumanity: inhumanity 
cruelty: cruelty 
everyone: everyone 
circumstance: circumstances 
achieve: achieve 
success: success 
dedicated: dedicated 
passionate: passionate 
march: march 
freedom: freedom 
irreversible: irreversible 
must: must 
allow: allow 
stand: stand 
way: way 
denied: denied 
right: right rights 
live: live 
belief: believes 
become: become 
outlaw: outlaw 
learned: learned 
courage: courage 
absence: absence 
triumph: triumph 
brave: brave 
feel: feel 
afraid: afraid 
conquers: conquers 
tremendous: tremendous 
patience: patience 
perseverance: perseverance 
test: test 
commitment: commitment 
moment: moment 
come: come 
responsibility: responsibilities 
dare: dare 
linger: linger 
long: long 
walk: walk 
yet: yet 
ended: ended 
lifetime: lifetime 
struggle: struggles struggle 
white: white 
domination: domination 
cherished: cherished 
ideal: ideal 
democratic: democratic 
free: free 
society: society 
person: person persons 
together: together 
harmony: harmony 
equal: equal 
opportunity: opportunities opportunity 
prepared: prepared 
die: die 
merely: merely 
cast: cast 
