ray: ray 
charles: charles 
song: song songs 
movie: movie 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
hulton: hulton 
archive: archive 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
september: september 
death: death 
june: june 
education: education 
florida: florida 
school: school 
deaf: deaf 
blind: blind 
place: place 
albany: albany 
georgia: georgia 
beverly: beverly 
hill: hills 
california: california 
nickname: nickname 
genius: genius 
father: father 
soul: soul 
full: full 
robinson: robinson 
early: early 
life: life lives 
musical: musical 
evolution: evolution 
critical: critical 
acclaim: acclaim 
later: later 
career: career 
legacy: legacy 
cite: cite 
page: page 
quote: quotes 
retire: retire 
music: music 
liver: liver 
remove: remove 
surgically: surgically 
like: likes like 
taking: taking 
appendix: appendix 
love: loves love 
special: special 
word: word 
mean: mean 
say: say 
much: much 
becomes: becomes 
cheap: cheap 
never: never 
another: another 
musician: musicians musician 
break: break 
perceived: perceived 
wall: walls 
genre: genres genre 
used: used 
dime: dime 
would: would 
give: give 
nickel: nickel 
well: well 
back: back 
still: still 
know: know 
heaven: heaven 
become: become 
better: better 
publish: publish 
jan: jan 
comment: comment 
pioneer: pioneer 
integrating: integrating 
r: r 
b: b 
gospel: gospel 
pop: pop 
country: country 
create: create 
hit: hits hit 
unchain: unchain 
heart: heart 
road: road 
jack: jack 
mind: mind 
legendary: legendary 
pioneered: pioneered 
often: often 
called: called 
combined: combined 
blue: blues 
jazz: jazz 
groundbreaking: groundbreaking 
died: died 
leaving: leaving 
lasting: lasting 
impression: impression 
contemporary: contemporary contemporaries 
born: born 
mechanic: mechanic 
mother: mother 
sharecropper: sharecropper 
moved: moved 
family: family 
greenville: greenville 
infant: infant 
one: one 
traumatic: traumatic 
event: events 
childhood: childhood 
witnessing: witnessing 
drowning: drowning 
younger: younger 
brother: brother brothers 
soon: soon 
gradually: gradually 
began: began 
lose: lose 
sight: sight 
age: age 
sent: sent 
state: state 
sponsored: sponsored 
st: st 
augustine: augustine 
learned: learned 
read: read 
write: write 
arrange: arrange 
braille: braille 
also: also 
play: play 
piano: piano 
organ: organ 
sax: sax 
clarinet: clarinet 
trumpet: trumpet 
breadth: breadth 
interest: interests 
ranged: ranged 
widely: widely 
year: years year 
toured: toured 
chitlin: chitlin 
circuit: circuit 
south: south 
picked: picked 
heroin: heroin 
seattle: seattle 
met: met 
young: young 
quincy: quincy 
jones: jones 
friend: friend 
collaborator: collaborator 
keep: keep 
rest: rest 
performed: performed 
mcson: mcson 
trio: trio 
playing: playing 
style: style 
closely: closely 
resembled: resembled 
work: work 
two: two 
major: major 
influence: influences 
brown: brown 
nat: nat 
king: king 
cole: cole 
developed: developed 
distinctive: distinctive 
sound: sound sounds 
released: released 
first: first 
single: single 
confession: confession 
maxin: maxin 
chart: chart charts 
success: success 
followed: followed 
baby: baby 
let: let 
hold: hold 
hand: hand 
kissa: kissa 
landed: landed 
deal: deal 
atlantic: atlantic 
record: records 
celebrated: celebrated 
label: label 
mess: mess 
around: around 
classic: classics classic 
got: got 
woman: woman 
reached: reached 
reflected: reflected 
advance: advance 
longer: longer 
imitator: imitator 
fusion: fusion 
helped: helped 
new: new 
known: known 
late: late 
entertaining: entertaining 
world: world 
cutting: cutting 
member: members 
modern: modern 
quartet: quartet 
fellow: fellow 
call: call 
appropriate: appropriate 
title: title 
ramblin: ramblin 
worked: worked 
blended: blended 
beautified: beautified 
touched: touched 
earned: earned 
biggest: biggest 
perhaps: perhaps 
ability: ability 
cross: cross 
reaching: reaching 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
brought: brought 
grammy: grammy 
award: award 
day: day 
maintained: maintained 
rare: rare 
level: level 
creative: creative 
control: control 
broke: broke 
boundary: boundaries 
western: western 
album: albums album 
gave: gave 
soulful: soulful 
interpretation: interpretations 
many: many 
thriving: thriving 
creatively: creatively 
struggled: struggled 
personal: personal 
continued: continued 
battle: battle 
addiction: addiction 
arrested: arrested 
possession: possession 
avoided: avoided 
jail: jail 
arrest: arrest 
finally: finally 
kicking: kicking 
habit: habit 
clinic: clinic 
los: los 
angeles: angeles 
release: releases 
miss: miss 
remained: remained 
respected: respected 
star: stars 
rendition: rendition 
stevie: stevie 
wonder: wonder 
living: living 
city: city 
three: three 
autobiography: autobiography 
