window: window 
addeventlistener: addeventlistener 
domcontentloaded: domcontentloaded 
function: function 
var: var 
v: v 
archive: archive 
analytics: analytics 
value: values 
service: service 
wb: wb 
server: server 
name: name 
wwwb: wwwb 
app: app 
u: us 
org: org 
m: ms 
send: send 
pageview: pageview 
wm: wm 
init: init 
wombat: wombat 
donottrack: donottrack 
false: false 
ga: ga 
q: q 
push: push 
argument: arguments 
l: l 
new: new 
date: date 
create: create 
ua: ua 
auto: auto 
created: created 
julia: julia 
container: container 
ul: ul 
li: li 
p: p 
margin: margin 
bottom: bottom 
body: body 
top: top 
important: important 
padding: padding 
min: min 
width: width 
px: px 
rw: rw 
iframe: iframe 
id: id 
donato: donato 
src: src 
platform: platform 
referer: referer 
web: web 
julialang: julialang 
blog: blog 
scrolling: scrolling 
frameborder: frameborder 
style: style 
height: height 
capture: capture captures 
feb: feb 
may: may 
jun: jun 
success: success 
fail: fail 
save: save 
snapshot: snapshot 
open: open 
href: href 
title: title 
share: share 
via: via 
screenshot: screenshot 
collected: collected 
collection: collection 
outlinks: outlinks 
tweet: tweets 
timestamps: timestamps 
wayback: wayback 
machine: machine 
bt: bt 
