activist: activist activists 
civil: civil 
right: rights 
woman: woman women 
activism: activism 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletters newsletter 
photo: photo 
central: central 
press: press 
getty: getty 
image: images 
protesting: protesting 
segregation: segregation 
african: african 
american: americans american 
environmentalist: environmentalist environmentalists 
fighting: fighting 
save: save 
planet: planet 
feminist: feminists 
working: working 
secure: secure 
one: one 
goal: goal 
common: common 
making: making 
world: world 
better: better 
place: place 
raucous: raucous 
protest: protests 
quiet: quiet 
persistence: persistence 
face: face 
injustice: injustice 
martin: martin 
luther: luther 
king: king 
jr: jr 
mahatma: mahatma 
gandhi: gandhi 
helen: helen 
keller: keller 
cesar: cesar 
chavez: chavez 
susan: susan 
b: b 
anthony: anthony 
countless: countless 
others: others 
devoted: devoted 
life: life lives 
betterment: betterment 
mankind: mankind 
person: person 
sadie: sadie 
alexander: alexander 
economist: economist 
lawyer: lawyer 
advocate: advocate 
achieved: achieved 
multiple: multiple 
first: firsts 
black: black 
th: th 
century: century 
zaya: zaya 
wade: wade 
stepped: stepped 
public: public 
arena: arena 
trans: trans 
girl: girls girl 
become: become 
well: well 
known: known 
young: young 
member: member 
transgender: transgender 
community: community 
barbara: barbara 
bush: bush 
daughter: daughter 
former: former 
president: president 
george: george 
w: w 
twin: twin 
sister: sister 
author: author 
medium: media 
personality: personality 
jenna: jenna 
hager: hager 
randy: randy 
shilts: shilts 
journalist: journalist 
covered: covered 
issue: issues 
important: important 
lgbt: lgbt 
including: including 
beginning: beginning 
aid: aids 
epidemic: epidemic 
united: united 
state: states 
cleve: cleve 
jones: jones 
mentored: mentored 
harvey: harvey 
milk: milk 
came: came 
idea: idea 
name: names name 
project: project 
memorial: memorial 
quilt: quilt 
larry: larry 
itliong: itliong 
filipino: filipino 
organizer: organizer 
leader: leader 
played: played 
role: roles role 
farm: farm 
labor: labor 
movement: movement 
delano: delano 
grape: grape 
strike: strike 
fred: fred 
korematsu: korematsu 
japanese: japanese 
citizen: citizen 
stood: stood 
war: war 
ii: ii 
government: government 
detained: detained 
ancestry: ancestry 
bree: bree 
newsome: newsome 
artist: artist 
entered: entered 
national: national 
spotlight: spotlight 
climbed: climbed 
flagpole: flagpole 
south: south 
carolina: carolina 
capitol: capitol 
ground: grounds 
remove: remove 
confederate: confederate 
battle: battle 
flag: flag 
receive: receive 
story: stories 
shaped: shaped 
sign: sign 
cecil: cecil 
moore: moore 
work: work 
naacp: naacp 
action: actions 
helped: helped 
make: make 
philadelphia: philadelphia 
equitable: equitable 
live: live 
resident: residents 
hampton: hampton 
panther: panther 
party: party 
harassed: harassed 
targeted: targeted 
local: local 
law: law 
enforcement: enforcement 
fbi: fbi 
resulting: resulting 
murder: murder 
police: police 
raid: raid 
apartment: apartment 
december: december 
carole: carole 
baskin: baskin 
animal: animal 
run: runs 
big: big 
cat: cat 
rescue: rescue 
sanctuary: sanctuary 
appearance: appearance 
docuseries: docuseries 
tiger: tiger 
brought: brought 
new: new 
attention: attention 
advocacy: advocacy 
also: also 
spotlighted: spotlighted 
rivalry: rivalry 
joe: joe 
exotic: exotic 
disappearance: disappearance 
second: second 
husband: husband 
emma: emma 
tenayuca: tenayuca 
fought: fought 
mexican: mexican 
worker: workers 
san: san 
antonio: antonio 
texas: texas 
hector: hector 
garcia: garcia 
dr: dr 
physician: physician 
military: military 
veteran: veteran 
christine: christine 
jorgensen: jorgensen 
made: made 
headline: headlines 
early: early 
sex: sex 
reassignment: reassignment 
surgery: surgery 
greta: greta 
thunberg: thunberg 
swedish: swedish 
climate: climate 
youth: youth 
received: received 
worldwide: worldwide 
recognition: recognition 
effort: efforts 
fight: fight 
change: change 
sylvia: sylvia 
rivera: rivera 
latina: latina 
drag: drag 
queen: queen 
gay: gay 
winnie: winnie 
mandela: mandela 
controversial: controversial 
wife: wife 
nelson: nelson 
spent: spent 
varying: varying 
governmental: governmental 
malala: malala 
yousafzai: yousafzai 
defied: defied 
taliban: taliban 
pakistan: pakistan 
demanded: demanded 
allowed: allowed 
education: education 
shot: shot 
head: head 
gunman: gunman 
survived: survived 
became: became 
youngest: youngest 
nobel: nobel 
peace: peace 
prize: prize 
julian: julian 
assange: assange 
international: international 
founder: founder 
whistle: whistle 
blowing: blowing 
website: website 
wikileaks: wikileaks 
linda: linda 
brown: brown 
child: child 
associated: associated 
lead: lead 
landmark: landmark 
case: case 
v: v 
board: board 
led: led 
outlawing: outlawing 
school: school 
marjory: marjory 
stoneman: stoneman 
douglas: douglas 
defend: defend 
florida: florida 
everglades: everglades 
dolores: dolores 
huerta: huerta 
co: co 
founded: founded 
would: would 
tarana: tarana 
burke: burke 
original: original 
started: started 
later: later 
global: global 
phenomenon: phenomenon 
raised: raised 
awareness: awareness 
sexual: sexual 
harassment: harassment 
abuse: abuse 
assault: assault 
society: society 
sojourner: sojourner 
truth: truth 
abolitionist: abolitionist 
best: best 
speech: speech 
racial: racial 
inequality: inequalities 
delivered: delivered 
ohio: ohio 
convention: convention 
c: c 
loading: loading 
see: see 
logo: logo 
registered: registered 
trademark: trademarks 
e: e 
television: television 
network: networks 
llc: llc 
close: close 
