whitney: whitney 
young: young 
jr: jr 
quote: quotes 
fact: facts fact 
death: death 
biography: biographies biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
ed: ed 
clarity: clarity 
ny: ny 
daily: daily 
news: news 
via: via 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
july: july 
march: march 
education: education 
university: university 
minnesota: minnesota 
school: school 
social: social 
work: work 
kentucky: kentucky 
state: state states 
industrial: industrial 
college: college 
massachusetts: massachusetts 
institute: institute 
technology: technology 
harvard: harvard 
lincoln: lincoln 
place: place 
ridge: ridge 
lagos: lagos 
nigeria: nigeria 
aka: aka 
moore: moore 
full: full 
early: early 
life: life lives 
national: national 
urban: urban 
league: league 
presidential: presidential 
adviser: adviser 
legacy: legacy 
cite: cite 
page: page 
desire: desire 
pull: pull 
bootstrap: bootstraps 
past: past 
strap: straps 
case: cases 
boot: boots 
anxious: anxious 
loudest: loudest 
voice: voice 
popular: popular 
would: would 
like: like 
think: think 
crucial: crucial 
moment: moment 
effective: effective 
voiceless: voiceless 
hope: hope 
hopeless: hopeless 
holler: holler 
protest: protest 
picket: picket 
demonstrate: demonstrate 
somebody: somebody 
must: must 
able: able 
sit: sit 
strategy: strategy strategies 
conference: conferences conference 
plot: plot 
course: course 
researcher: researchers 
professional: professionals 
carry: carry 
program: program 
although: although 
black: blacks black 
tenth: tenth 
population: population 
account: account 
fifth: fifth 
land: land 
troop: troops 
vietnam: vietnam 
higher: higher 
percentage: percentage 
casualty: casualties 
frontline: frontline 
fighting: fighting 
unit: units 
including: including 
many: many 
elite: elite 
percent: percent 
publish: publish 
apr: apr 
comment: comment 
civil: civil 
right: right rights 
leader: leader 
head: head 
forefront: forefront 
racial: racial 
integration: integration 
african: african 
american: americans american 
economic: economic 
