statsdirect: statsdirect 
wikipedia: wikipedia 
free: free 
encyclopedia: encyclopedia 
jump: jump 
navigation: navigation 
search: search 
mw: mw 
parser: parser 
output: output 
infobox: infobox 
subbox: subbox 
padding: padding 
border: border 
none: none 
margin: margin 
px: px 
width: width 
auto: auto 
min: min 
font: font 
size: size 
clear: clear 
float: float 
background: background 
color: color 
transparent: transparent 
col: cols 
child: child 
navbar: navbar 
body: body 
skin: skin 
minerva: minerva 
header: header 
subheader: subheader 
title: title 
image: image 
full: full 
data: data 
text: text 
align: align 
center: center 
developer: developer 
ltd: ltd 
stable: stable 
release: release 
ver: ver 
may: may 
year: years 
ago: ago 
operating: operating 
system: system systems 
window: windows 
type: type 
statistical: statistical 
analysis: analysis 
license: license 
proprietary: proprietary 
website: website 
www: www 
com: com 
software: software 
package: package 
designed: designed 
biomedical: biomedical 
public: public 
health: health 
general: general 
science: science 
us: uses 
second: second seconds 
generation: generation 
reviewed: reviewed 
medical: medical 
journal: journals journal 
content: content contents 
feature: features 
use: use 
origin: origins 
reference: references 
external: external 
link: link links 
edit: edit 
interface: interface 
menu: menu 
driven: driven 
editor: editors 
spreadsheet: spreadsheet 
like: like 
report: report reports 
function: function functions 
library: library libraries 
includes: includes 
common: common commons 
method: methods 
extended: extended 
user: users 
via: via 
xml: xml 
based: based 
description: description 
embed: embed 
call: calls 
native: native 
numerical: numerical 
r: r 
script: scripts 
algorithm: algorithms 
net: net 
language: languages 
c: cs c 
vb: vb 
j: j 
f: f 
misconception: misconceptions 
challenged: challenged 
example: example 
perform: perform 
chi: chi 
square: square 
test: test 
two: two 
table: table 
asked: asked 
whether: whether 
cohort: cohort 
perspective: perspective 
case: case 
control: control 
retrospective: retrospective 
study: studies study 
delivering: delivering 
result: result 
process: processes 
produce: produce 
emphasis: emphasis 
put: put 
appropriate: appropriate 
statistic: statistics statistic 
inference: inference 
odds: odds 
ratio: ratio 
relative: relative 
risk: risk 
prospective: prospective 
professor: professor 
iain: iain 
buchan: buchan 
university: university 
manchester: manchester 
wrote: wrote 
doctoral: doctoral 
thesis: thesis 
foundational: foundational 
work: work 
credited: credited 
creator: creator 
said: said 
wished: wished 
address: address 
problem: problem 
clinician: clinicians 
lacking: lacking 
knowledge: knowledge 
select: select 
interpret: interpret 
correctly: correctly 
often: often 
misusing: misusing 
written: written 
statistician: statisticians 
debuted: debuted 
arcus: arcus 
prostat: prostat 
do: dos 
platform: platform 
quickstat: quickstat 
followed: followed 
expanded: expanded 
version: version 
released: released 
microsoft: microsoft 
third: third 
metadata: metadata 
necessary: necessary 
replay: replay 
calculation: calculations 
needed: needed 
original: original 
ever: ever 
updated: updated 
reproducible: reproducible 
technology: technology technologies 
follows: follows 
research: research 
object: object 
approach: approach 
replaying: replaying 
elabs: elabs 
reflist: reflist 
bottom: bottom 
em: em 
list: list 
style: styles style 
decimal: decimal 
inherit: inherit 
column: columns column 
top: top 
ol: ol 
li: li 
page: page 
break: break 
inside: inside 
avoid: avoid 
upper: upper 
alpha: alpha 
roman: roman 
lower: lower 
greek: greek 
b: b 
cite: cite 
citation: citation 
word: word 
wrap: wrap 
q: q 
quote: quotes 
target: target 
rgba: rgba 
id: id 
lock: lock 
linear: linear 
gradient: gradient 
url: url 
upload: upload 
wikimedia: wikimedia 
org: org 
green: green 
svg: svg 
right: right 
repeat: repeat 
limited: limited 
registration: registration 
gray: gray 
alt: alt 
subscription: subscription 
aa: aa 
red: red 
w: ws 
icon: icon 
wikisource: wikisource 
logo: logo 
code: code 
hidden: hidden 
error: error 
display: display 
visible: visible 
maint: maint 
left: left 
format: format 
kern: kern 
selflink: selflink 
weight: weight 
freemantle: freemantle 
nick: nick 
december: december 
cd: cd 
st: st 
century: century 
bmj: bmj 
doi: doi 
lipp: lipp 
alastair: alastair 
september: september 
stats: stats 
direct: direct 
pubmed: pubmed 
retrieved: retrieved 
july: july 
davis: davis 
cole: cole 
testing: testing 
practice: practice 
isbn: isbn 
edward: edward 
development: development 
computer: computer 
resource: resource 
md: md 
pdf: pdf 
liverpool: liverpool 
adler: adler 
eric: eric 
march: march 
pro: pro 
stat: stat 
short: short 
review: review reviews 
personal: personal 
world: world 
