sadie: sadie 
alexander: alexander 
career: career 
fact: facts fact 
economist: economist 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
afro: afro 
american: americans american 
newspaper: newspapers 
gado: gado 
getty: getty 
image: images 
quick: quick 
name: name 
birth: birth 
date: date 
january: january 
death: death 
november: november 
place: place 
philadelphia: philadelphia 
pennsylvania: pennsylvania 
cite: cite 
page: page 
publish: publish 
feb: feb 
comment: comment 
lawyer: lawyer 
civil: civil 
right: right rights 
advocate: advocate 
achieved: achieved 
multiple: multiple 
first: first firsts 
black: black 
woman: woman women 
th: th 
century: century 
tanner: tanner 
mossell: mossell 
broke: broke 
barrier: barriers 
throughout: throughout 
life: life lives 
born: born 
end: end 
get: get 
ph: ph 
economics: economics 
second: second 
earn: earn 
receiving: receiving 
day: day 
addition: addition 
graduate: graduate 
university: university 
law: law laws 
school: school 
admitted: admitted 
bar: bar 
used: used 
skill: skills 
fight: fight 
served: served 
president: president 
harry: harry 
truman: truman 
committee: committee 
also: also 
appointed: appointed 
white: white whites 
house: house 
conference: conference 
aging: aging 
jimmy: jimmy 
carter: carter 
early: early 
education: education 
aaron: aaron 
mary: mary 
grew: grew 
without: without 
father: fathers father 
left: left 
family: family 
baby: baby 
child: children child 
spent: spent 
time: time 
washington: washington 
c: c 
graduated: graduated 
street: street 
high: high 
later: later 
became: became 
dunbar: dunbar 
next: next 
step: step 
enroll: enroll 
ostracized: ostracized 
classmate: classmates 
informed: informed 
borrow: borrow 
book: books book 
library: library 
however: however 
racism: racism 
keep: keep 
graduating: graduating 
honor: honors honor 
member: member members 
accomplished: accomplished 
grandfather: grandfather 
bishop: bishop 
benjamin: benjamin 
tucker: tucker 
leader: leader 
african: african 
methodist: methodist 
episcopal: episcopal 
church: church 
one: one 
uncle: uncle 
henry: henry 
ossawa: ossawa 
acclaimed: acclaimed 
painter: painter 
another: another 
nathan: nathan 
f: f 
medical: medical 
worked: worked 
surgeon: surgeon 
co: co 
founded: founded 
would: would 
become: become 
mercy: mercy 
douglas: douglass 
hospital: hospital 
obtaining: obtaining 
bachelor: bachelor 
degree: degree 
remained: remained 
study: study 
received: received 
master: master 
awarded: awarded 
obtain: obtain 
subject: subject 
unfortunately: unfortunately 
sexism: sexism 
kept: kept 
landing: landing 
challenging: challenging 
job: job 
assistant: assistant 
actuary: actuary 
north: north 
carolina: carolina 
mutual: mutual 
insurance: insurance 
company: company 
legal: legal 
decided: decided 
pursue: pursue 
hope: hopes 
using: using 
court: courts 
legislation: legislation 
open: open 
door: doors 
closed: closed 
enrolled: enrolled 
attending: attending 
following: following 
footstep: footsteps 
though: though 
dean: dean 
objected: objected 
review: review 
able: able 
join: join 
female: female 
gain: gain 
admittance: admittance 
work: work 
much: much 
expertise: expertise 
bring: bring 
case: cases 
along: along 
husband: husband 
fought: fought 
philadelphians: philadelphians 
allowed: allowed 
access: access 
restaurant: restaurants 
hotel: hotels 
movie: movie 
theater: theaters 
released: released 
report: report 
secure: secure 
recommendation: recommendations 
included: included 
adding: adding 
section: sections 
executive: executive 
branch: branch 
fbi: fbi 
called: called 
reorganizing: reorganizing 
division: division 
department: department 
justice: justice 
suggested: suggested 
need: need 
federal: federal 
protect: protect 
assault: assaults 
individual: individuals 
state: state states 
sanctioned: sanctioned 
abuse: abuses 
police: police 
brutality: brutality 
poll: poll 
tax: taxes 
followed: followed 
laid: laid 
groundwork: groundwork 
future: future 
action: actions action 
read: read 
adrienne: adrienne 
kennedy: kennedy 
amanda: amanda 
gorman: gorman 
commission: commission 
human: human 
relation: relations 
city: city 
liberty: liberties liberty 
union: union 
democratic: democratic 
national: national 
urban: urban 
league: league 
martin: martin 
luther: luther 
king: king 
jr: jr 
led: led 
march: march 
alabama: alabama 
selma: selma 
montgomery: montgomery 
presented: presented 
replica: replica 
bell: bell 
continued: continued 
harness: harness 
knowledge: knowledge 
area: area 
felt: felt 
government: government 
supported: supported 
program: program 
full: full 
employment: employment 
solution: solution 
economic: economic 
subjugation: subjugation 
negro: negro 
great: great 
mass: masses 
labor: labor 
believed: believed 
discriminate: discriminate 
employee: employees 
specialized: specialized 
estate: estate 
two: two 
solicitor: solicitor 
soon: soon 
started: started 
firm: firm 
judge: judge 
launched: launched 
practice: practice 
counsel: counsel 
atkinson: atkinson 
myers: myers 
archie: archie 
retired: retired 
accomplishment: accomplishments 
delta: delta 
sigma: sigma 
theta: theta 
sorority: sorority 
secretary: secretary 
association: association 
hold: hold 
role: role 
organization: organization 
chose: chose 
year: year 
comic: comic 
hero: heroes 
chairperson: chairperson 
legacy: legacy 
passed: passed 
away: away 
retirement: retirement 
community: community 
pneumonia: pneumonia 
well: well 
alzheimer: alzheimer 
disease: disease 
collective: collective 
named: named 
formed: formed 
encourages: encourages 
enter: enter 
data: data 
driven: driven 
field: fields 
marriage: marriage 
wed: wed 
attorney: attorney 
raymond: raymond 
pace: pace 
together: together 
daughter: daughters 
elizabeth: elizabeth 
rae: rae 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
receive: receive 
story: stories 
shaped: shaped 
world: world 
sign: sign 
person: person 
betsy: betsy 
ross: ross 
according: according 
legend: legend 
made: made 
flag: flag 
despite: despite 
lack: lack 
credible: credible 
evidence: evidence 
remains: remains 
icon: icon 
richard: richard 
allen: allen 
slavery: slavery 
bought: bought 
freedom: freedom 
went: went 
found: found 
united: united 
cecil: cecil 
b: b 
moore: moore 
activist: activist 
naacp: naacp 
helped: helped 
make: make 
equitable: equitable 
live: live 
resident: residents 
paul: paul 
robeson: robeson 
performer: performer 
known: known 
production: productions 
like: like 
emperor: emperor 
jones: jones 
othello: othello 
international: international 
rush: rush 
best: best 
political: political 
activity: activities 
revolution: revolution 
including: including 
signing: signing 
declaration: declaration 
independence: independence 
lucretia: lucretia 
mott: mott 
leading: leading 
social: social 
reformer: reformer 
form: form 
free: free 
religious: religious 
france: frances 
w: w 
harper: harper 
poet: poet 
orator: orator 
parent: parents 
publicly: publicly 
advocated: advocated 
abolition: abolition 
speech: speeches 
publication: publications 
franklin: franklin 
founding: founding 
never: never 
respected: respected 
inventor: inventor 
scientist: scientist 
diplomat: diplomat 
joe: joe 
frazier: frazier 
heavyweight: heavyweight 
boxing: boxing 
champion: champion 
famous: famous 
thrilla: thrilla 
manila: manila 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
