trayvon: trayvon 
martin: martin 
story: story stories 
family: families family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photos photo 
ap: ap 
quick: quick 
name: name names 
birth: birth 
date: date 
death: death 
education: education 
dr: dr 
michael: michael 
krop: krop 
high: high 
school: school schools 
place: place 
florida: florida 
sanford: sanford 
aka: aka 
full: full 
benjamin: benjamin 
early: early 
life: life lives 
arrest: arrest 
trial: trial 
george: george 
zimmerman: zimmerman 
cite: cite 
page: page 
publish: publish 
apr: apr 
comment: comment 
unarmed: unarmed 
american: american 
year: years year 
old: old 
killed: killed 
sparking: sparking 
national: national 
controversy: controversy 
criminal: criminal 
record: record 
shot: shot 
neighborhood: neighborhood 
watch: watch 
member: member members 
initial: initial 
release: release 
later: later 
sparked: sparked 
debate: debate 
racial: racial 
profiling: profiling 
role: role 
armed: armed 
law: law 
enforcement: enforcement 
july: july 
jury: jury 
acquitted: acquitted 
murder: murder 
foundation: foundations foundation 
established: established 
thousand: thousands 
taken: taken 
street: streets 
across: across 
america: america 
protest: protests protest 
circumstance: circumstances 
surrounding: surrounding 
teen: teen 
born: born 
parent: parents 
sybrina: sybrina 
fulton: fulton 
tracy: tracy 
divorced: divorced 
four: four 
attended: attended 
public: public 
including: including 
miami: miami 
garden: gardens 
wanted: wanted 
expose: expose 
world: world 
experience: experiences 
included: included 
skiing: skiing 
horseback: horseback 
riding: riding 
trip: trip 
new: new 
york: york 
city: cities city 
take: take 
sight: sights 
xa: xa 
carol: carol 
went: went 
youngster: youngster 
took: took 
english: english 
honor: honors 
class: class 
though: though 
favorite: favorite 
subject: subject 
said: said 
math: math 
tall: tall 
athletically: athletically 
inclined: inclined 
tattoo: tattoos 
frame: frame 
often: often 
quiet: quiet 
highly: highly 
interested: interested 
studying: studying 
aviation: aviation 
potentially: potentially 
becoming: becoming 
pilot: pilot 
yet: yet 
also: also 
started: started 
problem: problems 
