muammar: muammar 
al: al 
qaddafi: qaddafi 
death: death 
fact: facts fact 
life: life lives 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crimes crime 
scandal: scandal 
video: video 
contact: contact 
u: us 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
name: name 
birth: birth 
date: date 
june: june 
october: october 
education: education 
university: university 
libya: libya 
place: place 
sirte: sirte 
aka: aka 
gaddafi: gaddafi 
mu: mu 
ammar: ammar 
qadhdhf: qadhdhf 
gathafi: gathafi 
early: early 
taking: taking 
control: control 
international: international 
notoriety: notoriety 
rapprochement: rapprochement 
west: west 
arab: arab 
spring: spring 
turmoil: turmoil 
cite: cite 
page: page 
publish: publish 
apr: apr 
comment: comment 
seized: seized 
libyan: libyans libyan 
government: government 
ruled: ruled 
authoritarian: authoritarian 
dictator: dictator 
year: years year 
overthrown: overthrown 
joined: joined 
military: military 
staged: staged 
coup: coup 
seize: seize 
ousting: ousting 
king: king 
idris: idris 
though: though 
nationalist: nationalist 
rhetoric: rhetoric 
socialist: socialist 
style: style 
gained: gained 
day: days 
rule: rule 
corruption: corruption 
interference: interference 
africa: africa 
record: record 
horrific: horrific 
human: human 
right: right rights 
abuse: abuses 
turned: turned 
much: much 
population: population 
accused: accused 
supporting: supporting 
terrorism: terrorism 
last: last 
decade: decades decade 
reached: reached 
western: western 
leader: leaders leader 
became: became 
key: key 
provider: provider 
oil: oil 
europe: europe 
nato: nato 
troop: troops 
supported: supported 
dissident: dissidents 
attempting: attempting 
overthrow: overthrow 
month: months month 
run: run 
killed: killed 
hometown: hometown 
born: born 
raised: raised 
bedouin: bedouin 
tent: tent 
desert: desert 
came: came 
tribal: tribal 
family: family 
called: called 
qadhafah: qadhafah 
time: time 
italian: italians italian 
colony: colony 
independence: independence 
allied: allied 
young: young 
man: man 
influenced: influenced 
movement: movement 
admired: admired 
egyptian: egyptian 
gamal: gamal 
abdel: abdel 
nasser: nasser 
entered: entered 
college: college 
city: city 
benghazi: benghazi 
also: also 
spent: spent 
four: four 
receiving: receiving 
training: training 
united: united 
kingdom: kingdom 
xa: xa 
graduating: graduating 
steadily: steadily 
rose: rose 
rank: ranks 
disaffection: disaffection 
grew: grew 
involved: involved 
officer: officers 
talented: talented 
charismatic: charismatic 
power: power 
group: groups group 
september: september 
abroad: abroad 
turkey: turkey 
medical: medical 
treatment: treatment 
named: named 
commander: commander 
chief: chief 
armed: armed 
force: forces force 
chairman: chairman 
revolutionary: revolutionary 
command: command 
council: council 
new: new 
ruling: ruling 
body: body 
age: age 
become: become 
ruler: ruler 
first: first 
order: order 
business: business 
shut: shut 
american: american 
british: british 
base: bases 
demanded: demanded 
foreign: foreign 
company: companies 
share: share 
bigger: bigger 
portion: portion 
revenue: revenue 
country: country countries 
replaced: replaced 
gregorian: gregorian 
calendar: calendar 
islamic: islamic 
one: one 
forbade: forbade 
sale: sale 
alcohol: alcohol 
feeling: feeling 
threatened: threatened 
failed: failed 
attempt: attempt 
fellow: fellow 
december: december 
put: put 
law: law laws 
criminalizing: criminalizing 
political: political 
dissent: dissent 
expelled: expelled 
remaining: remaining 
emphasized: emphasized 
saw: saw 
battle: battle 
nationalism: nationalism 
imperialism: imperialism 
vocally: vocally 
opposed: opposed 
zionism: zionism 
israel: israel 
jewish: jewish 
community: community 
inner: inner 
circle: circle 
trusted: trusted 
smaller: smaller 
shared: shared 
small: small 
associate: associates 
intelligence: intelligence 
agent: agents 
traveled: traveled 
around: around 
world: world 
intimidate: intimidate 
assassinate: assassinate 
living: living 
exile: exile 
sought: sought 
orient: orient 
away: away 
towards: towards 
middle: middle 
east: east 
several: several 
conflict: conflicts 
including: including 
egypt: egypt 
sudan: sudan 
bloody: bloody 
civil: civil 
war: war 
chad: chad 
mid: mid 
published: published 
volume: volume 
green: green 
book: book 
explanation: explanation 
philosophy: philosophy 
three: three 
work: work 
describes: describes 
problem: problems 
liberal: liberal 
democracy: democracy 
capitalism: capitalism 
promotes: promotes 
remedy: remedy 
claimed: claimed 
boasted: boasted 
popular: popular 
committee: committees 
ownership: ownership 
reality: reality 
far: far 
true: true 
appointed: appointed 
close: close 
friend: friends 
position: positions 
crackdown: crackdowns 
kind: kind 
civic: civic 
organizing: organizing 
meant: meant 
lived: lived 
poverty: poverty 
meanwhile: meanwhile 
amassing: amassing 
fortune: fortunes 
regime: regime 
murdered: murdered 
deemed: deemed 
oppressive: oppressive 
eccentric: eccentric 
cadre: cadre 
female: female 
bodyguard: bodyguards 
heel: heels 
considered: considered 
erected: erected 
stay: stay 
dressed: dressed 
strange: strange 
costume: costume 
like: like 
outfit: outfits outfit 
bizarre: bizarre 
antic: antics 
often: often 
distracted: distracted 
brutality: brutality 
earned: earned 
nickname: nickname 
mad: mad 
dog: dog 
addition: addition 
destructive: destructive 
home: home 
despised: despised 
implicated: implicated 
financing: financing 
many: many 
anti: anti 
terror: terror 
plot: plots 
irish: irish 
republican: republican 
army: army 
allegedly: allegedly 
link: links 
cut: cut 
diplomatic: diplomatic 
relation: relations 
terrorist: terrorists terrorist 
thought: thought 
behind: behind 
bombing: bombing 
