angela: angela 
merkel: merkel 
age: age 
education: education 
parent: parents 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policies policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
quick: quick 
fact: facts fact 
name: name 
birth: birth 
date: date 
july: july 
know: know 
first: first 
female: female 
chancellor: chancellor 
germany: germany 
university: university 
leipzig: leipzig 
place: place 
hamburg: hamburg 
originally: originally 
dorothea: dorothea 
kasner: kasner 
full: full 
zodiac: zodiac 
sign: sign 
cancer: cancer 
early: early 
year: years year 
cite: cite 
page: page 
quote: quotes 
spying: spying 
among: among 
friend: friends 
never: never 
acceptable: acceptable 
need: need 
trust: trust 
ally: allies 
partner: partners 
built: built 
anew: anew 
german: german 
politician: politician 
best: best 
known: known 
one: one 
architect: architects 
european: european 
union: union 
publish: publish 
mar: mar 
comment: comment 
better: better 
born: born 
west: west 
trained: trained 
physicist: physicist 
entered: entered 
politics: politics 
fall: fall 
berlin: berlin 
wall: wall 
rising: rising 
position: position 
chairwoman: chairwoman 
christian: christian 
democratic: democratic 
party: party parties 
became: became 
leading: leading 
figure: figures 
following: following 
national: national 
election: elections election 
stateswoman: stateswoman 
daughter: daughter 
lutheran: lutheran 
pastor: pastor 
teacher: teacher 
moved: moved 
family: family 
east: east 
pursue: pursue 
theology: theology 
study: studies 
grew: grew 
rural: rural 
area: areas area 
north: north 
republic: republic 
studied: studied 
physic: physics 
earning: earning 
doctorate: doctorate 
later: later 
worked: worked 
chemist: chemist 
central: central 
institute: institute 
physical: physical 
chemistry: chemistry 
academy: academy 
science: sciences 
joined: joined 
cdu: cdu 
political: political 
soon: soon 
appointed: appointed 
helmut: helmut 
kohl: kohl 
cabinet: cabinet 
minister: minister 
woman: woman women 
youth: youth 
served: served 
environment: environment 
nuclear: nuclear 
safety: safety 
defeat: defeat 
general: general 
named: named 
secretary: secretary 
chosen: chosen 
leader: leaders leader 
lost: lost 
candidacy: candidacy 
edmund: edmund 
stoiber: stoiber 
narrowly: narrowly 
defeated: defeated 
gerhard: gerhard 
schr: schr 
xf: xf 
der: der 
winning: winning 
three: three 
seat: seats 
agreed: agreed 
coalition: coalition 
deal: deal 
social: social 
democrat: democrats 
spd: spd 
declared: declared 
also: also 
former: former 
citizen: citizen 
lead: lead 
reunited: reunited 
since: since 
modern: modern 
nation: nation 
state: state states 
elected: elected 
second: second 
made: made 
headline: headlines 
october: october 
accused: accused 
security: security 
agency: agency 
tapping: tapping 
cell: cell 
phone: phone 
summit: summit 
chided: chided 
united: united 
breech: breech 
saying: saying 
shortly: shortly 
afterward: afterward 
december: december 
sworn: sworn 
third: third 
fourth: fourth 
challenge: challenge challenges 
reelected: reelected 
september: september 
however: however 
although: although 
held: held 
majority: majority 
bundestag: bundestag 
parliament: parliament 
far: far 
right: right 
alternative: alternative 
afd: afd 
percent: percent 
vote: vote 
become: become 
largest: largest 
group: group 
csu: csu 
time: time 
xa: xa 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
x: x 
c: c 
expected: expected 
result: result 
clear: clear 
said: said 
good: good 
thing: thing 
definitely: definitely 
government: government 
would: would 
address: address 
supporter: supporters 
solving: solving 
problem: problems 
taking: taking 
worry: worries 
partly: partly 
fear: fears 
despite: despite 
authority: authority 
topped: topped 
forbes: forbes 
list: list 
powerful: powerful 
world: world 
seventh: seventh 
consecutive: consecutive 
th: th 
overall: overall 
additional: additional 
surfaced: surfaced 
mid: mid 
november: november 
attempt: attempts 
form: form 
new: new 
collapsed: collapsed 
week: weeks 
negotiation: negotiations 
free: free 
fdp: fdp 
suddenly: suddenly 
pulled: pulled 
talk: talks 
green: greens 
difference: differences 
regarding: regarding 
immigration: immigration 
rejection: rejection 
marked: marked 
another: another 
blow: blow 
continue: continue 
take: take 
responsibility: responsibility 
country: country countries 
even: even 
difficult: difficult 
situation: situation 
march: march 
voted: voted 
renew: renew 
clearing: clearing 
path: path 
finally: finally 
move: move 
forward: forward 
stalled: stalled 
though: though 
gridlock: gridlock 
eased: eased 
martin: martin 
schulz: schulz 
stepped: stepped 
summer: summer 
walk: walk 
tightrope: tightrope 
facing: facing 
ultimatum: ultimatum 
horst: horst 
seehofer: seehofer 
interior: interior 
bavaria: bavaria 
threatened: threatened 
quit: quit 
refusal: refusal 
deny: deny 
entry: entry 
migrant: migrants 
asylum: asylum 
claim: claims 
pending: pending 
elsewhere: elsewhere 
two: two 
announced: announced 
compromise: compromise 
transit: transit 
center: centers 
established: established 
border: border 
austria: austria 
route: route 
seeker: seekers 
responsible: responsible 
planned: planned 
step: step 
aside: aside 
chair: chair 
end: end 
run: run 
reelection: reelection 
annegret: annegret 
kramp: kramp 
karrenbauer: karrenbauer 
subsequently: subsequently 
took: took 
leadership: leadership 
seen: seen 
endorsement: endorsement 
legacy: legacy 
surprise: surprise 
resignation: resignation 
clouded: clouded 
picture: picture 
final: final 
month: months 
office: office 
complicating: complicating 
matter: matters 
outbreak: outbreak 
coronavirus: coronavirus 
shut: shut 
industry: industries 
forced: forced 
lifestyle: lifestyle 
change: changes 
around: around 
implemented: implemented 
rule: rules 
close: close 
restaurant: restaurants 
gathering: gathering 
measure: measures 
enough: enough 
prevent: prevent 
exposure: exposure 
doctor: doctor 
virus: virus 
self: self 
quarantine: quarantine 
late: late 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
com: com 
editor: editors 
website: website 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
original: original 
published: published 
april: april 
receive: receive 
story: stories 
shaped: shaped 
life: life lives 
person: person 
davis: davis 
activist: activist 
scholar: scholar 
writer: writer 
advocate: advocates 
oppressed: oppressed 
authored: authored 
several: several 
book: books 
including: including 
lansbury: lansbury 
award: award 
actress: actress 
entertained: entertained 
audience: audiences 
decade: decades 
stage: stage 
screen: screen 
stint: stint 
jessica: jessica 
fletcher: fletcher 
series: series 
murder: murder 
wrote: wrote 
bassett: bassett 
emmy: emmy 
nominated: nominated 
role: roles 
love: love 
got: got 
waiting: waiting 
exhale: exhale 
malcolm: malcolm 
black: black 
panther: panther 
joseph: joseph 
goebbels: goebbels 
propaganda: propaganda 
reich: reich 
adolf: adolf 
hitler: hitler 
spread: spread 
nazi: nazi 
message: message 
hermann: hermann 
g: g 
ring: ring 
condemned: condemned 
hang: hang 
war: war 
criminal: criminal 
instead: instead 
sarojini: sarojini 
naidu: naidu 
india: india 
president: president 
congress: congress 
francis: francis 
bacon: bacon 
english: english 
renaissance: renaissance 
statesman: statesman 
philosopher: philosopher 
promotion: promotion 
scientific: scientific 
method: method 
condoleezza: condoleezza 
rice: rice 
serve: serve 
adviser: adviser 
well: well 
madeleine: madeleine 
albright: albright 
represent: represent 
foreign: foreign 
affair: affairs 
bill: bill 
clinton: clinton 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
