kim: kim 
yo: yo 
jong: jong 
age: age 
family: family 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: term terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices choice 
accessibility: accessibility 
support: support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
jorge: jorge 
silva: silva 
bloomberg: bloomberg 
getty: getty 
image: image images 
quick: quick 
name: name 
birth: birth 
date: date 
september: september 
zodiac: zodiac 
sign: sign 
libra: libra 
cite: cite 
page: page 
publish: publish 
apr: apr 
comment: comment comments 
younger: younger 
sister: sister 
north: north 
korean: koreans korean 
supreme: supreme 
leader: leaders leader 
un: un 
high: high 
ranking: ranking 
official: official 
worker: workers 
party: party 
korea: korea 
joined: joined 
wpk: wpk 
eventually: eventually 
serving: serving 
secretariat: secretariat 
father: father 
il: il 
death: death 
continued: continued 
ascend: ascend 
rank: ranks 
brother: brother brothers 
rule: rule 
taking: taking 
control: control 
first: first 
vice: vice 
department: department 
director: director 
propaganda: propaganda 
agitation: agitation 
later: later 
becoming: becoming 
alternate: alternate 
member: member 
powerful: powerful 
politburo: politburo 
making: making 
highly: highly 
publicized: publicized 
appearance: appearance 
winter: winter 
olympics: olympics 
denuclearization: denuclearization 
summit: summits summit 
president: president 
donald: donald 
trump: trump 
early: early 
life: life lives 
education: education 
xa: xa 
birthdate: birthdate 
listed: listed 
spent: spent 
year: years year 
mother: mother 
ch: ch 
angkwang: angkwang 
hill: hill 
residence: residence 
central: central 
pyongyang: pyongyang 
two: two 
older: older 
according: according 
chef: chef 
kenji: kenji 
fujimoto: fujimoto 
would: would 
celebrate: celebrate 
birthday: birthdays 
another: another 
home: home 
wonsan: wonsan 
sent: sent 
switzerland: switzerland 
continue: continue 
began: began 
attending: attending 
liebefeld: liebefeld 
hessgut: hessgut 
public: public 
school: school 
steinh: steinh 
xf: xf 
lzli: lzli 
enrolled: enrolled 
pseudonym: pseudonyms 
although: although 
lived: lived 
aunt: aunt 
uncle: uncle 
served: served 
staff: staff 
housekeeper: housekeepers 
bodyguard: bodyguards 
time: time 
abroad: abroad 
said: said 
isolating: isolating 
experience: experience 
drew: drew 
sibling: sibling siblings 
closer: closer 
together: together 
virtually: virtually 
nothing: nothing 
known: known 
activity: activities 
followed: followed 
return: return 
though: though 
reportedly: reportedly 
graduated: graduated 
sung: sung 
university: university 
computer: computer 
science: science 
degree: degree 
one: one 
closest: closest 
aide: aides 
charge: charge 
managing: managing 
promoting: promoting 
charm: charm 
offensive: offensive 
marked: marked 
outreach: outreach 
south: south 
moon: moon 
jae: jae 
even: even 
threaten: threaten 
enemy: enemies 
nuclear: nuclear 
attack: attacks 
report: reports 
poor: poor 
health: health 
surfaced: surfaced 
april: april 
medium: media 
focused: focused 
possible: possible 
successor: successor 
analyst: analysts 
suggested: suggested 
likely: likely 
follow: follow 
given: given 
tie: ties 
paektu: paektu 
bloodline: bloodline 
claim: claims 
divine: divine 
ruling: ruling 
right: right rights 
others: others 
argued: argued 
male: male 
dominated: dominated 
prefer: prefer 
collective: collective 
leadership: leadership 
daughter: daughter 
youngest: youngest 
child: children child 
second: second 
consort: consort 
ko: ko 
yong: yong 
hui: hui 
japanese: japanese 
dancer: dancer 
along: along 
couple: couple 
son: son 
chul: chul 
also: also 
half: half 
sol: sol 
song: song 
nam: nam 
killed: killed 
malaysia: malaysia 
allegedly: allegedly 
behest: behest 
read: read 
next: next 
bella: bella 
hadid: hadid 
sadie: sadie 
alexander: alexander 
adrienne: adrienne 
kennedy: kennedy 
rise: rise 
appointed: appointed 
junior: junior 
cadre: cadre 
wkp: wkp 
involved: involved 
succession: succession 
plan: plans 
suffered: suffered 
pair: pair 
stroke: strokes 
following: following 
took: took 
increasing: increasing 
role: role 
december: december 
groomed: groomed 
service: service 
kyong: kyong 
replaced: replaced 
leading: leading 
female: female 
figure: figures 
execution: execution 
husband: husband 
jang: jang 
thaek: thaek 
late: late 
became: became 
acting: acting 
national: national 
defense: defense 
commission: commission 
earning: earning 
appointment: appointment 
political: political 
bureau: bureau 
three: three 
voted: voted 
assembly: assembly 
representative: representatives representative 
killimgil: killimgil 
district: district 
parliamentary: parliamentary 
election: election 
underscoring: underscoring 
prominence: prominence 
issued: issued 
order: orders 
unit: units 
army: army 
march: march 
released: released 
statement: statement 
chastising: chastising 
complaint: complaints 
military: military 
exercise: exercises 
pyeongchang: pyeongchang 
coming: coming 
highest: highest 
visit: visit 
southern: southern 
country: country 
since: since 
end: end 
war: war 
envoy: envoy 
head: head 
delegation: delegation 
attention: attention 
meeting: meetings 
strategic: strategic 
placement: placement 
behind: behind 
mike: mike 
penny: pence 
opening: opening 
ceremony: ceremony 
accompanied: accompanied 
profile: profile 
talk: talks 
held: held 
singapore: singapore 
june: june 
hanoi: hanoi 
vietnam: vietnam 
side: sides 
abruptly: abruptly 
ended: ended 
negotiation: negotiations 
latter: latter 
blamed: blamed 
failure: failure 
removed: removed 
reinstating: reinstating 
controversy: controversies 
among: among 
seven: seven 
sanctioned: sanctioned 
treasury: treasury 
serious: serious 
human: human 
abuse: abuses 
censorship: censorship 
rumored: rumored 
shadowy: shadowy 
office: office 
tasked: tasked 
raising: raising 
fund: funds 
reported: reported 
married: married 
choe: choe 
lieutenant: lieutenant 
ryong: ryong 
hae: hae 
pregnant: pregnant 
spring: spring 
around: around 
check: check 
strive: strive 
accuracy: accuracy 
fairness: fairness 
see: see 
something: something 
look: look 
citation: citation 
information: information 
article: article 
title: title 
author: author 
tim: tim 
ott: ott 
website: website 
com: com 
url: url 
access: access 
publisher: publisher 
e: e 
television: television 
network: networks 
last: last 
updated: updated 
may: may 
original: original 
published: published 
receive: receive 
story: stories 
shaped: shaped 
world: world 
person: person 
succeeding: succeeding 
dominating: dominating 
personality: personality 
complete: complete 
concentration: concentration 
power: power 
come: come 
define: define 
c: c 
premier: premier 
ran: ran 
decade: decades 
spearheading: spearheading 
creation: creation 
orwellian: orwellian 
regime: regime 
kardashian: kardashian 
star: star 
reality: reality 
show: show 
keeping: keeping 
kardashians: kardashians 
businesswoman: businesswoman 
creating: creating 
brand: brands 
kkw: kkw 
beauty: beauty 
fragrance: fragrance 
skim: skims 
lil: lil 
found: found 
success: success 
rapper: rapper 
starting: starting 
mid: mid 
explicit: explicit 
lyric: lyrics 
sexy: sexy 
persona: persona 
guidance: guidance 
hip: hip 
hop: hop 
icon: icon 
biggie: biggie 
small: smalls 
elected: elected 
republic: republic 
five: five 
beto: beto 
rourke: rourke 
former: former 
texas: texas 
congressman: congressman 
represented: represented 
state: state 
th: th 
house: house 
vladimir: vladimir 
putin: putin 
russia: russia 
presidency: presidency 
previously: previously 
prime: prime 
minister: minister 
rex: rex 
tillerson: tillerson 
commencement: commencement 
address: address 
virginia: virginia 
institute: institute 
warned: warned 
growing: growing 
crisis: crisis 
ethic: ethics 
integrity: integrity 
american: american 
pundit: pundits 
linked: linked 
secretary: secretary 
bos: boss 
loading: loading 
logo: logo 
registered: registered 
trademark: trademarks 
llc: llc 
close: close 
