andrew: andrew 
young: young 
jr: jr 
quote: quotes 
civil: civil 
right: right rights 
fact: facts fact 
biography: biography 
skip: skip 
main: main 
content: content 
people: people 
nostalgia: nostalgia 
celebrity: celebrity 
history: history 
culture: culture 
crime: crime 
scandal: scandal 
video: video 
contact: contact 
u: us u 
advertise: advertise 
privacy: privacy 
notice: notice 
term: terms 
use: use 
copyright: copyright 
policy: policy 
ad: ad 
choice: choices 
accessibility: accessibility 
support: supports support 
setting: settings 
february: february 
subscribe: subscribe 
newsletter: newsletter 
photo: photo 
prince: prince 
williams: williams 
filmmagic: filmmagic 
quick: quick 
name: name 
birth: birth 
date: date 
march: march 
age: age 
know: know 
first: first 
african: african 
american: americans american 
serve: serve 
ambassador: ambassador 
united: united 
nation: nations 
represent: represent 
georgia: georgia 
congress: congress 
since: since 
reconstruction: reconstruction 
education: education 
dillard: dillard 
university: university 
howard: howard 
hartford: hartford 
theological: theological 
seminary: seminary 
place: place 
new: new 
orleans: orleans 
louisiana: louisiana 
full: full 
jackson: jackson 
zodiac: zodiac 
sign: sign 
pisces: pisces 
early: early 
life: life lives 
leader: leaders leader 
political: political 
career: career 
legacy: legacy 
cite: cite 
page: page 
come: comes come 
time: time 
social: social 
movement: movement 
street: street 
enter: enter 
politics: politics 
daddy: daddy 
told: told 
get: get 
mad: mad 
struggle: struggle 
smart: smart 
said: said 
racism: racism 
white: white 
supremacy: supremacy 
sickness: sickness 
angry: angry 
sick: sick 
need: need 
understand: understand 
help: help 
problem: problem 
planet: planet 
solved: solved 
without: without 
violence: violence 
lesson: lesson 
like: like 
good: good 
think: think 
reason: reason 
parent: parents 
taught: taught 
burden: burden 
take: take 
one: one 
day: day 
easy: easy 
publish: publish 
apr: apr 
comment: comment 
activist: activist 
alongside: alongside 
martin: martin 
luther: luther 
king: king 
became: became 
member: member 
mayor: mayor 
atlanta: atlanta 
active: active 
working: working 
southern: southern 
christian: christian 
leadership: leadership 
conference: conference 
entering: entering 
served: served 
awarded: awarded 
presidential: presidential 
medal: medal 
freedom: freedom 
born: born 
product: product 
middle: middle 
class: class 
family: family 
father: father 
dentist: dentist 
mother: mother 
