jump: jump 
content: content 
input: input 
type: type 
checkbox: checkbox 
id: id 
mw: mw 
sidebar: sidebar 
class: class 
hack: hack 
checked: checked 
label: label 
button: button 
ui: ui 
icon: icon 
quiet: quiet 
element: element 
role: role 
aria: aria 
control: controls 
panel: panel 
data: data 
event: event 
name: name 
tabindex: tabindex 
title: title 
main: main 
menu: menu 
toggle: toggle 
img: img 
logo: logo 
src: src 
static: static 
image: images 
mobile: mobile 
copyright: copyright 
mediawiki: mediawiki 
svg: svg 
alt: alt 
hidden: hidden 
true: true 
height: height 
width: width 
wordmark: wordmark 
en: en 
style: style 
em: em 
form: form 
action: action 
w: w 
index: index 
php: php 
searchform: searchform 
vector: vector 
search: search 
box: box 
div: div 
simplesearch: simplesearch 
inner: inner 
loc: loc 
header: header 
moved: moved 
placeholder: placeholder 
autocapitalize: autocapitalize 
sentence: sentences 
f: f 
accesskey: accesskey 
searchinput: searchinput 
searchbutton: searchbutton 
fallbacksearchbutton: fallbacksearchbutton 
submit: submit 
fulltext: fulltext 
page: pages page 
text: text 
value: value 
go: go 
exact: exact 
exists: exists 
href: href 
wiki: wiki 
special: special 
wikimedia: wikimedia 
